channel_0,sample #,type
1.7306744,27038404,V
1.6899205,27038405,NC
1.6116468,27038406,NC
1.5216068,27038407,NC
1.3849006,27038408,NC
1.2408398,27038409,NC
1.024788,27038410,NC
0.77640086,27038411,NC
0.5015696,27038412,NC
0.20790292,27038413,NC
-0.045568578,27038414,NC
-0.24182683,27038415,NC
-0.37835857,27038416,NC
-0.46248993,27038417,NC
-0.5011769,27038418,NC
-0.5164335,27038419,NC
-0.53667444,27038420,NC
-0.55520254,27038421,NC
-0.58599347,27038422,NC
-0.60358006,27038423,NC
-0.64332247,27038424,NC
-0.67894244,27038425,NC
-0.7040912,27038426,NC
-0.72829634,27038427,NC
-0.75225943,27038428,NC
-0.77359253,27038429,NC
-0.7570132,27038430,NC
-0.7612213,27038431,NC
-0.7691362,27038432,NC
-0.7732241,27038433,NC
-0.7674567,27038434,NC
-0.79449624,27038435,NC
-0.7946083,27038436,NC
-0.81079936,27038437,NC
-0.8108962,27038438,NC
-0.8196419,27038439,NC
-0.8135904,27038440,NC
-0.8217041,27038441,NC
-0.82687134,27038442,NC
-0.83732355,27038443,NC
-0.85106945,27038444,NC
-0.86786216,27038445,NC
-0.88475966,27038446,NC
-0.89770174,27038447,NC
-0.9242121,27038448,NC
-0.92752326,27038449,NC
-0.9250781,27038450,NC
-0.9426504,27038451,NC
-0.93858665,27038452,NC
-0.93658733,27038453,NC
-0.9383321,27038454,NC
-0.94364965,27038455,NC
-0.947742,27038456,NC
-0.9711656,27038457,NC
-0.98516494,27038458,NC
-1.0096219,27038459,NC
-1.0209075,27038460,NC
-1.0474066,27038461,NC
-1.0599529,27038462,NC
-1.0667458,27038463,NC
-1.0822086,27038464,NC
-1.0934305,27038465,NC
-1.1020763,27038466,NC
-1.105918,27038467,NC
-1.1306764,27038468,NC
-1.1396518,27038469,NC
-1.1671857,27038470,NC
-1.1818178,27038471,NC
-1.2018838,27038472,NC
-1.217208,27038473,NC
-1.2220663,27038474,NC
-1.2319765,27038475,NC
-1.2295468,27038476,NC
-1.2425504,27038477,NC
-1.2494096,27038478,NC
-1.2366017,27038479,NC
-1.2424856,27038480,NC
-1.2442043,27038481,NC
-1.2483194,27038482,NC
-1.2561547,27038483,NC
-1.250076,27038484,NC
-1.2632128,27038485,NC
-1.2440453,27038486,NC
-1.2279267,27038487,NC
-1.2147876,27038488,NC
-1.1985633,27038489,NC
-1.1923366,27038490,NC
-1.164229,27038491,NC
-1.1512998,27038492,NC
-1.132808,27038493,NC
-1.1126192,27038494,NC
-1.1001759,27038495,NC
-1.0819799,27038496,NC
-1.0653981,27038497,NC
-1.0226845,27038498,NC
-1.0043845,27038499,NC
-0.96636766,27038500,NC
-0.93140227,27038501,NC
-0.8848632,27038502,NC
-0.8360753,27038503,NC
-0.8079715,27038504,NC
-0.7958788,27038505,NC
-0.75443965,27038506,NC
-0.746523,27038507,NC
-0.7262869,27038508,NC
-0.69490755,27038509,NC
-0.6851975,27038510,NC
-0.66449994,27038511,NC
-0.6491883,27038512,NC
-0.6262101,27038513,NC
-0.622342,27038514,NC
-0.60901684,27038515,NC
-0.6050965,27038516,NC
-0.59320134,27038517,NC
-0.60230476,27038518,NC
-0.5968696,27038519,NC
-0.60197306,27038520,NC
-0.5870185,27038521,NC
-0.5780193,27038522,NC
-0.58163214,27038523,NC
-0.5780681,27038524,NC
-0.56544805,27038525,NC
-0.5613097,27038526,NC
-0.5487764,27038527,NC
-0.5458501,27038528,NC
-0.56196684,27038529,NC
-0.5625175,27038530,NC
-0.5639733,27038531,NC
-0.5814029,27038532,NC
-0.5680664,27038533,NC
-0.590801,27038534,NC
-0.58299404,27038535,NC
-0.5727126,27038536,NC
-0.5759505,27038537,NC
-0.55533135,27038538,NC
-0.57059747,27038539,NC
-0.5738146,27038540,NC
-0.5814058,27038541,NC
-0.58802646,27038542,NC
-0.5859868,27038543,NC
-0.57691246,27038544,NC
-0.59351486,27038545,NC
-0.5875256,27038546,NC
-0.5845297,27038547,NC
-0.58401555,27038548,NC
-0.5690976,27038549,NC
-0.563059,27038550,NC
-0.5381454,27038551,NC
-0.5463002,27038552,NC
-0.5450971,27038553,NC
-0.5672592,27038554,NC
-0.57248145,27038555,NC
-0.5795969,27038556,NC
-0.6067374,27038557,NC
-0.61361223,27038558,NC
-0.62216616,27038559,NC
-0.6152429,27038560,NC
-0.5861208,27038561,NC
-0.553831,27038562,NC
-0.47277296,27038563,NC
-0.38287148,27038564,NC
-0.2654845,27038565,NC
-0.13320003,27038566,NC
0.0020068549,27038567,NC
0.11558293,27038568,NC
0.20478655,27038569,NC
0.27981758,27038570,NC
0.3262855,27038571,NC
0.3183661,27038572,V
0.25188228,27038573,NC
0.13259204,27038574,NC
-0.020671844,27038575,NC
-0.18498501,27038576,NC
-0.35771102,27038577,NC
-0.48714527,27038578,NC
-0.6123594,27038579,NC
-0.72401285,27038580,NC
-0.8437492,27038581,NC
-0.96140784,27038582,NC
-1.0568619,27038583,NC
-1.1073259,27038584,NC
-1.1279813,27038585,NC
-1.1329471,27038586,NC
-1.1178147,27038587,NC
-1.0987313,27038588,NC
-1.0649248,27038589,NC
-1.0523739,27038590,NC
-1.0512929,27038591,NC
-1.0507939,27038592,NC
-1.0540758,27038593,NC
-1.0157967,27038594,NC
-0.9821928,27038595,NC
-0.9479013,27038596,NC
-0.89780533,27038597,NC
-0.8443211,27038598,NC
-0.8028674,27038599,NC
-0.75971925,27038600,NC
-0.7347279,27038601,NC
-0.71061134,27038602,NC
-0.6851211,27038603,NC
-0.6706857,27038604,NC
-0.65470743,27038605,NC
-0.6223936,27038606,NC
-0.6006862,27038607,NC
-0.60351616,27038608,NC
-0.5932049,27038609,NC
-0.5748701,27038610,NC
-0.58005065,27038611,NC
-0.578733,27038612,NC
-0.5859314,27038613,NC
-0.58259594,27038614,NC
-0.5690979,27038615,NC
-0.57207114,27038616,NC
-0.5804219,27038617,NC
-0.5650267,27038618,NC
-0.5609543,27038619,NC
-0.5512297,27038620,NC
-0.54405457,27038621,NC
-0.5429693,27038622,NC
-0.5393351,27038623,NC
-0.54046595,27038624,NC
-0.55249643,27038625,NC
-0.5619052,27038626,NC
-0.57404757,27038627,NC
-0.5923882,27038628,NC
-0.5983896,27038629,NC
-0.5960351,27038630,NC
-0.60016096,27038631,NC
-0.59559584,27038632,NC
-0.5996882,27038633,NC
-0.57161427,27038634,NC
-0.5547806,27038635,NC
-0.5412235,27038636,NC
-0.5522201,27038637,NC
-0.536091,27038638,NC
-0.52069914,27038639,NC
-0.51420367,27038640,NC
-0.50597805,27038641,NC
-0.4879019,27038642,NC
-0.4769992,27038643,NC
-0.46205157,27038644,NC
-0.43448114,27038645,NC
-0.40697336,27038646,NC
-0.38370165,27038647,NC
-0.36580986,27038648,NC
-0.33480808,27038649,NC
-0.31482583,27038650,NC
-0.29263175,27038651,NC
-0.26828057,27038652,NC
-0.2422419,27038653,NC
-0.21327168,27038654,NC
-0.169991,27038655,NC
-0.14538753,27038656,NC
-0.10451112,27038657,NC
-0.075658396,27038658,NC
-0.05040651,27038659,NC
-0.026239544,27038660,NC
-0.016224112,27038661,NC
0.015066935,27038662,NC
0.013474455,27038663,NC
0.02347842,27038664,NC
0.029715344,27038665,NC
0.045542367,27038666,NC
0.042086493,27038667,NC
0.0526364,27038668,NC
0.055434287,27038669,NC
0.0630774,27038670,NC
0.06498888,27038671,NC
0.055527806,27038672,NC
0.044038996,27038673,NC
0.014471738,27038674,NC
-0.0047648493,27038675,NC
-0.022731489,27038676,NC
-0.040410325,27038677,NC
-0.0482224,27038678,NC
-0.0654861,27038679,NC
-0.09192869,27038680,NC
-0.099844895,27038681,NC
-0.11431825,27038682,NC
-0.13354862,27038683,NC
-0.13977821,27038684,NC
-0.1697179,27038685,NC
-0.20500694,27038686,NC
-0.2190234,27038687,NC
-0.24213567,27038688,NC
-0.26602307,27038689,NC
-0.2837356,27038690,NC
-0.297722,27038691,NC
-0.32037774,27038692,NC
-0.3174903,27038693,NC
-0.31380334,27038694,NC
-0.32667288,27038695,NC
-0.3199205,27038696,NC
-0.33418855,27038697,NC
-0.36216414,27038698,NC
-0.37338406,27038699,NC
-0.39414668,27038700,NC
-0.4006136,27038701,NC
-0.39248258,27038702,NC
-0.4046743,27038703,NC
-0.39687118,27038704,NC
-0.3991921,27038705,NC
-0.39403805,27038706,NC
-0.385572,27038707,NC
-0.39036334,27038708,NC
-0.39573008,27038709,NC
-0.39935827,27038710,NC
-0.40643775,27038711,NC
-0.42325816,27038712,NC
-0.4284707,27038713,NC
-0.4218231,27038714,NC
-0.4353793,27038715,NC
-0.42438102,27038716,NC
-0.4060793,27038717,NC
-0.40423506,27038718,NC
-0.39644885,27038719,NC
-0.39073208,27038720,NC
-0.394368,27038721,NC
-0.40488812,27038722,NC
-0.40474766,27038723,NC
-0.4165441,27038724,NC
-0.4303618,27038725,NC
-0.42043585,27038726,NC
-0.41000488,27038727,NC
-0.40933806,27038728,NC
-0.40567192,27038729,NC
-0.40238005,27038730,NC
-0.4012315,27038731,NC
-0.39632726,27038732,NC
-0.39762777,27038733,NC
-0.41160643,27038734,NC
-0.41419265,27038735,NC
-0.4202107,27038736,NC
-0.42529878,27038737,NC
-0.4406411,27038738,NC
-0.4290813,27038739,NC
-0.42646375,27038740,NC
-0.42588586,27038741,NC
-0.4241967,27038742,NC
-0.4100952,27038743,NC
-0.41705215,27038744,NC
-0.42036882,27038745,NC
-0.43166134,27038746,NC
-0.43702343,27038747,NC
-0.45300725,27038748,NC
-0.45172077,27038749,NC
-0.45515847,27038750,NC
-0.46405917,27038751,NC
-0.4526811,27038752,NC
-0.44262773,27038753,NC
-0.43477774,27038754,NC
-0.44354898,27038755,NC
-0.43103632,27038756,NC
-0.44169992,27038757,NC
-0.45046356,27038758,NC
-0.44723353,27038759,NC
-0.46429235,27038760,NC
-0.46202573,27038761,NC
-0.4728356,27038762,NC
-0.45494372,27038763,NC
-0.46132383,27038764,NC
-0.45912644,27038765,NC
-0.45732215,27038766,NC
-0.44006187,27038767,NC
-0.4482653,27038768,NC
-0.45619732,27038769,NC
-0.45153418,27038770,NC
-0.46245855,27038771,NC
-0.47282642,27038772,NC
-0.472656,27038773,NC
-0.46860266,27038774,NC
-0.47637182,27038775,NC
-0.47446993,27038776,NC
-0.47927043,27038777,NC
-0.4825633,27038778,NC
-0.4698285,27038779,NC
-0.46834058,27038780,NC
-0.47568983,27038781,NC
-0.48421395,27038782,NC
-0.4852834,27038783,NC
-0.48549438,27038784,NC
-0.48421562,27038785,NC
-0.5065472,27038786,NC
-0.49231306,27038787,NC
-0.48973605,27038788,NC
-0.48661876,27038789,NC
-0.46894938,27038790,NC
-0.47441566,27038791,NC
-0.493356,27038792,NC
-0.48975548,27038793,NC
-0.49581385,27038794,NC
-0.48800978,27038795,NC
-0.4901775,27038796,NC
-0.5073866,27038797,NC
-0.5060011,27038798,NC
-0.5045544,27038799,NC
-0.49888694,27038800,NC
-0.496475,27038801,NC
-0.48853964,27038802,NC
-0.48717347,27038803,NC
-0.48529035,27038804,NC
-0.47927096,27038805,NC
-0.500409,27038806,NC
-0.49798337,27038807,NC
-0.5069043,27038808,NC
-0.5095993,27038809,NC
-0.5053519,27038810,NC
-0.49992177,27038811,NC
-0.5031376,27038812,NC
-0.49200416,27038813,NC
-0.49523908,27038814,NC
-0.48356825,27038815,NC
-0.4959186,27038816,NC
-0.48844904,27038817,NC
-0.48158878,27038818,NC
-0.513345,27038819,NC
-0.5088401,27038820,NC
-0.51507485,27038821,NC
-0.5147355,27038822,NC
-0.49943066,27038823,NC
-0.49407125,27038824,NC
-0.48179576,27038825,NC
-0.49494928,27038826,NC
-0.48021612,27038827,NC
-0.46705014,27038828,NC
-0.46435624,27038829,NC
-0.4839308,27038830,NC
-0.4914198,27038831,NC
-0.4818473,27038832,NC
-0.48478985,27038833,NC
-0.48338455,27038834,NC
-0.48073688,27038835,NC
-0.4592847,27038836,NC
-0.44133058,27038837,NC
-0.4205456,27038838,NC
-0.39768988,27038839,NC
-0.38413647,27038840,NC
-0.33616906,27038841,NC
-0.31287464,27038842,NC
-0.26664647,27038843,NC
-0.22302501,27038844,NC
-0.15608184,27038845,NC
-0.07612375,27038846,NC
0.017001897,27038847,NC
0.12045151,27038848,NC
0.25362244,27038849,NC
0.41499293,27038850,NC
0.5927423,27038851,NC
0.79269004,27038852,NC
1.0025007,27038853,NC
1.1900156,27038854,NC
1.3546518,27038855,NC
1.461607,27038856,NC
1.5032808,27038857,NC
1.5109262,27038858,V
