channel_0,sample #,type
0.68134165,15509683,N
0.6879813,15509684,NC
0.6402664,15509685,NC
0.5674943,15509686,NC
0.48603353,15509687,NC
0.38985965,15509688,NC
0.2763713,15509689,NC
0.10909848,15509690,NC
-0.06393419,15509691,NC
-0.20914878,15509692,NC
-0.31060037,15509693,NC
-0.37385914,15509694,NC
-0.40821323,15509695,NC
-0.4082869,15509696,NC
-0.39117956,15509697,NC
-0.37544534,15509698,NC
-0.35037002,15509699,NC
-0.34077224,15509700,NC
-0.32441992,15509701,NC
-0.29264587,15509702,NC
-0.29025006,15509703,NC
-0.27724928,15509704,NC
-0.28379154,15509705,NC
-0.30337974,15509706,NC
-0.32284093,15509707,NC
-0.32310894,15509708,NC
-0.3243801,15509709,NC
-0.31540474,15509710,NC
-0.33809882,15509711,NC
-0.3510978,15509712,NC
-0.3434279,15509713,NC
-0.33097214,15509714,NC
-0.31931654,15509715,NC
-0.3141855,15509716,NC
-0.30553764,15509717,NC
-0.29629666,15509718,NC
-0.29533854,15509719,NC
-0.2901481,15509720,NC
-0.31755623,15509721,NC
-0.31378987,15509722,NC
-0.3168817,15509723,NC
-0.31255814,15509724,NC
-0.28519183,15509725,NC
-0.27535653,15509726,NC
-0.2608319,15509727,NC
-0.26904595,15509728,NC
-0.2819342,15509729,NC
-0.2841493,15509730,NC
-0.28440338,15509731,NC
-0.29226023,15509732,NC
-0.30584344,15509733,NC
-0.32605702,15509734,NC
-0.31529808,15509735,NC
-0.31048256,15509736,NC
-0.29580268,15509737,NC
-0.2870866,15509738,NC
-0.28661788,15509739,NC
-0.2912894,15509740,NC
-0.29939553,15509741,NC
-0.30136675,15509742,NC
-0.27616596,15509743,NC
-0.26663673,15509744,NC
-0.2690049,15509745,NC
-0.27219462,15509746,NC
-0.29063,15509747,NC
-0.30190083,15509748,NC
-0.30637458,15509749,NC
-0.28947133,15509750,NC
-0.27565858,15509751,NC
-0.26190192,15509752,NC
-0.27129018,15509753,NC
-0.26762807,15509754,NC
-0.24156344,15509755,NC
-0.22643058,15509756,NC
-0.23665994,15509757,NC
-0.25465706,15509758,NC
-0.27254,15509759,NC
-0.2893332,15509760,NC
-0.28033495,15509761,NC
-0.26891264,15509762,NC
-0.25978193,15509763,NC
-0.2517471,15509764,NC
-0.25554162,15509765,NC
-0.2595198,15509766,NC
-0.24968709,15509767,NC
-0.24269669,15509768,NC
-0.2375494,15509769,NC
-0.2370039,15509770,NC
-0.23337603,15509771,NC
-0.23110314,15509772,NC
-0.21508962,15509773,NC
-0.20230256,15509774,NC
-0.18960124,15509775,NC
-0.19332469,15509776,NC
-0.20807219,15509777,NC
-0.22745296,15509778,NC
-0.23264426,15509779,NC
-0.23484015,15509780,NC
-0.24380821,15509781,NC
-0.24456932,15509782,NC
-0.23354216,15509783,NC
-0.22483164,15509784,NC
-0.20878388,15509785,NC
-0.18464391,15509786,NC
-0.18679434,15509787,NC
-0.17581066,15509788,NC
-0.18330348,15509789,NC
-0.19111277,15509790,NC
-0.20513275,15509791,NC
-0.203539,15509792,NC
-0.19031328,15509793,NC
-0.1824308,15509794,NC
-0.19355743,15509795,NC
-0.20045581,15509796,NC
-0.20044166,15509797,NC
-0.18892089,15509798,NC
-0.17184974,15509799,NC
-0.15366237,15509800,NC
-0.13436092,15509801,NC
-0.12700507,15509802,NC
-0.12874256,15509803,NC
-0.1310274,15509804,NC
-0.14414056,15509805,NC
-0.1671615,15509806,NC
-0.17495017,15509807,NC
-0.14824708,15509808,NC
-0.13856953,15509809,NC
-0.13988441,15509810,NC
-0.13341162,15509811,NC
-0.13312158,15509812,NC
-0.13635758,15509813,NC
-0.14932467,15509814,NC
-0.15489346,15509815,NC
-0.14989938,15509816,NC
-0.14644906,15509817,NC
-0.1552125,15509818,NC
-0.16797753,15509819,NC
-0.17997517,15509820,NC
-0.17778103,15509821,NC
-0.17463987,15509822,NC
-0.16543777,15509823,NC
-0.15943627,15509824,NC
-0.17415704,15509825,NC
-0.18412726,15509826,NC
-0.18633398,15509827,NC
-0.18938056,15509828,NC
-0.18380955,15509829,NC
-0.17878157,15509830,NC
-0.18056233,15509831,NC
-0.19588865,15509832,NC
-0.18758792,15509833,NC
-0.18006611,15509834,NC
-0.17814511,15509835,NC
-0.18875837,15509836,NC
-0.19804913,15509837,NC
-0.2052256,15509838,NC
-0.20948508,15509839,NC
-0.20846435,15509840,NC
-0.20981382,15509841,NC
-0.2154302,15509842,NC
-0.23050587,15509843,NC
-0.24032243,15509844,NC
-0.23694208,15509845,NC
-0.22764741,15509846,NC
-0.23160648,15509847,NC
-0.2477111,15509848,NC
-0.26536292,15509849,NC
-0.26201043,15509850,NC
-0.26117608,15509851,NC
-0.25170982,15509852,NC
-0.25239033,15509853,NC
-0.24824984,15509854,NC
-0.25133172,15509855,NC
-0.24920894,15509856,NC
-0.2436933,15509857,NC
-0.23521717,15509858,NC
-0.24789138,15509859,NC
-0.24621154,15509860,NC
-0.24662362,15509861,NC
-0.23531865,15509862,NC
-0.21784294,15509863,NC
-0.19528762,15509864,NC
-0.17132714,15509865,NC
-0.14841618,15509866,NC
-0.123172395,15509867,NC
-0.115833916,15509868,NC
-0.09431457,15509869,NC
-0.08015945,15509870,NC
-0.081461884,15509871,NC
-0.091061495,15509872,NC
-0.10173441,15509873,NC
-0.14309664,15509874,NC
-0.14448717,15509875,NC
-0.12038205,15509876,NC
-0.0939951,15509877,NC
-0.11396206,15509878,NC
-0.21603245,15509879,NC
-0.34087837,15509880,NC
-0.51160294,15509881,NC
-0.7499197,15509882,NC
-1.0446496,15509883,NC
-1.3519586,15509884,NC
-1.596961,15509885,NC
-1.7973498,15509886,NC
-1.8779944,15509887,NC
-1.8818938,15509888,NC
-1.8779998,15509889,NC
-1.891808,15509890,V
-1.9000102,15509891,NC
-1.8733413,15509892,NC
-1.8240389,15509893,NC
-1.7521653,15509894,NC
-1.6829735,15509895,NC
-1.6320162,15509896,NC
-1.5587599,15509897,NC
-1.4705417,15509898,NC
-1.3561891,15509899,NC
-1.2320759,15509900,NC
-1.0990747,15509901,NC
-0.99268293,15509902,NC
-0.919032,15509903,NC
-0.8704666,15509904,NC
-0.82885355,15509905,NC
-0.79055804,15509906,NC
-0.772042,15509907,NC
-0.73062354,15509908,NC
-0.6703612,15509909,NC
-0.6147528,15509910,NC
-0.569863,15509911,NC
-0.52960104,15509912,NC
-0.50471014,15509913,NC
-0.46418378,15509914,NC
-0.4282393,15509915,NC
-0.3837851,15509916,NC
-0.31496748,15509917,NC
-0.23676248,15509918,NC
-0.18581934,15509919,NC
-0.12605724,15509920,NC
-0.055859674,15509921,NC
-0.009781827,15509922,NC
0.01346796,15509923,NC
0.029054586,15509924,NC
0.038181495,15509925,NC
0.072966665,15509926,NC
0.113902695,15509927,NC
0.12983572,15509928,NC
0.13910611,15509929,NC
0.15751712,15509930,NC
0.16558418,15509931,NC
0.17389771,15509932,NC
0.177626,15509933,NC
0.19261096,15509934,NC
0.21988669,15509935,NC
0.24480288,15509936,NC
0.25169462,15509937,NC
0.26933748,15509938,NC
0.28057498,15509939,NC
0.26264212,15509940,NC
0.25014263,15509941,NC
0.24294196,15509942,NC
0.25158164,15509943,NC
0.26880223,15509944,NC
0.2904719,15509945,NC
0.29553887,15509946,NC
0.31985685,15509947,NC
0.34225464,15509948,NC
0.37548602,15509949,NC
0.38608044,15509950,NC
0.3866056,15509951,NC
0.3682473,15509952,NC
0.37857947,15509953,NC
0.39776754,15509954,NC
0.41965884,15509955,NC
0.435725,15509956,NC
0.43549815,15509957,NC
0.42956346,15509958,NC
0.43854254,15509959,NC
0.44932416,15509960,NC
0.4512826,15509961,NC
0.45238292,15509962,NC
0.45460218,15509963,NC
0.46629453,15509964,NC
0.46369812,15509965,NC
0.46688882,15509966,NC
0.4629478,15509967,NC
0.46882126,15509968,NC
0.4677185,15509969,NC
0.474443,15509970,NC
0.47043493,15509971,NC
0.45616212,15509972,NC
0.43766683,15509973,NC
0.4232612,15509974,NC
0.4222433,15509975,NC
0.40197608,15509976,NC
0.38261637,15509977,NC
0.36463127,15509978,NC
0.36295024,15509979,NC
0.33796015,15509980,NC
0.3346605,15509981,NC
0.29965737,15509982,NC
0.27688283,15509983,NC
0.26967803,15509984,NC
0.249923,15509985,NC
0.22640137,15509986,NC
0.17386812,15509987,NC
0.14980642,15509988,NC
0.1340354,15509989,NC
0.12793784,15509990,NC
0.10958362,15509991,NC
0.08756898,15509992,NC
0.061779924,15509993,NC
0.04425042,15509994,NC
0.030978363,15509995,NC
0.024768703,15509996,NC
0.0038810908,15509997,NC
-0.01573291,15509998,NC
-0.027190406,15509999,NC
-0.034228455,15510000,NC
-0.03587995,15510001,NC
-0.04908015,15510002,NC
-0.08475339,15510003,NC
-0.11338004,15510004,NC
-0.13186477,15510005,NC
-0.15307838,15510006,NC
-0.16226904,15510007,NC
-0.16036373,15510008,NC
-0.15843976,15510009,NC
-0.16179615,15510010,NC
-0.1750172,15510011,NC
-0.18888728,15510012,NC
-0.18652184,15510013,NC
-0.1831647,15510014,NC
-0.18395017,15510015,NC
-0.19973868,15510016,NC
-0.20116659,15510017,NC
-0.20933895,15510018,NC
-0.21298233,15510019,NC
-0.20504831,15510020,NC
-0.2039949,15510021,NC
-0.19917248,15510022,NC
-0.21390343,15510023,NC
-0.22157577,15510024,NC
-0.21957073,15510025,NC
-0.20668381,15510026,NC
-0.21768314,15510027,NC
-0.2244051,15510028,NC
-0.23035733,15510029,NC
-0.23208497,15510030,NC
-0.23822038,15510031,NC
-0.23478627,15510032,NC
-0.23601677,15510033,NC
-0.21608993,15510034,NC
-0.22365499,15510035,NC
-0.24002872,15510036,NC
-0.25094053,15510037,NC
-0.2505968,15510038,NC
-0.25378576,15510039,NC
-0.25017458,15510040,NC
-0.23893917,15510041,NC
-0.23384985,15510042,NC
-0.23406659,15510043,NC
-0.22755511,15510044,NC
-0.24091259,15510045,NC
-0.2541011,15510046,NC
-0.27631667,15510047,NC
-0.295858,15510048,NC
-0.29780647,15510049,NC
-0.30132914,15510050,NC
-0.3012853,15510051,+
