channel_0,sample #,type
2.4816668,22077291,N
2.3916667,22077292,NC
2.2016668,22077293,NC
1.9116666,22077294,NC
1.5583333,22077295,NC
1.1783334,22077296,NC
0.8033333,22077297,NC
0.46000004,22077298,NC
0.15833333,22077299,NC
-0.09833334,22077300,NC
-0.30833334,22077301,NC
-0.46333334,22077302,NC
-0.55,22077303,NC
-0.55833334,22077304,NC
-0.49666667,22077305,NC
-0.39833334,22077306,NC
-0.29666668,22077307,NC
-0.22666666,22077308,NC
-0.19666666,22077309,NC
-0.20833334,22077310,NC
-0.24000001,22077311,NC
-0.27500004,22077312,NC
-0.30333334,22077313,NC
-0.31666666,22077314,NC
-0.31833333,22077315,NC
-0.30666667,22077316,NC
-0.305,22077317,NC
-0.31333333,22077318,NC
-0.33,22077319,NC
-0.34833336,22077320,NC
-0.365,22077321,NC
-0.36833334,22077322,NC
-0.36166668,22077323,NC
-0.35,22077324,NC
-0.34666666,22077325,NC
-0.3516667,22077326,NC
-0.36333334,22077327,NC
-0.37833333,22077328,NC
-0.385,22077329,NC
-0.38833332,22077330,NC
-0.385,22077331,NC
-0.38166666,22077332,NC
-0.375,22077333,NC
-0.36666667,22077334,NC
-0.36166668,22077335,NC
-0.35833335,22077336,NC
-0.34833336,22077337,NC
-0.32833335,22077338,NC
-0.30166668,22077339,NC
-0.27833334,22077340,NC
-0.26333335,22077341,NC
-0.25333333,22077342,NC
-0.25,22077343,NC
-0.24333334,22077344,NC
-0.22833332,22077345,NC
-0.20000002,22077346,NC
-0.16,22077347,NC
-0.116666675,22077348,NC
-0.08166666,22077349,NC
-0.050000004,22077350,NC
-0.021666668,22077351,NC
0.0066666664,22077352,NC
0.03666667,22077353,NC
0.07,22077354,NC
0.11166667,22077355,NC
0.15833333,22077356,NC
0.20666668,22077357,NC
0.25666666,22077358,NC
0.30833334,22077359,NC
0.36833334,22077360,NC
0.43333334,22077361,NC
0.50333333,22077362,NC
0.5583334,22077363,NC
0.60333335,22077364,NC
0.64000005,22077365,NC
0.6766667,22077366,NC
0.7116667,22077367,NC
0.745,22077368,NC
0.7916667,22077369,NC
0.8400001,22077370,NC
0.8816667,22077371,NC
0.91,22077372,NC
0.9316667,22077373,NC
0.9483333,22077374,NC
0.9616667,22077375,NC
0.97833335,22077376,NC
1.0,22077377,NC
1.025,22077378,NC
1.04,22077379,NC
1.0433333,22077380,NC
1.035,22077381,NC
1.0283333,22077382,NC
1.0216666,22077383,NC
1.0233333,22077384,NC
1.0283333,22077385,NC
1.035,22077386,NC
1.03,22077387,NC
1.0183333,22077388,NC
0.995,22077389,NC
0.97166663,22077390,NC
0.9433333,22077391,NC
0.9216667,22077392,NC
0.90333337,22077393,NC
0.8883334,22077394,NC
0.8766667,22077395,NC
0.855,22077396,NC
0.8283334,22077397,NC
0.79833335,22077398,NC
0.77166665,22077399,NC
0.75166667,22077400,NC
0.7316667,22077401,NC
0.7083334,22077402,NC
0.67833334,22077403,NC
0.6433333,22077404,NC
0.6116667,22077405,NC
0.58500004,22077406,NC
0.56166667,22077407,NC
0.5466667,22077408,NC
0.53000003,22077409,NC
0.5166667,22077410,NC
0.49333334,22077411,NC
0.46166664,22077412,NC
0.425,22077413,NC
0.38666666,22077414,NC
0.36,22077415,NC
0.34166667,22077416,NC
0.34,22077417,NC
0.345,22077418,NC
0.35500002,22077419,NC
0.36166668,22077420,NC
0.36166668,22077421,NC
0.35333335,22077422,NC
0.34,22077423,NC
0.32666665,22077424,NC
0.31666666,22077425,NC
0.31,22077426,NC
0.31166667,22077427,NC
0.315,22077428,NC
0.32,22077429,NC
0.32833335,22077430,NC
0.34666666,22077431,NC
0.38,22077432,NC
0.42666668,22077433,NC
0.4766667,22077434,NC
0.52,22077435,NC
0.54833335,22077436,NC
0.5716667,22077437,NC
0.58500004,22077438,NC
0.59000003,22077439,NC
0.59000003,22077440,NC
0.595,22077441,NC
0.6116667,22077442,NC
0.63,22077443,NC
0.64666665,22077444,NC
0.64666665,22077445,NC
0.625,22077446,NC
0.5866667,22077447,NC
0.53,22077448,NC
0.4666667,22077449,NC
0.4016667,22077450,NC
0.34833336,22077451,NC
0.30166668,22077452,NC
0.26166666,22077453,NC
0.22166666,22077454,NC
0.19166668,22077455,NC
0.15833335,22077456,NC
0.13166668,22077457,NC
0.108333334,22077458,NC
0.10166666,22077459,NC
0.11333333,22077460,NC
0.15,22077461,NC
0.22333333,22077462,NC
0.34333336,22077463,NC
0.515,22077464,NC
0.71833336,22077465,NC
0.93666667,22077466,NC
1.1466666,22077467,NC
1.3516667,22077468,NC
1.5450001,22077469,NC
1.735,22077470,NC
1.9116666,22077471,NC
2.08,22077472,NC
2.23,22077473,NC
2.3600001,22077474,NC
2.4633334,22077475,NC
2.5483334,22077476,NC
2.615,22077477,NC
2.6650002,22077478,NC
2.685,22077479,NC
2.6883335,22077480,NC
2.6683335,22077481,NC
2.645,22077482,NC
2.6166668,22077483,NC
2.595,22077484,NC
2.5716667,22077485,NC
2.545,22077486,NC
2.5266666,22077487,NC
2.5116668,22077488,NC
2.4983335,22077489,NC
2.4666667,22077490,V
2.405,22077491,NC
2.2933335,22077492,NC
2.13,22077493,NC
1.9116666,22077494,NC
1.6483333,22077495,NC
1.3433334,22077496,NC
1.0216666,22077497,NC
0.7033333,22077498,NC
0.395,22077499,NC
0.10333334,22077500,NC
-0.16666667,22077501,NC
-0.40000004,22077502,NC
-0.5866667,22077503,NC
-0.7166667,22077504,NC
-0.7783333,22077505,NC
-0.7916667,22077506,NC
-0.78,22077507,NC
-0.775,22077508,NC
-0.78666663,22077509,NC
-0.815,22077510,NC
-0.8583334,22077511,NC
-0.9016667,22077512,NC
-0.93833333,22077513,NC
-0.9666667,22077514,NC
-0.9816667,22077515,NC
-0.99333334,22077516,NC
-1.0016667,22077517,NC
-1.0133333,22077518,NC
-1.0350001,22077519,NC
-1.0616667,22077520,NC
-1.1,22077521,NC
-1.14,22077522,NC
-1.1783333,22077523,NC
-1.2116667,22077524,NC
-1.2333333,22077525,NC
-1.2466667,22077526,NC
-1.2550001,22077527,NC
-1.2616668,22077528,NC
-1.2783334,22077529,NC
-1.2883334,22077530,NC
-1.2950001,22077531,NC
-1.2966666,22077532,NC
-1.3033334,22077533,NC
