channel_0,sample #,type
0.9134281,15254725,N
0.9203453,15254726,NC
0.90392566,15254727,NC
0.84916896,15254728,NC
0.7560755,15254729,NC
0.599645,15254730,NC
0.3515443,15254731,NC
0.060106635,15254732,NC
-0.18633465,15254733,NC
-0.32777956,15254734,NC
-0.37756145,15254735,NC
-0.38068032,15254736,NC
-0.37046954,15254737,NC
-0.3569291,15254738,NC
-0.3333923,15254739,NC
-0.30152586,15254740,NC
-0.26132977,15254741,NC
-0.2294707,15254742,NC
-0.20428208,15254743,NC
-0.1990971,15254744,NC
-0.19558254,15254745,NC
-0.1920717,15254746,NC
-0.17856464,15254747,NC
-0.17006132,15254748,NC
-0.17156169,15254749,NC
-0.18306589,15254750,NC
-0.1862405,15254751,NC
-0.17108554,15254752,NC
-0.14593439,15254753,NC
-0.12412035,15254754,NC
-0.11064345,15254755,NC
-0.10050364,15254756,NC
-0.098701,15254757,NC
-0.1002355,15254758,NC
-0.09844048,15254759,NC
-0.094982624,15254760,NC
-0.09486192,15254761,NC
-0.09641172,15254762,NC
-0.09129869,15254763,NC
-0.08285618,15254764,NC
-0.07941749,15254765,NC
-0.080982655,15254766,NC
-0.08421837,15254767,NC
-0.09079125,15254768,NC
-0.09903466,15254769,NC
-0.10061528,15254770,NC
-0.09719977,15254771,NC
-0.08545481,15254772,NC
-0.07538039,15254773,NC
-0.06364316,15254774,NC
-0.060243167,15254775,NC
-0.058513723,15254776,NC
-0.0601215,15254777,NC
-0.066733174,15254778,NC
-0.06834872,15254779,NC
-0.061634853,15254780,NC
-0.04492487,15254781,NC
-0.02988547,15254782,NC
-0.021516614,15254783,NC
-0.013151675,15254784,NC
-0.0081239715,15254785,NC
0.00023316592,15254786,NC
0.010253064,15254787,NC
0.025269054,15254788,NC
0.033614468,15254789,NC
0.038622636,15254790,NC
0.035293568,15254791,NC
0.045293927,15254792,NC
0.061957046,15254793,NC
0.07861625,15254794,NC
0.08527155,15254795,NC
0.08525627,15254796,NC
0.081903756,15254797,NC
0.07688067,15254798,NC
0.07352035,15254799,NC
0.08015611,15254800,NC
0.090121314,15254801,NC
0.10174928,15254802,NC
0.11004001,15254803,NC
0.11999351,15254804,NC
0.12994313,15254805,NC
