channel_0,sample #,type
1.9157126,21728300,N
1.7997193,21728301,NC
1.5710438,21728302,NC
1.2329942,21728303,NC
0.81854194,21728304,NC
0.39458627,21728305,NC
-0.014823273,21728306,NC
-0.37618208,21728307,NC
-0.6721428,21728308,NC
-0.9002831,21728309,NC
-1.0454341,21728310,NC
-1.1099273,21728311,NC
-1.0938666,21728312,NC
-1.0154501,21728313,NC
-0.91673875,21728314,NC
-0.8115498,21728315,NC
-0.74446774,21728316,NC
-0.70928806,21728317,NC
-0.7121509,21728318,NC
-0.73722374,21728319,NC
-0.77672493,21728320,NC
-0.79878414,21728321,NC
-0.80540496,21728322,NC
-0.8121778,21728323,NC
-0.8100265,21728324,NC
-0.8112769,21728325,NC
-0.81550765,21728326,NC
-0.82196355,21728327,NC
-0.8287563,21728328,NC
-0.83517855,21728329,NC
-0.8285954,21728330,NC
-0.82991016,21728331,NC
-0.8209766,21728332,NC
-0.82592803,21728333,NC
-0.8361384,21728334,NC
-0.8447303,21728335,NC
-0.852532,21728336,NC
-0.86117166,21728337,NC
-0.86033,21728338,NC
-0.8511635,21728339,NC
-0.843226,21728340,NC
-0.8385261,21728341,NC
-0.83146423,21728342,NC
-0.82111156,21728343,NC
-0.8075578,21728344,NC
-0.78953207,21728345,NC
-0.7804077,21728346,NC
-0.758704,21728347,NC
-0.7428449,21728348,NC
-0.7260637,21728349,NC
-0.7145902,21728350,NC
-0.69760454,21728351,NC
-0.67739576,21728352,NC
-0.6538981,21728353,NC
-0.6232105,21728354,NC
-0.59512204,21728355,NC
-0.5622954,21728356,NC
-0.53551596,21728357,NC
-0.50996876,21728358,NC
-0.48303267,21728359,NC
-0.46165425,21728360,NC
-0.43163076,21728361,NC
-0.39330024,21728362,NC
-0.35180166,21728363,NC
-0.3151473,21728364,NC
-0.26841584,21728365,NC
-0.22607191,21728366,NC
-0.1911166,21728367,NC
-0.1502223,21728368,NC
-0.11173248,21728369,NC
-0.070917785,21728370,NC
-0.031146277,21728371,NC
0.0007597327,21728372,NC
0.025728952,21728373,NC
0.051445417,21728374,NC
0.07215202,21728375,NC
0.10314516,21728376,NC
0.12968923,21728377,NC
0.17305103,21728378,NC
0.21781328,21728379,NC
0.26180044,21728380,NC
0.29949445,21728381,NC
0.33226928,21728382,NC
0.34820852,21728383,NC
0.36358204,21728384,NC
0.37125888,21728385,NC
0.38141885,21728386,NC
0.39809072,21728387,NC
0.40041173,21728388,NC
0.4091284,21728389,NC
0.40899372,21728390,NC
0.40959728,21728391,NC
0.40332726,21728392,NC
0.39699376,21728393,NC
0.391726,21728394,NC
0.37663767,21728395,NC
0.3613506,21728396,NC
0.3397577,21728397,NC
0.32124206,21728398,NC
0.2995987,21728399,NC
0.276732,21728400,NC
0.2554814,21728401,NC
0.23169625,21728402,NC
0.20971651,21728403,NC
0.18966204,21728404,NC
0.16382502,21728405,NC
0.12976389,21728406,NC
0.08731658,21728407,NC
0.046018478,21728408,NC
-6.522105e-05,21728409,NC
-0.028674705,21728410,NC
-0.054864496,21728411,NC
-0.07645424,21728412,NC
-0.088029094,21728413,NC
-0.10944308,21728414,NC
-0.1303575,21728415,NC
-0.14141987,21728416,NC
-0.16995214,21728417,NC
-0.18787381,21728418,NC
-0.2109166,21728419,NC
-0.22816962,21728420,NC
-0.24871634,21728421,NC
-0.27496737,21728422,NC
-0.29977563,21728423,NC
-0.3187036,21728424,NC
-0.3326095,21728425,NC
-0.3419026,21728426,NC
-0.34552333,21728427,NC
-0.33654714,21728428,NC
-0.3307532,21728429,NC
-0.32471567,21728430,NC
-0.33075052,21728431,NC
-0.34276992,21728432,NC
-0.3572861,21728433,NC
-0.36914718,21728434,NC
-0.37715703,21728435,NC
-0.36575013,21728436,NC
-0.3518847,21728437,NC
-0.3250315,21728438,NC
-0.2957325,21728439,NC
-0.26514524,21728440,NC
-0.23904641,21728441,NC
-0.21706115,21728442,NC
-0.18691407,21728443,NC
-0.1524536,21728444,NC
-0.12346715,21728445,NC
-0.09551141,21728446,NC
-0.06842138,21728447,NC
-0.050183117,21728448,NC
-0.038112234,21728449,NC
-0.015209152,21728450,NC
-0.0003842615,21728451,NC
0.007221506,21728452,NC
0.019325454,21728453,NC
0.011020633,21728454,NC
-0.0026529317,21728455,NC
-0.03616309,21728456,NC
-0.07894359,21728457,NC
-0.13582423,21728458,NC
-0.18812156,21728459,NC
-0.24206881,21728460,NC
-0.28602841,21728461,NC
-0.31461048,21728462,NC
-0.33719918,21728463,NC
-0.35624763,21728464,NC
-0.36669794,21728465,NC
-0.37694368,21728466,NC
-0.37132362,21728467,NC
-0.36325052,21728468,NC
-0.35514063,21728469,NC
-0.36448509,21728470,NC
-0.38207895,21728471,NC
-0.4169254,21728472,NC
-0.4518506,21728473,NC
-0.47425404,21728474,NC
-0.46968386,21728475,NC
-0.44708204,21728476,NC
-0.39721775,21728477,NC
-0.3117209,21728478,NC
-0.18808645,21728479,NC
-0.036296785,21728480,NC
0.14373931,21728481,NC
0.3361562,21728482,NC
0.5369133,21728483,NC
0.7529331,21728484,NC
0.96294194,21728485,NC
1.1699914,21728486,NC
1.362908,21728487,NC
1.531862,21728488,NC
1.6823928,21728489,NC
1.8097956,21728490,NC
1.9356692,21728491,NC
2.054516,21728492,NC
2.170186,21728493,NC
2.2596126,21728494,NC
2.3392117,21728495,NC
2.3982818,21728496,NC
2.4414728,21728497,V
2.4600015,21728498,NC
2.448577,21728499,NC
2.395939,21728500,NC
2.2882848,21728501,NC
2.1189704,21728502,NC
1.8569424,21728503,NC
1.5382732,21728504,NC
1.1507894,21728505,NC
0.73464286,21728506,NC
0.31345284,21728507,NC
-0.07073743,21728508,NC
-0.3960718,21728509,NC
-0.6252605,21728510,NC
-0.7636664,21728511,NC
-0.81916195,21728512,NC
-0.8307319,21728513,NC
-0.8202704,21728514,NC
-0.81494474,21728515,NC
-0.8405415,21728516,NC
-0.8639344,21728517,NC
-0.9040917,21728518,NC
-0.9455863,21728519,NC
-0.97722554,21728520,NC
-0.9932468,21728521,NC
-1.0089419,21728522,NC
-1.0208993,21728523,NC
-1.0323082,21728524,NC
-1.0319204,21728525,NC
-1.0418122,21728526,NC
-1.0609465,21728527,NC
-1.0819918,21728528,NC
-1.1079588,21728529,NC
-1.1319002,21728530,NC
-1.1566719,21728531,NC
-1.1754198,21728532,NC
-1.1844877,21728533,NC
-1.1957749,21728534,NC
-1.2045605,21728535,NC
-1.2115371,21728536,NC
-1.2289027,21728537,NC
-1.2540506,21728538,NC
-1.2733151,21728539,NC
-1.2913151,21728540,NC
-1.3011992,21728541,NC
-1.312356,21728542,NC
-1.3144462,21728543,NC
-1.3195118,21728544,NC
-1.317504,21728545,NC
-1.3339416,21728546,NC
-1.3392755,21728547,NC
-1.3386681,21728548,NC
-1.3430101,21728549,NC
-1.3368272,21728550,NC
-1.3316766,21728551,NC
-1.3280997,21728552,NC
-1.3189952,21728553,NC
-1.3334289,21728554,NC
-1.3281108,21728555,NC
-1.3106557,21728556,NC
-1.3025823,21728557,NC
-1.2808303,21728558,NC
-1.2553827,21728559,NC
-1.2335677,21728560,NC
-1.2149166,21728561,NC
-1.1944766,21728562,NC
-1.1645133,21728563,NC
-1.136382,21728564,NC
-1.1010567,21728565,NC
-1.0610763,21728566,NC
-1.0285945,21728567,NC
-0.9932592,21728568,NC
-0.9601181,21728569,NC
-0.92998576,21728570,NC
-0.8834638,21728571,NC
-0.84117204,21728572,NC
-0.7902726,21728573,NC
-0.7453859,21728574,NC
-0.6977512,21728575,NC
-0.6551277,21728576,NC
-0.61619866,21728577,NC
-0.5792868,21728578,NC
-0.5381414,21728579,NC
-0.48969185,21728580,NC
-0.44790167,21728581,NC
-0.39370888,21728582,NC
-0.350501,21728583,NC
-0.31363165,21728584,NC
-0.2919494,21728585,NC
-0.27566668,21728586,NC
-0.2586331,21728587,NC
-0.24850462,21728588,NC
-0.22648363,21728589,NC
-0.21430093,21728590,NC
-0.1992895,21728591,NC
-0.18668076,21728592,NC
-0.17958075,21728593,NC
-0.17417021,21728594,NC
-0.16769871,21728595,NC
-0.16314605,21728596,NC
-0.16554546,21728597,NC
-0.17306454,21728598,NC
-0.18318214,21728599,NC
-0.19500348,21728600,NC
-0.21280132,21728601,NC
-0.23542652,21728602,NC
-0.24991453,21728603,NC
-0.2611841,21728604,NC
-0.2774139,21728605,NC
-0.27543902,21728606,NC
-0.28086647,21728607,NC
-0.28593943,21728608,NC
-0.295523,21728609,NC
-0.31832993,21728610,NC
-0.34594932,21728611,NC
-0.37305927,21728612,NC
-0.39781228,21728613,NC
-0.4150778,21728614,NC
-0.4315599,21728615,NC
-0.44007143,21728616,NC
-0.44988412,21728617,NC
-0.46396807,21728618,NC
-0.47453958,21728619,NC
-0.47862172,21728620,NC
-0.47990292,21728621,NC
-0.4803163,21728622,NC
-0.481091,21728623,NC
-0.48455793,21728624,NC
-0.4861567,21728625,NC
-0.48784465,21728626,NC
-0.48808846,21728627,NC
-0.4865171,21728628,NC
-0.47651905,21728629,NC
-0.45274413,21728630,NC
-0.4332099,21728631,NC
-0.40976083,21728632,NC
-0.3984338,21728633,NC
-0.4032683,21728634,NC
-0.41200194,21728635,NC
-0.42111292,21728636,NC
-0.4296918,21728637,NC
-0.41964185,21728638,NC
-0.40962288,21728639,NC
-0.3925153,21728640,NC
-0.36744276,21728641,NC
-0.338526,21728642,NC
-0.30330634,21728643,NC
-0.27195355,21728644,NC
-0.24601407,21728645,NC
-0.21804185,21728646,NC
-0.18884341,21728647,NC
-0.16747989,21728648,NC
-0.14583421,21728649,NC
-0.12288831,21728650,NC
-0.11900501,21728651,NC
-0.11181378,21728652,NC
-0.10828018,21728653,NC
-0.10240766,21728654,NC
-0.096844316,21728655,NC
-0.10220197,21728656,NC
-0.123557046,21728657,NC
-0.16016527,21728658,NC
-0.21569107,21728659,NC
-0.27291456,21728660,NC
-0.33378327,21728661,NC
-0.38472986,21728662,NC
-0.41983825,21728663,NC
-0.43395457,21728664,NC
-0.4384037,21728665,NC
-0.4258694,21728666,NC
-0.42586833,21728667,NC
-0.42619982,21728668,NC
-0.43146545,21728669,NC
-0.43819958,21728670,NC
-0.45227253,21728671,NC
-0.45185617,21728672,NC
-0.45754075,21728673,NC
