channel_0,sample #,type
1.53,16933765,N
1.51,16933766,NC
1.4725001,16933767,NC
1.3900001,16933768,NC
1.26,16933769,NC
1.1300001,16933770,NC
0.975,16933771,NC
0.77,16933772,NC
0.5225,16933773,NC
0.26999998,16933774,NC
0.052500002,16933775,NC
-0.12,16933776,NC
-0.26999998,16933777,NC
-0.39749998,16933778,NC
-0.48749998,16933779,NC
-0.54499996,16933780,NC
-0.56,16933781,NC
-0.5625,16933782,NC
-0.5625,16933783,NC
-0.58000004,16933784,NC
-0.62,16933785,NC
-0.655,16933786,NC
-0.6725,16933787,NC
-0.6725,16933788,NC
-0.68,16933789,NC
-0.6925,16933790,NC
-0.7075,16933791,NC
-0.7175,16933792,NC
-0.725,16933793,NC
-0.725,16933794,NC
-0.72,16933795,NC
-0.72,16933796,NC
-0.725,16933797,NC
-0.74,16933798,NC
-0.7525,16933799,NC
-0.76,16933800,NC
-0.7625,16933801,NC
-0.77250004,16933802,NC
-0.7975,16933803,NC
-0.81,16933804,NC
-0.7975,16933805,NC
-0.765,16933806,NC
-0.74,16933807,NC
-0.74,16933808,NC
-0.7475,16933809,NC
-0.7525,16933810,NC
-0.7525,16933811,NC
-0.7375,16933812,NC
-0.71500003,16933813,NC
-0.69,16933814,NC
-0.6725,16933815,NC
-0.6775,16933816,NC
-0.675,16933817,NC
-0.6575,16933818,NC
-0.65,16933819,NC
-0.645,16933820,NC
-0.635,16933821,NC
-0.6175,16933822,NC
-0.5925,16933823,NC
-0.565,16933824,NC
-0.5375,16933825,NC
-0.515,16933826,NC
-0.51,16933827,NC
-0.505,16933828,NC
-0.485,16933829,NC
-0.45999998,16933830,NC
-0.43,16933831,NC
-0.415,16933832,NC
-0.42000002,16933833,NC
-0.41750002,16933834,NC
-0.39,16933835,NC
-0.3625,16933836,NC
-0.355,16933837,NC
-0.35,16933838,NC
-0.3425,16933839,NC
-0.33249998,16933840,NC
-0.32,16933841,NC
-0.2975,16933842,NC
-0.265,16933843,NC
-0.2475,16933844,NC
-0.2525,16933845,NC
-0.25,16933846,NC
-0.225,16933847,NC
-0.19749999,16933848,NC
-0.17500001,16933849,NC
-0.17500001,16933850,NC
-0.1825,16933851,NC
-0.18,16933852,NC
-0.17750001,16933853,NC
-0.185,16933854,NC
-0.19,16933855,NC
-0.195,16933856,NC
-0.22749999,16933857,NC
-0.255,16933858,NC
-0.25,16933859,NC
-0.23249999,16933860,NC
-0.22999999,16933861,NC
-0.24000001,16933862,NC
-0.2475,16933863,NC
-0.255,16933864,NC
-0.2475,16933865,NC
-0.235,16933866,NC
-0.235,16933867,NC
-0.22749999,16933868,NC
-0.225,16933869,NC
-0.225,16933870,NC
-0.2175,16933871,NC
-0.2,16933872,NC
-0.185,16933873,NC
-0.195,16933874,NC
-0.21000001,16933875,NC
-0.215,16933876,NC
-0.20750001,16933877,NC
-0.1925,16933878,NC
-0.17750001,16933879,NC
-0.16499999,16933880,NC
-0.16499999,16933881,NC
-0.1625,16933882,NC
-0.1525,16933883,NC
-0.1375,16933884,NC
-0.1175,16933885,NC
-0.1175,16933886,NC
-0.125,16933887,NC
-0.1075,16933888,NC
-0.065,16933889,NC
-0.015,16933890,NC
0.024999999,16933891,NC
0.08,16933892,NC
0.1875,16933893,NC
0.32,16933894,NC
0.4275,16933895,NC
0.4975,16933896,V
0.5375,16933897,NC
0.53999996,16933898,NC
0.47249997,16933899,NC
0.2925,16933900,NC
-0.0024999976,16933901,NC
-0.4375,16933902,NC
-0.99,16933903,NC
-1.5425,16933904,NC
-1.9675,16933905,NC
-2.2125,16933906,NC
-2.3274999,16933907,NC
-2.385,16933908,NC
-2.435,16933909,NC
-2.4825,16933910,NC
-2.525,16933911,NC
-2.5575,16933912,NC
-2.5749998,16933913,NC
-2.5825,16933914,NC
-2.5774999,16933915,NC
-2.5749998,16933916,NC
-2.5749998,16933917,NC
-2.5575,16933918,NC
-2.505,16933919,NC
-2.42,16933920,NC
-2.3175,16933921,NC
-2.205,16933922,NC
-2.0875,16933923,NC
-1.9725001,16933924,NC
-1.855,16933925,NC
-1.7425001,16933926,NC
-1.6475,16933927,NC
-1.5875001,16933928,NC
-1.5375,16933929,NC
-1.4375,16933930,NC
-1.2950001,16933931,NC
-1.1075001,16933932,NC
-0.8725,16933933,NC
-0.635,16933934,NC
-0.4425,16933935,NC
-0.275,16933936,NC
-0.1075,16933937,NC
0.035,16933938,NC
0.15,16933939,NC
0.24000001,16933940,NC
0.29250002,16933941,NC
0.32999998,16933942,NC
0.3675,16933943,NC
0.39999998,16933944,NC
0.44,16933945,NC
0.48000002,16933946,NC
0.5025,16933947,NC
0.52750003,16933948,NC
0.57000005,16933949,NC
0.62750006,16933950,NC
0.68,16933951,NC
0.71000004,16933952,NC
0.72,16933953,NC
0.7425,16933954,NC
0.7875,16933955,NC
0.83500004,16933956,NC
0.8775,16933957,NC
0.92499995,16933958,NC
0.975,16933959,NC
1.0174999,16933960,NC
1.0675,16933961,NC
1.13,16933962,NC
1.2025,16933963,NC
1.255,16933964,NC
1.28,16933965,NC
1.3125,16933966,NC
1.38,16933967,NC
1.4549999,16933968,NC
1.505,16933969,NC
1.5374999,16933970,NC
1.5675,16933971,NC
1.61,16933972,NC
1.6625,16933973,NC
1.71,16933974,NC
1.7425001,16933975,NC
1.765,16933976,NC
1.775,16933977,NC
1.7825,16933978,NC
1.8050001,16933979,NC
1.825,16933980,NC
1.8275001,16933981,NC
1.8075,16933982,NC
1.7725,16933983,NC
1.7475,16933984,NC
1.7275,16933985,NC
1.705,16933986,NC
1.6775,16933987,NC
1.6375,16933988,NC
1.5925,16933989,NC
1.54,16933990,NC
1.4875,16933991,NC
1.4425,16933992,NC
1.395,16933993,NC
1.325,16933994,NC
1.2425001,16933995,NC
1.1675,16933996,NC
1.105,16933997,NC
1.0425,16933998,NC
0.975,16933999,NC
0.9175,16934000,NC
0.845,16934001,NC
0.75,16934002,NC
0.6725,16934003,NC
0.61749995,16934004,NC
0.55499995,16934005,NC
0.4875,16934006,NC
0.41250002,16934007,NC
0.3375,16934008,NC
0.28,16934009,NC
0.23249999,16934010,NC
0.1875,16934011,NC
0.1375,16934012,NC
0.0875,16934013,NC
0.03,16934014,NC
-0.015000001,16934015,NC
-0.0375,16934016,NC
-0.0675,16934017,NC
-0.0975,16934018,NC
-0.13,16934019,NC
-0.16,16934020,NC
-0.18,16934021,NC
-0.19,16934022,NC
-0.19749999,16934023,NC
-0.2125,16934024,NC
-0.2325,16934025,NC
-0.2575,16934026,NC
-0.2775,16934027,NC
-0.285,16934028,NC
-0.2975,16934029,NC
-0.32999998,16934030,NC
-0.35500002,16934031,NC
-0.35750002,16934032,NC
-0.35750002,16934033,NC
-0.36,16934034,NC
-0.35250002,16934035,NC
-0.3475,16934036,NC
-0.365,16934037,NC
-0.3875,16934038,NC
-0.39,16934039,NC
-0.38,16934040,NC
-0.37,16934041,NC
-0.3775,16934042,NC
-0.39749998,16934043,NC
-0.4025,16934044,NC
-0.405,16934045,NC
-0.4075,16934046,NC
-0.39499998,16934047,NC
-0.39,16934048,NC
-0.4075,16934049,NC
-0.425,16934050,NC
-0.425,16934051,NC
-0.41,16934052,NC
-0.4025,16934053,NC
-0.405,16934054,NC
-0.41,16934055,NC
-0.4175,16934056,NC
-0.4125,16934057,NC
-0.4,16934058,NC
-0.39249998,16934059,NC
-0.39999998,16934060,NC
-0.41750002,16934061,NC
-0.435,16934062,NC
-0.45,16934063,NC
-0.4475,16934064,NC
-0.4325,16934065,NC
-0.43,16934066,NC
-0.4475,16934067,NC
-0.4625,16934068,NC
-0.4625,16934069,NC
-0.45,16934070,NC
-0.4425,16934071,NC
-0.45,16934072,NC
-0.45,16934073,NC
-0.45499998,16934074,NC
-0.46,16934075,NC
-0.445,16934076,NC
-0.435,16934077,NC
-0.4325,16934078,NC
-0.44,16934079,NC
-0.4525,16934080,NC
-0.4475,16934081,NC
-0.445,16934082,NC
-0.45,16934083,NC
-0.45749998,16934084,NC
-0.4675,16934085,NC
-0.4675,16934086,NC
-0.45749998,16934087,NC
-0.4475,16934088,NC
-0.4375,16934089,NC
-0.4275,16934090,NC
-0.4375,16934091,NC
-0.45749998,16934092,NC
-0.4525,16934093,NC
-0.4325,16934094,NC
-0.42000002,16934095,NC
-0.42000002,16934096,NC
-0.44,16934097,NC
-0.455,16934098,NC
-0.455,16934099,NC
-0.445,16934100,NC
-0.425,16934101,NC
-0.4275,16934102,NC
-0.4525,16934103,NC
-0.47500002,16934104,NC
-0.47750002,16934105,NC
-0.45749998,16934106,NC
-0.435,16934107,NC
-0.435,16934108,NC
-0.465,16934109,NC
-0.48250002,16934110,NC
-0.4725,16934111,NC
-0.46,16934112,NC
-0.4525,16934113,NC
-0.46249998,16934114,NC
-0.465,16934115,NC
-0.4525,16934116,NC
-0.445,16934117,NC
-0.435,16934118,NC
-0.4375,16934119,NC
-0.45,16934120,NC
-0.4675,16934121,NC
-0.48250002,16934122,NC
-0.48000002,16934123,NC
-0.465,16934124,NC
-0.445,16934125,NC
-0.4425,16934126,NC
-0.46249998,16934127,NC
-0.4725,16934128,NC
-0.45999998,16934129,NC
-0.45,16934130,NC
-0.4475,16934131,NC
-0.4475,16934132,NC
-0.45499998,16934133,NC
-0.4575,16934134,NC
-0.445,16934135,NC
-0.435,16934136,NC
-0.43,16934137,NC
-0.4275,16934138,NC
-0.4425,16934139,NC
-0.47000003,16934140,NC
-0.4925,16934141,NC
-0.495,16934142,NC
-0.48250002,16934143,NC
-0.475,16934144,NC
-0.48250002,16934145,NC
-0.495,16934146,NC
-0.485,16934147,NC
-0.45499998,16934148,NC
-0.4275,16934149,NC
-0.42000002,16934150,NC
-0.4325,16934151,NC
-0.435,16934152,NC
-0.4225,16934153,NC
-0.4125,16934154,NC
-0.4075,16934155,NC
-0.4075,16934156,NC
-0.41750002,16934157,NC
-0.425,16934158,NC
-0.4325,16934159,NC
-0.4225,16934160,NC
-0.4025,16934161,NC
-0.405,16934162,NC
-0.41750002,16934163,NC
-0.43,16934164,NC
-0.4275,16934165,NC
-0.4225,16934166,NC
-0.42000002,16934167,NC
-0.425,16934168,NC
-0.4425,16934169,NC
-0.4525,16934170,NC
-0.4525,16934171,NC
-0.4425,16934172,NC
-0.425,16934173,NC
-0.41,16934174,NC
-0.41500002,16934175,NC
-0.435,16934176,NC
-0.45499998,16934177,~
