channel_0,sample #,type
1.9713097,22549712,L
1.9975611,22549713,NC
1.9931692,22549714,NC
1.9399627,22549715,NC
1.7763505,22549716,NC
1.5306374,22549717,NC
1.2344661,22549718,NC
0.9502127,22549719,NC
0.71338713,22549720,NC
0.5268633,22549721,NC
0.42374516,22549722,NC
0.34363037,22549723,NC
0.31733704,22549724,NC
0.3028144,22549725,NC
0.29878697,22549726,NC
0.2871579,22549727,NC
0.26951423,22549728,NC
0.22674862,22549729,NC
0.1915337,22549730,NC
0.15837696,22549731,NC
0.120471165,22549732,NC
0.08658487,22549733,NC
0.04440603,22549734,NC
0.025709938,22549735,NC
-0.0166305,22549736,NC
-0.038290326,22549737,NC
-0.060522407,22549738,NC
-0.0811242,22549739,NC
-0.10792551,22549740,NC
-0.12673128,22549741,NC
-0.14386559,22549742,NC
-0.16209808,22549743,NC
-0.18887518,22549744,NC
-0.21321173,22549745,NC
-0.2341282,22549746,NC
-0.2578784,22549747,NC
-0.27314368,22549748,NC
-0.27183253,22549749,NC
-0.2769925,22549750,NC
-0.28904042,22549751,NC
-0.30250394,22549752,NC
-0.32184693,22549753,NC
-0.316509,22549754,NC
-0.30829358,22549755,NC
-0.3175308,22549756,NC
-0.32045892,22549757,NC
-0.33089373,22549758,NC
-0.33246112,22549759,NC
-0.3432859,22549760,NC
-0.33102193,22549761,NC
-0.3419469,22549762,NC
-0.3485694,22549763,NC
-0.3457317,22549764,NC
-0.3511881,22549765,NC
-0.34861493,22549766,NC
-0.34103626,22549767,NC
-0.36134267,22549768,NC
-0.3536945,22549769,NC
-0.37410334,22549770,NC
-0.37001303,22549771,NC
-0.36874634,22549772,NC
-0.3715192,22549773,NC
-0.35627592,22549774,NC
-0.36645618,22549775,NC
-0.371176,22549776,NC
-0.38141134,22549777,NC
-0.39457372,22549778,NC
-0.39182022,22549779,NC
-0.3829682,22549780,NC
-0.39549956,22549781,NC
-0.40204206,22549782,NC
-0.41056374,22549783,NC
-0.41969034,22549784,NC
-0.4316762,22549785,NC
-0.41309544,22549786,NC
-0.42480028,22549787,NC
-0.42077872,22549788,NC
-0.43377724,22549789,NC
-0.44080782,22549790,NC
-0.4503266,22549791,NC
-0.44134864,22549792,NC
-0.46197885,22549793,NC
-0.47993535,22549794,NC
-0.48639968,22549795,NC
-0.48167366,22549796,NC
-0.48439187,22549797,NC
-0.47977647,22549798,NC
-0.48780435,22549799,NC
-0.500425,22549800,NC
-0.5158381,22549801,NC
-0.5082584,22549802,NC
-0.49755147,22549803,NC
-0.49796167,22549804,NC
-0.48846486,22549805,NC
-0.5110872,22549806,NC
-0.5080835,22549807,NC
-0.50813836,22549808,NC
-0.47917557,22549809,NC
-0.46209046,22549810,NC
-0.44843772,22549811,NC
-0.43281037,22549812,NC
-0.42432192,22549813,NC
-0.41043213,22549814,NC
-0.39198557,22549815,NC
-0.3654538,22549816,NC
-0.34730473,22549817,NC
-0.33625108,22549818,NC
-0.32020727,22549819,NC
-0.30923986,22549820,NC
-0.28499782,22549821,NC
-0.26332828,22549822,NC
-0.24812268,22549823,NC
-0.23796168,22549824,NC
-0.21681967,22549825,NC
-0.192351,22549826,NC
-0.1570959,22549827,NC
-0.1441551,22549828,NC
-0.13470542,22549829,NC
-0.13550685,22549830,NC
-0.12888467,22549831,NC
-0.12019668,22549832,NC
-0.10082147,22549833,NC
-0.09458915,22549834,NC
-0.094184294,22549835,NC
-0.1088579,22549836,NC
-0.11109756,22549837,NC
-0.11357666,22549838,NC
-0.113494195,22549839,NC
-0.10312746,22549840,NC
-0.10507766,22549841,NC
-0.107805364,22549842,NC
-0.118757844,22549843,NC
-0.11856558,22549844,NC
-0.10958624,22549845,NC
-0.10149149,22549846,NC
-0.09202945,22549847,NC
-0.08842951,22549848,NC
-0.093544364,22549849,NC
