channel_0,sample #,type
1.0025425,17098537,N
0.96291095,17098538,NC
0.87367016,17098539,NC
0.7943473,17098540,NC
0.6852576,17098541,NC
0.5612828,17098542,NC
0.41250175,17098543,NC
0.18930821,17098544,NC
-0.014046034,17098545,NC
-0.17771854,17098546,NC
-0.291788,17098547,NC
-0.33145145,17098548,NC
-0.35127553,17098549,NC
-0.4008666,17098550,NC
-0.44550022,17098551,NC
-0.40084586,17098552,NC
-0.3413129,17098553,NC
-0.36115304,17098554,NC
-0.4454844,17098555,NC
-0.49013397,17098556,NC
-0.48518062,17098557,NC
-0.47526982,17098558,NC
-0.5050472,17098559,NC
-0.5695521,17098560,NC
-0.6191783,17098561,NC
-0.6291228,17098562,NC
-0.6291492,17098563,NC
-0.59445447,17098564,NC
-0.559763,17098565,NC
-0.55483836,17098566,NC
-0.5846413,17098567,NC
-0.5946049,17098568,NC
-0.57976866,17098569,NC
-0.5450931,17098570,NC
-0.5550663,17098571,NC
-0.58488524,17098572,NC
-0.5948648,17098573,NC
-0.59492624,17098574,NC
-0.60491216,17098575,NC
-0.60498005,17098576,NC
-0.59512985,17098577,NC
-0.5753616,17098578,NC
-0.5655178,17098579,NC
-0.5407952,17098580,NC
-0.52599704,17098581,NC
-0.5161627,17098582,NC
-0.5360952,17098583,NC
-0.5461096,17098584,NC
-0.58589095,17098585,NC
-0.5859904,17098586,NC
-0.521605,17098587,NC
-0.45226213,17098588,NC
-0.41268605,17098589,NC
-0.39295566,17098590,NC
-0.36826777,17098591,NC
-0.4130316,17098592,NC
-0.4429168,17098593,NC
-0.46784443,17098594,NC
-0.4233265,17098595,NC
-0.33912677,17098596,NC
-0.269812,17098597,NC
-0.23522466,17098598,NC
-0.22544348,17098599,NC
-0.2305473,17098600,NC
-0.22573292,17098601,NC
-0.21596104,17098602,NC
-0.22107409,17098603,NC
-0.21130836,17098604,NC
-0.1767426,17098605,NC
-0.15706173,17098606,NC
-0.1522658,17098607,NC
-0.18219726,17098608,NC
-0.2270136,17098609,NC
-0.2420693,17098610,NC
-0.20256117,17098611,NC
-0.10848932,17098612,NC
-0.044184178,17098613,NC
-0.029488236,17098614,NC
-0.024716558,17098615,NC
0.004855228,17098616,NC
0.029463388,17098617,NC
0.044147324,17098618,NC
0.038985793,17098619,NC
-0.0058636605,17098620,NC
-0.07551919,17098621,NC
-0.11045334,17098622,NC
-0.11562672,17098623,NC
-0.056315016,17098624,NC
-0.051573064,17098625,NC
-0.09147962,17098626,NC
-0.14131033,17098627,NC
-0.11673468,17098628,NC
-0.07231946,17098629,NC
-0.09239521,17098630,NC
-0.14223754,17098631,NC
-0.1970434,17098632,NC
-0.21712781,17098633,NC
-0.1380027,17098634,NC
-0.0985654,17098635,NC
-0.123619005,17098636,NC
-0.13875422,17098637,NC
-0.1588529,17098638,NC
-0.16903318,17098639,NC
-0.19905874,17098640,NC
-0.1993234,17098641,NC
-0.19959088,17098642,NC
-0.19490054,17098643,NC
-0.19517358,17098644,NC
-0.21529189,17098645,NC
-0.20564921,17098646,NC
-0.17616686,17098647,NC
-0.15164787,17098648,NC
-0.13705283,17098649,NC
-0.16710612,17098650,NC
-0.20708336,17098651,NC
-0.20241775,17098652,NC
-0.20271543,17098653,NC
-0.2228583,17098654,NC
-0.24796446,17098655,NC
-0.27307326,17098656,NC
-0.27338165,17098657,NC
-0.23400776,17098658,NC
-0.17479399,17098659,NC
-0.11062226,17098660,NC
-0.11094118,17098661,NC
-0.15590827,17098662,NC
-0.17111427,17098663,NC
-0.11191354,17098664,NC
0.0018514193,17098665,NC
0.036243904,17098666,NC
-0.023617921,17098667,NC
-0.11820661,17098668,NC
-0.19295539,17098669,NC
-0.2528248,17098670,NC
-0.32261795,17098671,NC
-0.387453,17098672,NC
-0.46717238,17098673,NC
-0.5518548,17098674,NC
-0.69606715,17098675,NC
-0.8502032,17098676,NC
-0.9696173,17098677,V
-0.95013654,17098678,NC
-0.86617017,17098679,NC
-0.8020486,17098680,NC
-0.7577719,17098681,NC
-0.7234189,17098682,NC
-0.6047377,17098683,NC
-0.47613755,17098684,NC
-0.36242163,17098685,NC
-0.32311732,17098686,NC
-0.32846087,17098687,NC
-0.36357048,17098688,NC
-0.42348543,17098689,NC
-0.51316637,17098690,NC
-0.61277086,17098691,NC
-0.66277134,17098692,NC
-0.70781344,17098693,NC
-0.69829094,17098694,NC
-0.6391645,17098695,NC
-0.5899615,17098696,NC
-0.56060314,17098697,NC
-0.57589245,17098698,NC
-0.6011053,17098699,NC
-0.5816745,17098700,NC
-0.5473642,17098701,NC
-0.53785896,17098702,NC
-0.5581196,17098703,NC
-0.5585398,17098704,NC
-0.51927704,17098705,NC
-0.47009525,17098706,NC
-0.46060032,17098707,NC
-0.47591063,17098708,NC
-0.47634104,17098709,NC
-0.48173407,17098710,NC
-0.49208966,17098711,NC
-0.4875654,17098712,NC
-0.46320057,17098713,NC
-0.41403463,17098714,NC
-0.3351069,17098715,NC
-0.3157085,17098716,NC
-0.3756819,17098717,NC
-0.51006645,17098718,NC
-0.5849254,17098719,NC
-0.59033763,17098720,NC
-0.51638174,17098721,NC
-0.45234886,17098722,NC
-0.40319967,17098723,NC
-0.39373723,17098724,NC
-0.38923717,17098725,NC
-0.3648964,17098726,NC
-0.36536044,17098727,NC
-0.3757475,17098728,NC
-0.4059787,17098729,NC
-0.3618023,17098730,NC
-0.2432183,17098731,NC
-0.14447846,17098732,NC
-0.095346436,17098733,NC
-0.085901015,17098734,NC
-0.08637843,17098735,NC
-0.05213311,17098736,NC
-0.06253494,17098737,NC
-0.112623304,17098738,NC
-0.14287074,17098739,NC
-0.14831658,17098740,NC
-0.11407902,17098741,NC
-0.050079245,17098742,NC
0.04864339,17098743,NC
0.12256146,17098744,NC
0.14191127,17098745,NC
0.10669283,17098746,NC
0.08139421,17098747,NC
0.051133577,17098748,NC
0.060556505,17098749,NC
0.09478117,17098750,NC
0.119083226,17098751,NC
0.15826581,17098752,NC
0.2272108,17098753,NC
0.26143017,17098754,NC
0.20635709,17098755,NC
0.12647966,17098756,NC
0.1061284,17098757,NC
0.13042147,17098758,NC
0.17951645,17098759,NC
0.16412215,17098760,NC
0.114002354,17098761,NC
0.068842016,17098762,NC
0.04848362,17098763,NC
0.0033210046,17098764,NC
-0.03688211,17098765,NC
-0.062204454,17098766,NC
-0.04784293,17098767,NC
-0.048364315,17098768,NC
-0.083611086,17098769,NC
-0.118858874,17098770,NC
-0.17395015,17098771,NC
-0.18935746,17098772,NC
-0.21468697,17098773,NC
-0.21521436,17098774,NC
-0.2256639,17098775,NC
-0.22619313,17098776,NC
-0.2664082,17098777,NC
-0.30166358,17098778,NC
-0.2972348,17098779,NC
-0.27792507,17098780,NC
-0.28341925,17098781,NC
-0.32859915,17098782,NC
-0.37377992,17098783,NC
-0.3643946,17098784,NC
-0.30044326,17098785,NC
-0.26129574,17098786,NC
-0.3213613,17098787,NC
-0.440955,17098788,NC
-0.5159039,17098789,NC
-0.49164096,17098790,NC
-0.46241814,17098791,NC
-0.4133534,17098792,NC
-0.3593287,17098793,NC
-0.2705802,17098794,NC
-0.24135977,17098795,NC
-0.2667067,17098796,NC
-0.3267785,17098797,NC
-0.35212648,17098798,NC
-0.34771127,17098799,NC
-0.32841465,17098800,NC
-0.3388822,17098801,NC
-0.35431087,17098802,NC
-0.36477932,17098803,NC
-0.325642,17098804,NC
-0.2914657,17098805,NC
-0.2523291,17098806,NC
-0.20327169,17098807,NC
-0.14925395,17098808,NC
-0.105157785,17098809,NC
-0.05610129,17098810,NC
0.022718627,17098811,NC
0.09161705,17098812,NC
0.15059398,17098813,NC
0.19468883,17098814,NC
0.22390161,17098815,NC
0.24815361,17098816,NC
0.24760231,17098817,NC
0.2520115,17098818,NC
0.28122362,17098819,NC
0.36004186,17098820,NC
0.5231905,17098821,NC
0.7359452,17098822,NC
0.9387787,17098823,NC
1.0721636,17098824,NC
1.116257,17098825,NC
1.115705,17098826,NC
1.1250743,17098827,NC
1.1046798,17098828,NC
1.0346793,17098829,N
