channel_0,sample #,type
1.0506798,27014099,A
1.1905037,27014100,NC
1.2544767,27014101,NC
1.2100934,27014102,NC
1.0252973,27014103,NC
0.67416924,27014104,NC
0.23903719,27014105,NC
-0.19608499,27014106,NC
-0.53378654,27014107,NC
-0.754969,27014108,NC
-0.84543365,27014109,NC
-0.84989715,27014110,NC
-0.804437,27014111,NC
-0.7606067,27014112,NC
-0.6999296,27014113,NC
-0.6849299,27014114,NC
-0.6754609,27014115,NC
-0.65910184,27014116,NC
-0.679317,27014117,NC
-0.68591624,27014118,NC
-0.69434726,27014119,NC
-0.70608056,27014120,NC
-0.7104382,27014121,NC
-0.7193823,27014122,NC
-0.7202998,27014123,NC
-0.73402864,27014124,NC
-0.74099493,27014125,NC
-0.73553115,27014126,NC
-0.74079376,27014127,NC
-0.7233579,27014128,NC
-0.72585076,27014129,NC
-0.7240841,27014130,NC
-0.70979124,27014131,NC
-0.7239136,27014132,NC
-0.7353528,27014133,NC
-0.7292272,27014134,NC
-0.7383739,27014135,NC
-0.75984824,27014136,NC
-0.76454234,27014137,NC
-0.7703067,27014138,NC
-0.7643534,27014139,NC
-0.75592124,27014140,NC
-0.7463334,27014141,NC
-0.74555504,27014142,NC
-0.7435445,27014143,NC
-0.75580645,27014144,NC
-0.7651203,27014145,NC
-0.77328783,27014146,NC
-0.76577926,27014147,NC
-0.78014815,27014148,NC
-0.7888915,27014149,NC
-0.79921544,27014150,NC
-0.7997471,27014151,NC
-0.794915,27014152,NC
-0.80049396,27014153,NC
-0.79439443,27014154,NC
-0.78356665,27014155,NC
-0.80000496,27014156,NC
-0.80025184,27014157,NC
-0.8140231,27014158,NC
-0.8204877,27014159,NC
-0.8390331,27014160,NC
-0.85435367,27014161,NC
-0.8502106,27014162,NC
-0.8511338,27014163,NC
-0.8504112,27014164,NC
-0.8658702,27014165,NC
-0.8654699,27014166,NC
-0.86043215,27014167,NC
-0.85473377,27014168,NC
-0.84890074,27014169,NC
-0.860782,27014170,NC
-0.86526537,27014171,NC
-0.864725,27014172,NC
-0.8751686,27014173,NC
-0.8714712,27014174,NC
