channel_0,sample #,type
1.565,19081537,F
1.76,19081538,NC
1.905,19081539,NC
2.045,19081540,NC
2.12,19081541,NC
2.03,19081542,NC
1.76,19081543,NC
1.385,19081544,NC
0.965,19081545,NC
0.585,19081546,NC
0.295,19081547,NC
0.12,19081548,NC
-0.04,19081549,NC
-0.165,19081550,NC
-0.28,19081551,NC
-0.34,19081552,NC
-0.335,19081553,NC
-0.325,19081554,NC
-0.325,19081555,NC
-0.36,19081556,NC
-0.41,19081557,NC
-0.43,19081558,NC
-0.43,19081559,NC
-0.43,19081560,NC
-0.44,19081561,NC
-0.46,19081562,NC
-0.485,19081563,NC
-0.5,19081564,NC
-0.48,19081565,NC
-0.465,19081566,NC
-0.475,19081567,NC
-0.49,19081568,NC
-0.515,19081569,NC
-0.505,19081570,NC
-0.49,19081571,NC
-0.48,19081572,NC
-0.49,19081573,NC
-0.49,19081574,NC
-0.515,19081575,NC
-0.52,19081576,NC
-0.51,19081577,NC
-0.505,19081578,NC
-0.51,19081579,NC
-0.53,19081580,NC
-0.535,19081581,NC
-0.545,19081582,NC
-0.54,19081583,NC
-0.525,19081584,NC
-0.535,19081585,NC
-0.53,19081586,NC
-0.57,19081587,NC
-0.575,19081588,NC
-0.57,19081589,NC
-0.56,19081590,NC
-0.555,19081591,NC
-0.555,19081592,NC
-0.57,19081593,NC
-0.585,19081594,NC
-0.565,19081595,NC
-0.575,19081596,NC
-0.56,19081597,NC
-0.57,19081598,NC
-0.57,19081599,NC
-0.575,19081600,NC
-0.565,19081601,NC
-0.54,19081602,NC
-0.535,19081603,NC
-0.56,19081604,NC
-0.56,19081605,NC
-0.55,19081606,NC
-0.53,19081607,NC
-0.505,19081608,NC
-0.49,19081609,NC
-0.49,19081610,NC
-0.48,19081611,NC
-0.465,19081612,NC
-0.45,19081613,NC
-0.42,19081614,NC
-0.4,19081615,NC
-0.405,19081616,NC
-0.405,19081617,NC
-0.38,19081618,NC
-0.355,19081619,NC
-0.34,19081620,NC
-0.32,19081621,NC
-0.31,19081622,NC
-0.3,19081623,NC
-0.305,19081624,NC
-0.265,19081625,NC
-0.245,19081626,NC
-0.255,19081627,NC
-0.265,19081628,NC
-0.275,19081629,NC
-0.295,19081630,NC
-0.29,19081631,NC
-0.285,19081632,NC
-0.285,19081633,NC
-0.3,19081634,NC
-0.325,19081635,NC
-0.33,19081636,NC
-0.325,19081637,NC
-0.305,19081638,NC
-0.31,19081639,NC
-0.325,19081640,NC
-0.335,19081641,NC
-0.33,19081642,NC
-0.33,19081643,NC
-0.335,19081644,NC
-0.34,19081645,NC
-0.345,19081646,NC
-0.35,19081647,NC
-0.365,19081648,NC
-0.35,19081649,NC
-0.345,19081650,NC
-0.345,19081651,NC
-0.355,19081652,NC
-0.37,19081653,NC
-0.37,19081654,NC
-0.355,19081655,NC
-0.33,19081656,NC
-0.335,19081657,NC
-0.345,19081658,NC
-0.355,19081659,NC
-0.35,19081660,NC
-0.345,19081661,NC
-0.345,19081662,NC
-0.33,19081663,NC
-0.35,19081664,NC
-0.35,19081665,NC
-0.35,19081666,NC
-0.36,19081667,NC
-0.34,19081668,NC
-0.325,19081669,NC
-0.345,19081670,NC
-0.36,19081671,NC
-0.365,19081672,NC
-0.34,19081673,NC
-0.32,19081674,NC
-0.31,19081675,NC
-0.31,19081676,NC
-0.305,19081677,NC
-0.29,19081678,NC
-0.25,19081679,NC
-0.2,19081680,NC
-0.165,19081681,NC
-0.13,19081682,NC
-0.09,19081683,NC
-0.03,19081684,NC
0.05,19081685,NC
0.145,19081686,NC
0.23,19081687,NC
0.3,19081688,NC
0.37,19081689,NC
0.45,19081690,NC
0.525,19081691,NC
0.6,19081692,NC
0.665,19081693,NC
0.72,19081694,NC
0.785,19081695,NC
0.835,19081696,NC
0.91,19081697,V
0.985,19081698,NC
1.05,19081699,NC
1.11,19081700,NC
1.125,19081701,NC
1.11,19081702,NC
1.08,19081703,NC
1.05,19081704,NC
0.995,19081705,NC
0.96,19081706,NC
0.92,19081707,NC
0.89,19081708,NC
0.89,19081709,NC
0.885,19081710,NC
0.865,19081711,NC
0.845,19081712,NC
0.825,19081713,NC
0.835,19081714,NC
0.885,19081715,NC
0.945,19081716,NC
0.975,19081717,NC
0.905,19081718,NC
0.78,19081719,NC
0.62,19081720,NC
0.425,19081721,NC
0.185,19081722,NC
-0.04,19081723,NC
-0.22,19081724,NC
-0.355,19081725,NC
-0.43,19081726,NC
-0.49,19081727,NC
-0.52,19081728,NC
-0.565,19081729,NC
-0.6,19081730,NC
-0.65,19081731,NC
-0.665,19081732,NC
-0.665,19081733,NC
-0.67,19081734,NC
-0.695,19081735,NC
-0.71,19081736,NC
-0.74,19081737,NC
-0.75,19081738,NC
-0.75,19081739,NC
-0.755,19081740,NC
-0.75,19081741,NC
-0.765,19081742,NC
-0.79,19081743,NC
-0.82,19081744,NC
-0.81,19081745,NC
-0.805,19081746,NC
-0.8,19081747,NC
-0.815,19081748,NC
-0.83,19081749,NC
-0.845,19081750,NC
-0.83,19081751,NC
-0.83,19081752,NC
-0.85,19081753,NC
-0.865,19081754,NC
-0.89,19081755,NC
-0.89,19081756,NC
-0.88,19081757,NC
-0.875,19081758,NC
-0.88,19081759,NC
-0.89,19081760,NC
-0.92,19081761,NC
-0.925,19081762,NC
-0.93,19081763,NC
-0.935,19081764,NC
-0.925,19081765,NC
-0.92,19081766,NC
-0.935,19081767,NC
-0.93,19081768,NC
-0.92,19081769,NC
-0.91,19081770,NC
-0.9,19081771,NC
-0.905,19081772,NC
-0.905,19081773,NC
-0.905,19081774,NC
-0.89,19081775,NC
-0.86,19081776,NC
-0.85,19081777,NC
-0.86,19081778,NC
-0.86,19081779,NC
-0.87,19081780,NC
-0.84,19081781,NC
-0.8,19081782,NC
-0.78,19081783,NC
-0.77,19081784,NC
-0.77,19081785,NC
-0.75,19081786,NC
-0.73,19081787,NC
-0.695,19081788,NC
-0.67,19081789,NC
-0.655,19081790,NC
-0.66,19081791,NC
-0.645,19081792,NC
-0.615,19081793,NC
-0.585,19081794,NC
-0.57,19081795,NC
