channel_0,sample #,type
0.2012278,23464512,B
0.1006139,23464513,NC
0.004573359,23464514,NC
-0.09146719,23464515,NC
-0.20580116,23464516,NC
-0.28354827,23464517,NC
-0.3933089,23464518,NC
-0.5259363,23464519,NC
-0.6677105,23464520,NC
-0.8049112,23464521,NC
-0.9375386,23464522,NC
-1.0610193,23464523,NC
-1.1936467,23464524,NC
-1.3079807,23464525,NC
-1.4177413,23464526,NC
-1.5092086,23464527,NC
-1.5823823,23464528,NC
-1.6326892,23464529,NC
-1.7104363,23464530,NC
-1.7653166,23464531,NC
-1.7927568,23464532,NC
-1.8247703,23464533,NC
-1.8110503,23464534,NC
-1.7790368,23464535,NC
-1.7470232,23464536,NC
-1.7241564,23464537,NC
-1.6829962,23464538,NC
-1.6372626,23464539,NC
-1.527502,23464540,NC
-1.4040213,23464541,NC
-1.2622471,23464542,NC
-1.120473,23464543,NC
-1.0015657,23464544,NC
-0.9009518,23464545,NC
-0.8323514,23464546,NC
-0.7866178,23464547,NC
-0.7820444,23464548,NC
-0.7500309,23464549,NC
-0.7042973,23464550,NC
-0.63569695,23464551,NC
-0.53965634,23464552,NC
-0.44361585,23464553,NC
-0.36586875,23464554,NC
-0.292695,23464555,NC
-0.23781466,23464556,NC
-0.18293437,23464557,NC
-0.12805405,23464558,NC
-0.07774711,23464559,NC
-0.06402703,23464560,NC
-0.027440155,23464561,NC
-0.027440155,23464562,NC
-0.018293437,23464563,NC
0.009146718,23464564,NC
0.027440155,23464565,NC
0.045733593,23464566,NC
0.045733593,23464567,NC
0.05030695,23464568,NC
0.05030695,23464569,NC
0.06402703,23464570,NC
0.08232047,23464571,NC
0.08232047,23464572,NC
0.07774711,23464573,NC
0.068600394,23464574,NC
0.07774711,23464575,NC
0.09604054,23464576,NC
0.11890733,23464577,NC
0.11890733,23464578,NC
0.1234807,23464579,NC
0.11890733,23464580,NC
0.10518726,23464581,NC
0.11890733,23464582,NC
0.13262741,23464583,NC
0.13720079,23464584,NC
0.13720079,23464585,NC
0.13720079,23464586,NC
0.12805405,23464587,NC
0.16006757,23464588,NC
0.178361,23464589,NC
0.18293437,23464590,NC
0.178361,23464591,NC
0.178361,23464592,NC
0.19208108,23464593,NC
0.21037452,23464594,NC
0.22866796,23464595,NC
0.25153476,23464596,NC
0.2561081,23464597,NC
0.26068148,23464598,NC
0.2561081,23464599,NC
0.27897492,23464600,NC
0.3018417,23464601,NC
0.32013515,23464602,NC
0.3247085,23464603,NC
0.32928187,23464604,NC
0.35214865,23464605,NC
0.37501544,23464606,NC
0.42074904,23464607,NC
0.4481892,23464608,NC
0.45733592,23464609,NC
0.46648264,23464610,NC
0.48934945,23464611,NC
0.5122162,23464612,NC
0.5533765,23464613,NC
0.5716699,23464614,NC
0.5762433,23464615,NC
0.58539,23464616,NC
0.6036834,23464617,NC
0.61283016,23464618,NC
0.64484364,23464619,NC
0.6631371,23464620,NC
0.64484364,23464621,NC
0.6631371,23464622,NC
0.6814305,23464623,NC
0.6905772,23464624,NC
0.6951506,23464625,NC
0.70887065,23464626,NC
0.7042973,23464627,NC
0.68600386,23464628,NC
0.6768572,23464629,NC
0.68600386,23464630,NC
0.68600386,23464631,NC
0.6677105,23464632,NC
0.6402703,23464633,NC
0.6174035,23464634,NC
0.5899633,23464635,NC
0.5762433,23464636,NC
0.56709653,23464637,NC
0.53965634,23464638,NC
0.50764287,23464639,NC
0.45276257,23464640,NC
0.42074904,23464641,NC
0.38873553,23464642,NC
0.356722,23464643,NC
0.32928187,23464644,NC
0.28354827,23464645,NC
0.23781466,23464646,NC
0.18750772,23464647,NC
0.1692143,23464648,NC
0.13720079,23464649,NC
0.1234807,23464650,NC
0.08689383,23464651,NC
0.045733593,23464652,NC
0.013720077,23464653,NC
0.0,23464654,NC
-0.018293437,23464655,NC
-0.022866797,23464656,NC
-0.041160233,23464657,NC
