channel_0,sample #,type
0.99794215,23784802,V
1.0118934,23784803,NC
0.98756295,23784804,NC
0.94409156,23784805,NC
0.8719088,23784806,NC
0.71837765,23784807,NC
0.49785364,23784808,NC
0.20555161,23784809,NC
-0.10110612,23784810,NC
-0.34077126,23784811,NC
-0.46080658,23784812,NC
-0.49949366,23784813,NC
-0.5094697,23784814,NC
-0.5194458,23784815,NC
-0.56291825,23784816,NC
-0.6446724,23784817,NC
-0.6785745,23784818,NC
-0.71247673,23784819,NC
-0.7272381,23784820,NC
-0.7372144,23784821,NC
-0.756761,23784822,NC
-0.7763076,23784823,NC
-0.8197801,23784824,NC
-0.8393267,23784825,NC
-0.83016205,23784826,NC
-0.83535284,23784827,NC
-0.8453288,23784828,NC
-0.86008996,23784829,NC
-0.89399177,23784830,NC
-0.9039675,23784831,NC
-0.9043727,23784832,NC
-0.9143482,23784833,NC
-0.9243236,23784834,NC
-0.9582249,23784835,NC
-0.9777704,23784836,NC
-1.002101,23784837,NC
-1.0072906,23784838,NC
-1.0220504,23784839,NC
-1.0415953,23784840,NC
-1.085066,23784841,NC
-1.1141807,23784842,NC
-1.1432954,23784843,NC
-1.1628395,23784844,NC
-1.1823834,23784845,NC
-1.2162825,23784846,NC
-1.2597518,23784847,NC
-1.2936504,23784848,NC
-1.3275489,23784849,NC
-1.3518765,23784850,NC
-1.3809892,23784851,NC
-1.4244573,23784852,NC
-1.4774952,23784853,NC
-1.5448886,23784854,NC
-1.5883555,23784855,NC
-1.627037,23784856,NC
-1.6609331,23784857,NC
-1.7235398,23784858,NC
-1.7717906,23784859,NC
-1.8104707,23784860,NC
-1.8635058,23784861,NC
-1.8974,23784862,NC
-1.912153,23784863,NC
-1.941261,23784864,NC
-1.9847244,23784865,NC
-2.0616837,23784866,NC
-2.0907903,23784867,NC
-2.1103263,23784868,NC
-2.129862,23784869,NC
-2.1685379,23784870,NC
-2.197643,23784871,NC
-2.2411032,23784872,NC
-2.270207,23784873,NC
-2.284955,23784874,NC
-2.2949173,23784875,NC
-2.3096642,23784876,NC
-2.3339808,23784877,NC
-2.353512,23784878,NC
-2.3730426,23784879,NC
-2.349506,23784880,NC
-2.3403242,23784881,NC
-2.3359268,23784882,NC
-2.3363144,23784883,NC
-2.3367012,23784884,NC
-2.3083763,23784885,NC
-2.2896214,23784886,NC
-2.2469397,23784887,NC
-2.1994722,23784888,NC
-2.1855004,23784889,NC
-2.1523874,23784890,NC
-2.1192732,23784891,NC
-2.0574474,23784892,NC
-2.0051918,23784893,NC
-1.9577203,23784894,NC
-1.9150333,23784895,NC
-1.8867012,23784896,NC
-1.8153017,23784897,NC
-1.7630421,23784898,NC
-1.6725004,23784899,NC
-1.6202395,23784900,NC
-1.5727631,23784901,NC
-1.530071,23784902,NC
-1.4682374,23784903,NC
-1.3968327,23784904,NC
-1.3493532,23784905,NC
-1.3018728,23784906,NC
-1.2496065,23784907,NC
-1.2164803,23784908,NC
-1.1689974,23784909,NC
-1.126299,23784910,NC
-1.059674,23784911,NC
-1.0074035,23784912,NC
-0.974273,23784913,NC
-0.9315713,23784914,NC
-0.8745131,23784915,NC
-0.8270244,23784916,NC
-0.7795349,23784917,NC
-0.7607556,23784918,NC
-0.7515458,23784919,NC
-0.72797954,23784920,NC
-0.70919746,23784921,NC
-0.676059,23784922,NC
-0.64291954,23784923,NC
-0.6241348,23784924,NC
-0.61491936,23784925,NC
-0.6152735,23784926,NC
-0.5964858,23784927,NC
-0.5729119,23784928,NC
-0.55412227,23784929,NC
-0.55447245,23784930,NC
-0.54046595,23784931,NC
-0.5408141,23784932,NC
-0.5315909,23784933,NC
-0.5032258,23784934,NC
-0.4796449,23784935,NC
-0.47041848,23784936,NC
-0.46119112,23784937,NC
-0.4806738,23784938,NC
-0.45230347,23784939,NC
-0.44785807,23784940,NC
-0.429056,23784941,NC
-0.4246084,23784942,NC
-0.4345153,23784943,NC
-0.43963587,23784944,NC
-0.4256146,23784945,NC
-0.4163774,23784946,NC
-0.41192424,23784947,NC
-0.38832918,23784948,NC
-0.38865894,23784949,NC
-0.40812832,23784950,NC
-0.4084558,23784951,NC
-0.3752857,23784952,NC
-0.36604044,23784953,NC
-0.36157915,23784954,NC
-0.37147227,23784955,NC
-0.3717938,23784956,NC
-0.37689936,23784957,NC
-0.3676481,23784958,NC
-0.35839558,23784959,NC
-0.37306783,23784960,NC
-0.35902768,23784961,NC
-0.36891228,23784962,NC
-0.38836598,23784963,NC
-0.3791073,23784964,NC
-0.36984733,23784965,NC
-0.37972686,23784966,NC
-0.3848199,23784967,NC
-0.40426725,23784968,NC
-0.39500216,23784969,NC
-0.38573575,23784970,NC
-0.36211243,23784971,NC
-0.367199,23784972,NC
-0.34835827,23784973,NC
-0.35344216,23784974,NC
-0.34895435,23784975,NC
-0.3253244,23784976,NC
-0.30647826,23784977,NC
-0.316342,23784978,NC
-0.30227837,23784979,NC
-0.32649493,23784980,NC
-0.32678413,23784981,NC
-0.30793113,23784982,NC
-0.30343238,23784983,NC
-0.3037174,23784984,NC
-0.29443064,23784985,NC
-0.31385362,23784986,NC
-0.3141344,23784987,NC
-0.3000582,23784988,NC
-0.2955509,23784989,NC
-0.2910422,23784990,NC
-0.30567285,23784991,NC
-0.32030204,23784992,NC
-0.31578895,23784993,NC
-0.30170408,23784994,NC
-0.30675846,23784995,NC
-0.2974558,23784996,NC
-0.30250722,23784997,NC
-0.32669798,23784998,NC
-0.3317464,23784999,NC
-0.33200818,23785000,NC
-0.29398686,23785001,NC
-0.2942456,23785002,NC
-0.29928797,23785003,NC
-0.30911407,23785004,NC
-0.3237238,23785005,NC
-0.31919122,23785006,NC
-0.2955163,23785007,NC
-0.30055103,23785008,NC
-0.31036937,23785009,NC
-0.33454174,23785010,NC
-0.33000138,23785011,NC
-0.32067424,23785012,NC
-0.30177516,23785013,NC
-0.321156,23785014,NC
-0.31660932,23785015,NC
-0.335987,23785016,NC
-0.3505779,23785017,NC
-0.35559678,23785018,NC
-0.34147328,23785019,NC
-0.35127413,23785020,NC
-0.35150295,23785021,NC
