channel_0,sample #,type
2.1745071,23888897,V
2.1764412,23888898,NC
2.1030068,23888899,NC
1.9407706,23888900,NC
1.674083,23888901,NC
1.359343,23888902,NC
1.078761,23888903,NC
0.85529137,23888904,NC
0.66494596,23888905,NC
0.46179977,23888906,NC
0.26078573,23888907,NC
0.10652336,23888908,NC
-0.012427061,23888909,NC
-0.053084992,23888910,NC
-0.055372074,23888911,NC
-0.0759833,23888912,NC
-0.106115125,23888913,NC
-0.13419133,23888914,NC
-0.1532377,23888915,NC
-0.15471287,23888916,NC
-0.15672085,23888917,NC
-0.1831003,23888918,NC
-0.2100486,23888919,NC
-0.23467654,23888920,NC
-0.24116741,23888921,NC
-0.24908446,23888922,NC
-0.26070297,23888923,NC
-0.27558076,23888924,NC
-0.28133044,23888925,NC
-0.28274637,23888926,NC
-0.2665681,23888927,NC
-0.24557857,23888928,NC
-0.24631493,23888929,NC
-0.25822407,23888930,NC
-0.27485275,23888931,NC
-0.29653147,23888932,NC
-0.30318174,23888933,NC
-0.29571187,23888934,NC
-0.3144692,23888935,NC
-0.336448,23888936,NC
-0.35663193,23888937,NC
-0.38226345,23888938,NC
-0.39352593,23888939,NC
-0.38090965,23888940,NC
-0.37287456,23888941,NC
-0.3914366,23888942,NC
-0.4172641,23888943,NC
-0.43819618,23888944,NC
-0.43024188,23888945,NC
-0.44331628,23888946,NC
-0.4371466,23888947,NC
-0.485594,23888948,NC
-0.50258696,23888949,NC
-0.52448106,23888950,NC
-0.5216189,23888951,NC
-0.5178677,23888952,NC
-0.5494409,23888953,NC
-0.591817,23888954,NC
-0.605516,23888955,NC
-0.64315134,23888956,NC
-0.646194,23888957,NC
-0.6385566,23888958,NC
-0.66211796,23888959,NC
-0.7009773,23888960,NC
-0.73114663,23888961,NC
-0.7613729,23888962,NC
-0.7634184,23888963,NC
-0.7777177,23888964,NC
-0.8244111,23888965,NC
-0.8578185,23888966,NC
-0.909649,23888967,NC
-0.9169073,23888968,NC
-0.93423057,23888969,NC
-0.94771045,23888970,NC
-1.0000786,23888971,NC
-1.037436,23888972,NC
-1.0751567,23888973,NC
-1.0978723,23888974,NC
-1.101936,23888975,NC
-1.1251516,23888976,NC
-1.1556044,23888977,NC
-1.1909964,23888978,NC
-1.2396188,23888979,NC
-1.2680576,23888980,NC
-1.2827761,23888981,NC
-1.2784956,23888982,NC
-1.2749149,23888983,NC
-1.301582,23888984,NC
-1.3217051,23888985,NC
-1.3443072,23888986,NC
-1.3309932,23888987,NC
-1.3302735,23888988,NC
-1.3357774,23888989,NC
-1.3482534,23888990,NC
-1.3724018,23888991,NC
-1.3752139,23888992,NC
-1.3698467,23888993,NC
-1.358468,23888994,NC
-1.3598369,23888995,NC
-1.3593836,23888996,NC
-1.3860556,23888997,NC
-1.3811793,23888998,NC
-1.3537227,23888999,NC
-1.3223447,23889000,NC
-1.3083252,23889001,NC
-1.3227645,23889002,NC
-1.3174559,23889003,NC
-1.3033234,23889004,NC
-1.2593708,23889005,NC
-1.2243613,23889006,NC
-1.2049133,23889007,NC
-1.1877184,23889008,NC
-1.164219,23889009,NC
-1.1346898,23889010,NC
-1.0958185,23889011,NC
-1.0374218,23889012,NC
-1.0107869,23889013,NC
-0.9956565,23889014,NC
-0.9987158,23889015,NC
-0.95597357,23889016,NC
-0.91494435,23889017,NC
-0.8745092,23889018,NC
-0.82755166,23889019,NC
-0.8108621,23889020,NC
-0.79597133,23889021,NC
-0.766145,23889022,NC
-0.73570615,23889023,NC
-0.6961487,23889024,NC
-0.6718546,23889025,NC
-0.6581968,23889026,NC
-0.6554522,23889027,NC
-0.62507635,23889028,NC
-0.59018475,23889029,NC
-0.56754917,23889030,NC
-0.5180396,23889031,NC
-0.49295747,23889032,NC
-0.4762384,23889033,NC
-0.4518512,23889034,NC
-0.42261362,23889035,NC
-0.39026618,23889036,NC
-0.3678972,23889037,NC
-0.3626157,23889038,NC
-0.3562849,23889039,NC
-0.31463727,23889040,NC
-0.2906996,23889041,NC
-0.25209895,23889042,NC
-0.22803558,23889043,NC
-0.22593689,23889044,NC
-0.22466905,23889045,NC
-0.20648901,23889046,NC
-0.1827244,23889047,NC
-0.14123134,23889048,NC
-0.14953245,23889049,NC
-0.13781118,23889050,NC
-0.12536043,23889051,NC
-0.11562506,23889052,NC
-0.10416109,23889053,NC
-0.07969119,23889054,NC
-0.056638844,23889055,NC
-0.05594242,23889056,NC
-0.06373524,23889057,NC
-0.050417826,23889058,NC
-0.032862067,23889059,NC
-0.017735956,23889060,NC
-0.0016923037,23889061,NC
-0.0050671245,23889062,NC
-0.0014430112,23889063,NC
-0.01680954,23889064,NC
-0.002856448,23889065,NC
0.014479524,23889066,NC
0.023856431,23889067,NC
0.029842807,23889068,NC
0.038002104,23889069,NC
0.031458333,23889070,NC
0.044566084,23889071,NC
0.05770855,23889072,NC
0.06251011,23889073,NC
0.037205752,23889074,NC
0.025579918,23889075,NC
0.034099422,23889076,NC
0.029518083,23889077,NC
0.051269792,23889078,NC
0.060479444,23889079,NC
0.030200567,23889080,NC
0.029473813,23889081,NC
0.028563228,23889082,NC
0.049842495,23889083,NC
0.045826755,23889084,NC
0.053566765,23889085,NC
0.03149565,23889086,NC
0.0031795402,23889087,NC
-0.0011468655,23889088,NC
-0.0050594625,23889089,NC
-0.0026075887,23889090,NC
0.014569069,23889091,NC
0.0030563301,23889092,NC
-0.0056686304,23889093,NC
-0.01921446,23889094,NC
-0.023713047,23889095,NC
-0.035489034,23889096,NC
-0.023172349,23889097,NC
-0.026269397,23889098,NC
-0.061735068,23889099,NC
-0.035638306,23889100,NC
-0.020249195,23889101,NC
-0.013372989,23889102,NC
-0.011804103,23889103,NC
-0.012350535,23889104,NC
-0.03744207,23889105,NC
-0.025735881,23889106,NC
-0.014838522,23889107,NC
0.016835181,23889108,NC
0.019210445,23889109,NC
0.017192699,23889110,NC
0.00942681,23889111,NC
0.008925907,23889112,NC
0.014909988,23889113,NC
0.029045414,23889114,NC
0.035232604,23889115,NC
0.01342191,23889116,NC
0.017320747,23889117,NC
0.026365386,23889118,NC
0.031152219,23889119,NC
0.050476484,23889120,NC
0.050872076,23889121,NC
0.038266998,23889122,NC
0.011791661,23889123,NC
0.019361664,23889124,NC
0.023155957,23889125,NC
0.040130686,23889126,NC
0.0141331265,23889127,NC
-0.008751752,23889128,NC
-0.017245447,23889129,NC
-0.044818062,23889130,NC
-0.019171216,23889131,NC
0.002756637,23889132,NC
-0.011386722,23889133,NC
-0.02693779,23889134,NC
-0.047517218,23889135,NC
-0.05667003,23889136,NC
-0.037136868,23889137,NC
-0.03589789,23889138,NC
-0.04549813,23889139,NC
-0.05880569,23889140,NC
-0.06303387,23889141,NC
-0.04944397,23889142,NC
-0.040905353,23889143,NC
-0.024121014,23889144,NC
-0.012498275,23889145,NC
-0.020267354,23889146,NC
-0.049091622,23889147,NC
-0.035707824,23889148,NC
-0.043112367,23889149,NC
-0.04578968,23889150,NC
-0.053822238,23889151,NC
-0.08386219,23889152,NC
-0.11340545,23889153,NC
-0.1092028,23889154,NC
-0.08472384,23889155,NC
-0.06817765,23889156,NC
-0.050784826,23889157,NC
-0.046290137,23889158,NC
-0.04619192,23889159,NC
-0.03942447,23889160,NC
-0.03946868,23889161,NC
0.0009588655,23889162,NC
-0.005423309,23889163,NC
-0.022656763,23889164,NC
-0.040740587,23889165,NC
-0.044390902,23889166,NC
-0.02840245,23889167,NC
-0.0029440736,23889168,NC
-0.007927833,23889169,NC
-0.011108577,23889170,NC
-0.024222616,23889171,NC
-0.020250015,23889172,NC
-0.029598357,23889173,NC
-0.006997722,23889174,NC
-0.0035467753,23889175,NC
-0.0074061956,23889176,NC
-0.029303893,23889177,NC
-0.027674077,23889178,NC
-0.008106624,23889179,NC
0.010698868,23889180,NC
-0.005693072,23889181,NC
-0.014067758,23889182,NC
-0.042107563,23889183,NC
-0.045667242,23889184,NC
-0.053984012,23889185,NC
-0.035792485,23889186,NC
-0.04469268,23889187,NC
-0.06162487,23889188,NC
-0.06900982,23889189,NC
-0.054513328,23889190,NC
-0.045090523,23889191,NC
-0.01803843,23889192,NC
-0.030900836,23889193,NC
-0.042540714,23889194,NC
-0.069717534,23889195,NC
-0.07221242,23889196,NC
-0.067405455,23889197,NC
-0.058660258,23889198,NC
-0.054806232,23889199,NC
-0.089244,23889200,NC
-0.101320624,23889201,NC
-0.09575731,23889202,NC
-0.08711735,23889203,NC
-0.08239143,23889204,NC
-0.051523924,23889205,NC
-0.05354666,23889206,NC
-0.06111231,23889207,NC
-0.046434622,23889208,NC
-0.014726207,23889209,NC
0.018992782,23889210,NC
0.051929105,23889211,NC
0.0697062,23889212,NC
0.076004624,23889213,NC
0.15885656,23889214,NC
0.28881055,23889215,NC
0.51695734,23889216,NC
0.9115304,23889217,NC
1.4059469,23889218,NC
1.8684675,23889219,NC
2.1743062,23889220,NC
2.2833543,23889221,NC
2.2858236,23889222,NC
2.2884805,23889223,NC
2.3406422,23889224,NC
2.4244504,23889225,f
2.4751108,23889226,NC
2.4637706,23889227,NC
2.3963828,23889228,NC
2.2633903,23889229,NC
2.0750422,23889230,NC
1.8861644,23889231,NC
1.6857871,23889232,NC
1.4276603,23889233,NC
1.1209878,23889234,NC
0.7521669,23889235,NC
0.4050613,23889236,NC
0.128516,23889237,NC
-0.0056130607,23889238,NC
