channel_0,sample #,type
1.9433295,2690807,f
1.8510243,2690808,NC
1.6985457,2690809,NC
1.4721961,2690810,NC
1.229708,2690811,NC
0.9950176,2690812,NC
0.7840999,2690813,NC
0.6020318,2690814,NC
0.41181827,2690815,NC
0.20554778,2690816,NC
-0.007471539,2690817,NC
-0.19654292,2690818,NC
-0.31841397,2690819,NC
-0.37382978,2690820,NC
-0.3792852,2690821,NC
-0.36300972,2690822,NC
-0.34443313,2690823,NC
-0.33675814,2690824,NC
-0.34503126,2690825,NC
-0.35709432,2690826,NC
-0.37997517,2690827,NC
-0.40552098,2690828,NC
-0.43181884,2690829,NC
-0.461707,2690830,NC
-0.49166566,2690831,NC
-0.51929426,2690832,NC
-0.54176706,2690833,NC
-0.5496033,2690834,NC
-0.5433314,2690835,NC
-0.51925135,2690836,NC
-0.48425996,2690837,NC
-0.45187473,2690838,NC
-0.42901242,2690839,NC
-0.4399514,2690840,NC
-0.47063464,2690841,NC
-0.5099232,2690842,NC
-0.5368408,2690843,NC
-0.5189873,2690844,NC
-0.46882826,2690845,NC
-0.40645817,2690846,NC
-0.36557934,2690847,NC
-0.36518383,2690848,NC
-0.39454046,2690849,NC
-0.43013105,2690850,NC
-0.45107755,2690851,NC
-0.46950135,2690852,NC
-0.49048713,2690853,NC
-0.52494085,2690854,NC
-0.5529699,2690855,NC
-0.55766565,2690856,NC
-0.5471336,2690857,NC
-0.53614545,2690858,NC
-0.5482302,2690859,NC
-0.5713837,2690860,NC
-0.59285116,2690861,NC
-0.6044098,2690862,NC
-0.606111,2690863,NC
-0.619401,2690864,NC
-0.6297107,2690865,NC
-0.61252147,2690866,NC
-0.57537997,2690867,NC
-0.5284161,2690868,NC
-0.5037201,2690869,NC
-0.52385986,2690870,NC
-0.57934034,2690871,NC
-0.6450784,2690872,NC
-0.6847486,2690873,NC
-0.68068725,2690874,NC
-0.6365316,2690875,NC
-0.57605517,2690876,NC
-0.53764856,2690877,NC
-0.54046345,2690878,NC
-0.5759669,2690879,NC
-0.620406,2690880,NC
-0.66015697,2690881,NC
-0.68571496,2690882,NC
-0.6996486,2690883,NC
-0.69129604,2690884,NC
-0.6642864,2690885,NC
-0.6308968,2690886,NC
-0.59686923,2690887,NC
-0.5938156,2690888,NC
-0.6109603,2690889,NC
-0.63084406,2690890,NC
-0.6442896,2690891,NC
-0.6376017,2690892,NC
-0.62700164,2690893,NC
-0.632987,2690894,NC
-0.66154313,2690895,NC
-0.7135478,2690896,NC
-0.76024497,2690897,NC
-0.78077257,2690898,NC
-0.76414216,2690899,NC
-0.7130449,2690900,NC
-0.6520934,2690901,NC
-0.5982587,2690902,NC
-0.5630024,2690903,NC
-0.550965,2690904,NC
-0.561749,2690905,NC
-0.58489406,2690906,NC
-0.61782324,2690907,NC
-0.64698225,2690908,NC
-0.6629538,2690909,NC
-0.6745417,2690910,NC
-0.68471044,2690911,NC
-0.7123222,2690912,NC
-0.7361349,2690913,NC
-0.73893404,2690914,NC
-0.7195015,2690915,NC
-0.67179024,2690916,NC
-0.63022226,2690917,NC
-0.6168246,2690918,NC
-0.6324759,2690919,NC
-0.65123427,2690920,NC
-0.63735807,2690921,NC
-0.558566,2690922,NC
-0.43068504,2690923,NC
-0.30324042,2690924,NC
-0.24144885,2690925,NC
-0.30063474,2690926,NC
-0.45771495,2690927,NC
-0.6418727,2690928,NC
-0.7270931,2690929,NC
-0.6387443,2690930,NC
-0.41560003,2690931,NC
-0.16994798,2690932,NC
-0.02214953,2690933,NC
-0.013063345,2690934,NC
-0.09269245,2690935,NC
-0.18353252,2690936,NC
-0.244434,2690937,NC
-0.2787357,2690938,NC
-0.30309948,2690939,NC
-0.31502968,2690940,NC
-0.32566068,2690941,NC
-0.33650434,2690942,NC
-0.3430565,2690943,NC
-0.3527913,2690944,NC
-0.3620362,2690945,NC
-0.36703113,2690946,NC
-0.37412632,2690947,NC
-0.3839354,2690948,NC
-0.38943535,2690949,NC
-0.3942899,2690950,NC
-0.38709098,2690951,NC
-0.3793155,2690952,NC
-0.37657163,2690953,NC
-0.37879843,2690954,NC
-0.39616027,2690955,NC
