channel_0,sample #,type
1.3130324,2983904,N
1.2754949,2983905,NC
1.1259853,2983906,NC
0.89339733,2983907,NC
0.6357536,2983908,NC
0.3996778,2983909,NC
0.16511686,2983910,NC
-0.0066840905,2983911,NC
-0.11804382,2983912,NC
-0.2554531,2983913,NC
-0.39415953,2983914,NC
-0.46613848,2983915,NC
-0.5055649,2983916,NC
-0.521146,2983917,NC
-0.5441519,2983918,NC
-0.5495637,2983919,NC
-0.5434759,2983920,NC
-0.5325797,2983921,NC
-0.53160834,2983922,NC
-0.5260488,2983923,NC
-0.5423346,2983924,NC
-0.5318957,2983925,NC
-0.53138393,2983926,NC
-0.50393575,2983927,NC
-0.49806902,2983928,NC
-0.50491,2983929,NC
-0.515182,2983930,NC
-0.5494656,2983931,NC
-0.5431168,2983932,NC
-0.5145672,2983933,NC
-0.5147404,2983934,NC
-0.5262939,2983935,NC
-0.5206197,2983936,NC
-0.5343825,2983937,NC
-0.5203754,2983938,NC
-0.5108567,2983939,NC
-0.51140076,2983940,NC
-0.52636296,2983941,NC
-0.53650296,2983942,NC
-0.55695546,2983943,NC
-0.54019314,2983944,NC
-0.53113455,2983945,NC
-0.5391724,2983946,NC
-0.5492352,2983947,NC
-0.54734725,2983948,NC
-0.55965143,2983949,NC
-0.56143785,2983950,NC
-0.5609938,2983951,NC
-0.5388289,2983952,NC
-0.5521489,2983953,NC
-0.5606703,2983954,NC
-0.5812069,2983955,NC
-0.5716212,2983956,NC
-0.5538133,2983957,NC
-0.5677474,2983958,NC
-0.5633254,2983959,NC
-0.57728225,2983960,NC
-0.57639205,2983961,NC
-0.56595266,2983962,NC
-0.5600477,2983963,NC
-0.5575018,2983964,NC
-0.5660007,2983965,NC
-0.590524,2983966,NC
-0.5827978,2983967,NC
-0.5827213,2983968,NC
-0.57812124,2983969,NC
-0.5651659,2983970,NC
-0.5759814,2983971,NC
-0.5821451,2983972,NC
-0.5883788,2983973,NC
-0.57739085,2983974,NC
-0.56882566,2983975,NC
-0.5661088,2983976,NC
-0.57696044,2983977,NC
-0.593733,2983978,NC
-0.61000055,2983979,NC
-0.5825283,2983980,NC
-0.5750228,2983981,NC
-0.57124454,2983982,NC
-0.5714562,2983983,NC
-0.5813621,2983984,NC
-0.5981829,2983985,NC
-0.587096,2983986,NC
-0.5586695,2983987,NC
-0.5640876,2983988,NC
-0.56458616,2983989,NC
-0.56995916,2983990,NC
-0.5692455,2983991,NC
-0.54827553,2983992,NC
-0.53712213,2983993,NC
-0.53428465,2983994,NC
-0.5492147,2983995,NC
-0.55404705,2983996,NC
-0.5431852,2983997,NC
-0.50905013,2983998,NC
-0.5062962,2983999,NC
-0.4943978,2984000,NC
-0.487454,2984001,NC
-0.49342468,2984002,NC
-0.4933635,2984003,NC
-0.47587276,2984004,NC
-0.45064574,2984005,NC
-0.42713615,2984006,NC
-0.43359655,2984007,NC
-0.43308842,2984008,NC
-0.40602726,2984009,NC
-0.398246,2984010,NC
-0.38643938,2984011,NC
-0.3695698,2984012,NC
-0.37242103,2984013,NC
-0.35391456,2984014,NC
-0.35587,2984015,NC
-0.3274184,2984016,NC
-0.29917887,2984017,NC
-0.28876644,2984018,NC
-0.3047,2984019,NC
-0.29523805,2984020,NC
-0.30348366,2984021,NC
-0.2887497,2984022,NC
-0.27657634,2984023,NC
-0.25524953,2984024,NC
-0.24929659,2984025,NC
-0.25453025,2984026,NC
-0.2561774,2984027,NC
-0.2368934,2984028,NC
-0.23372081,2984029,NC
-0.23233548,2984030,NC
-0.239561,2984031,NC
-0.23928382,2984032,NC
-0.24892429,2984033,NC
-0.24638335,2984034,NC
-0.2248405,2984035,NC
-0.22098196,2984036,NC
-0.22635102,2984037,NC
-0.22808754,2984038,NC
-0.23837693,2984039,NC
-0.23385395,2984040,NC
-0.22302449,2984041,NC
-0.22374833,2984042,NC
-0.21656181,2984043,NC
-0.24379534,2984044,NC
-0.24552554,2984045,NC
-0.23718418,2984046,NC
-0.22870742,2984047,NC
-0.22568195,2984048,NC
-0.23825695,2984049,NC
-0.24423502,2984050,NC
-0.24599041,2984051,NC
-0.23930909,2984052,NC
-0.227195,2984053,NC
-0.2324268,2984054,NC
-0.23964436,2984055,NC
-0.2569008,2984056,NC
-0.259997,2984057,NC
-0.256003,2984058,NC
-0.2441838,2984059,NC
-0.23985043,2984060,NC
-0.24368876,2984061,NC
-0.25436583,2984062,NC
-0.25475174,2984063,NC
-0.24312218,2984064,NC
-0.23663414,2984065,NC
-0.24401096,2984066,NC
-0.2503162,2984067,NC
-0.25142637,2984068,NC
-0.26724806,2984069,NC
-0.24481098,2984070,NC
-0.24241604,2984071,NC
-0.24274173,2984072,NC
-0.2509418,2984073,NC
-0.25304747,2984074,NC
-0.26557177,2984075,NC
-0.24542406,2984076,NC
-0.23995034,2984077,NC
-0.24564931,2984078,NC
-0.23649451,2984079,NC
-0.23327135,2984080,NC
-0.24931657,2984081,NC
-0.2458957,2984082,NC
-0.22290954,2984083,NC
-0.22090621,2984084,NC
-0.22595778,2984085,NC
-0.23369932,2984086,NC
-0.2503792,2984087,NC
-0.24503069,2984088,NC
-0.21624663,2984089,NC
-0.21549506,2984090,NC
-0.22653742,2984091,NC
-0.2333275,2984092,NC
-0.25059113,2984093,NC
-0.24441688,2984094,NC
-0.21072783,2984095,NC
-0.2230127,2984096,NC
-0.21949728,2984097,NC
-0.22687756,2984098,NC
-0.23824152,2984099,NC
-0.2448146,2984100,NC
-0.23396465,2984101,NC
-0.22074443,2984102,NC
-0.23409456,2984103,NC
-0.23574072,2984104,NC
-0.24611007,2984105,NC
-0.25464007,2984106,NC
-0.23199336,2984107,NC
-0.23312141,2984108,NC
-0.24464531,2984109,NC
-0.22488633,2984110,NC
-0.24598892,2984111,NC
-0.22878529,2984112,NC
-0.22526531,2984113,NC
-0.21003239,2984114,NC
-0.21651964,2984115,NC
-0.21156861,2984116,NC
-0.2101358,2984117,NC
-0.19849846,2984118,NC
-0.17580102,2984119,NC
-0.17875269,2984120,NC
-0.1831625,2984121,NC
-0.18872921,2984122,NC
-0.18813019,2984123,NC
-0.18441282,2984124,NC
-0.16794044,2984125,NC
-0.1669572,2984126,NC
-0.15662551,2984127,NC
-0.17208844,2984128,NC
-0.16117465,2984129,NC
-0.14973328,2984130,NC
-0.13378052,2984131,NC
-0.121588506,2984132,NC
-0.11598357,2984133,NC
-0.123205364,2984134,NC
-0.124442235,2984135,NC
-0.12256334,2984136,NC
-0.10978403,2984137,NC
-0.115153216,2984138,NC
-0.13900387,2984139,NC
-0.16081963,2984140,NC
-0.17806879,2984141,NC
-0.16742359,2984142,NC
-0.16060178,2984143,NC
-0.16106994,2984144,NC
-0.16551079,2984145,NC
-0.17951974,2984146,NC
-0.20435491,2984147,NC
-0.20433813,2984148,NC
-0.19503666,2984149,NC
-0.18249641,2984150,NC
-0.19355015,2984151,NC
-0.19271463,2984152,NC
-0.20951991,2984153,NC
-0.1814023,2984154,NC
-0.18882714,2984155,NC
-0.1828506,2984156,NC
-0.19314027,2984157,NC
-0.20458344,2984158,NC
-0.20145203,2984159,NC
-0.19754244,2984160,NC
-0.18901987,2984161,NC
-0.18915693,2984162,NC
-0.18880074,2984163,NC
-0.20031123,2984164,NC
-0.214073,2984165,NC
-0.20139039,2984166,NC
-0.18843515,2984167,NC
-0.18313141,2984168,NC
-0.20423745,2984169,NC
-0.21062762,2984170,NC
-0.19225419,2984171,NC
-0.1826744,2984172,NC
-0.1851358,2984173,NC
-0.17655823,2984174,NC
-0.17541473,2984175,NC
-0.1845919,2984176,NC
-0.17728631,2984177,NC
-0.18201633,2984178,NC
-0.15562695,2984179,NC
-0.15563631,2984180,NC
-0.15505247,2984181,NC
-0.16842873,2984182,NC
-0.17692278,2984183,NC
-0.1655865,2984184,NC
-0.17055032,2984185,NC
-0.1496795,2984186,NC
-0.14869265,2984187,NC
-0.15927035,2984188,NC
-0.1710847,2984189,NC
-0.16509718,2984190,NC
-0.15444824,2984191,NC
-0.11782096,2984192,NC
-0.072758384,2984193,NC
-0.017356627,2984194,NC
0.048443254,2984195,NC
0.12611412,2984196,NC
0.22009441,2984197,NC
0.31187192,2984198,NC
0.40072238,2984199,NC
0.49413103,2984200,NC
0.6495362,2984201,NC
0.8261321,2984202,NC
1.0092607,2984203,NC
1.1690061,2984204,NC
1.2097268,2984205,NC
1.2152176,2984206,NC
1.496522,2984207,f
1.8267192,2984208,NC
1.7015182,2984209,NC
1.2206388,2984210,NC
0.7936288,2984211,NC
0.5441211,2984212,NC
0.39357638,2984213,NC
0.21653141,2984214,NC
0.057418406,2984215,NC
-0.05874626,2984216,NC
-0.10938174,2984217,NC
-0.15456897,2984218,NC
-0.15902545,2984219,NC
-0.1554957,2984220,NC
-0.15394218,2984221,NC
-0.14802174,2984222,NC
-0.16155761,2984223,NC
-0.16615418,2984224,NC
-0.17827995,2984225,NC
-0.17729934,2984226,NC
-0.16670665,2984227,NC
-0.16681421,2984228,NC
-0.17249022,2984229,NC
-0.17215501,2984230,NC
-0.18690939,2984231,NC
-0.19445796,2984232,NC
-0.18203332,2984233,NC
-0.19977893,2984234,NC
-0.2056657,2984235,NC
-0.20479558,2984236,NC
-0.21690574,2984237,NC
-0.21650824,2984238,NC
-0.21662563,2984239,NC
-0.22591573,2984240,NC
-0.22114478,2984241,NC
-0.23670474,2984242,NC
-0.25059676,2984243,NC
-0.23032296,2984244,NC
-0.23745805,2984245,NC
-0.23342176,2984246,NC
-0.24362053,2984247,NC
-0.2645057,2984248,NC
-0.27077207,2984249,NC
-0.27676845,2984250,NC
-0.27811164,2984251,NC
-0.27840447,2984252,NC
-0.29401577,2984253,NC
-0.29748976,2984254,NC
-0.30570054,2984255,NC
-0.2987903,2984256,NC
-0.29830015,2984257,NC
-0.29852784,2984258,NC
-0.3050114,2984259,NC
-0.31628618,2984260,NC
-0.32644135,2984261,NC
-0.3203604,2984262,NC
-0.3209775,2984263,NC
-0.32154378,2984264,NC
-0.33322206,2984265,NC
-0.33891326,2984266,NC
-0.3497236,2984267,NC
-0.3471538,2984268,NC
-0.3379597,2984269,NC
-0.34361443,2984270,NC
-0.34943506,2984271,NC
-0.36160833,2984272,NC
-0.37842217,2984273,NC
-0.37237805,2984274,NC
-0.3674146,2984275,NC
-0.3779664,2984276,NC
-0.37503555,2984277,NC
-0.38421366,2984278,NC
-0.39629042,2984279,NC
-0.38873208,2984280,NC
-0.39859077,2984281,NC
-0.38300183,2984282,NC
-0.38814643,2984283,NC
-0.38747993,2984284,NC
-0.40330064,2984285,NC
-0.39851725,2984286,NC
-0.38240322,2984287,NC
-0.37116295,2984288,NC
-0.38163087,2984289,NC
-0.391655,2984290,NC
-0.38871855,2984291,NC
-0.37203112,2984292,NC
-0.3601334,2984293,NC
-0.36461514,2984294,NC
-0.37254182,2984295,NC
-0.3730485,2984296,NC
-0.37641352,2984297,NC
-0.3655323,2984298,NC
-0.35404757,2984299,NC
-0.33698618,2984300,NC
-0.3440104,2984301,NC
-0.34944087,2984302,NC
-0.33977196,2984303,NC
-0.32597804,2984304,NC
-0.31455958,2984305,NC
-0.30948272,2984306,NC
-0.31099853,2984307,NC
-0.30562666,2984308,NC
-0.3044484,2984309,NC
-0.29444423,2984310,NC
-0.2753871,2984311,NC
-0.27430975,2984312,NC
-0.2556037,2984313,NC
-0.24921301,2984314,NC
-0.23747425,2984315,NC
-0.23351301,2984316,NC
-0.19910023,2984317,NC
-0.20364138,2984318,NC
-0.19955541,2984319,NC
-0.20553191,2984320,NC
-0.19886896,2984321,NC
-0.17654943,2984322,NC
-0.17709519,2984323,NC
-0.1532699,2984324,NC
-0.1560784,2984325,NC
-0.16642028,2984326,NC
-0.17244658,2984327,NC
-0.15950638,2984328,NC
-0.1442536,2984329,NC
-0.13339859,2984330,NC
-0.14508457,2984331,NC
-0.14323685,2984332,NC
-0.15524681,2984333,NC
-0.1398989,2984334,NC
-0.13418555,2984335,NC
-0.122246794,2984336,NC
-0.12665363,2984337,NC
-0.14266148,2984338,NC
-0.15910502,2984339,NC
-0.14522761,2984340,NC
-0.13122198,2984341,NC
-0.13954028,2984342,NC
-0.1450498,2984343,NC
-0.14494912,2984344,NC
-0.14492647,2984345,NC
-0.14394759,2984346,NC
-0.14421363,2984347,NC
-0.12703289,2984348,NC
-0.14490046,2984349,NC
-0.14358823,2984350,NC
-0.14404309,2984351,NC
-0.12657669,2984352,NC
-0.116210915,2984353,NC
-0.11154581,2984354,NC
-0.12180211,2984355,NC
-0.13368021,2984356,NC
-0.15073301,2984357,NC
-0.1216601,2984358,NC
-0.1331051,2984359,NC
-0.1217895,2984360,NC
-0.1333227,2984361,NC
-0.13982786,2984362,NC
-0.15416516,2984363,NC
-0.14808165,2984364,NC
-0.16033357,2984365,NC
-0.15733345,2984366,NC
-0.15079036,2984367,NC
-0.17274088,2984368,NC
-0.17019568,2984369,NC
-0.16718677,2984370,NC
-0.16015624,2984371,NC
-0.15498668,2984372,NC
-0.17132181,2984373,NC
-0.1981726,2984374,NC
-0.20259917,2984375,NC
-0.1873179,2984376,NC
-0.1816734,2984377,NC
-0.1891046,2984378,NC
