channel_0,sample #,type
0.4098248,2789547,B
0.12609994,2789548,NC
0.094574966,2789549,NC
0.13660827,2789550,NC
0.14186244,2789551,NC
0.09982912,2789552,NC
0.052541643,2789553,NC
0.03677915,2789554,NC
0.042033315,2789555,NC
0.047287483,2789556,NC
0.031524986,2789557,NC
0.015762493,2789558,NC
-0.010508329,2789559,NC
-0.047287483,2789560,NC
-0.052541643,2789561,NC
-0.06830414,2789562,NC
-0.078812465,2789563,NC
-0.12084578,2789564,NC
-0.15762493,2789565,NC
-0.18389575,2789566,NC
-0.19965824,2789567,NC
-0.24169156,2789568,NC
-0.27321655,2789569,NC
-0.29948735,2789570,NC
-0.33626652,2789571,NC
-0.3993165,2789572,NC
-0.4676206,2789573,NC
-0.5464331,2789574,NC
-0.60948306,2789575,NC
-0.6567705,2789576,NC
-0.6882955,2789577,NC
-0.7198205,2789578,NC
-0.7565997,2789579,NC
-0.7828705,2789580,NC
-0.7881247,2789581,NC
-0.8038871,2789582,NC
-0.8091413,2789583,NC
-0.8143954,2789584,NC
-0.8038871,2789585,NC
-0.79337883,2789586,NC
-0.7828705,2789587,NC
-0.7723622,2789588,NC
-0.7828705,2789589,NC
-0.7776163,2789590,NC
-0.75134546,2789591,NC
-0.72507465,2789592,NC
-0.6935497,2789593,NC
-0.6620247,2789594,NC
-0.6357539,2789595,NC
-0.57270396,2789596,NC
-0.509654,2789597,NC
-0.45185813,2789598,NC
-0.4098248,2789599,NC
-0.37829986,2789600,NC
-0.34152067,2789601,NC
-0.30474153,2789602,NC
-0.24169156,2789603,NC
-0.21542074,2789604,NC
-0.2049124,2789605,NC
-0.18914993,2789606,NC
-0.17864159,2789607,NC
-0.17338742,2789608,NC
-0.15237077,2789609,NC
-0.14186244,2789610,NC
-0.11033745,2789611,NC
-0.11033745,2789612,NC
-0.10508329,2789613,NC
-0.094574966,2789614,NC
-0.094574966,2789615,NC
-0.0735583,2789616,NC
-0.0735583,2789617,NC
-0.08406663,2789618,NC
-0.094574966,2789619,NC
-0.089320794,2789620,NC
-0.08406663,2789621,NC
-0.06304997,2789622,NC
-0.052541643,2789623,NC
-0.047287483,2789624,NC
-0.042033315,2789625,NC
-0.031524986,2789626,NC
-0.010508329,2789627,NC
0.0,2789628,NC
0.010508329,2789629,NC
0.021016657,2789630,NC
0.015762493,2789631,NC
0.015762493,2789632,NC
0.047287483,2789633,NC
0.047287483,2789634,NC
0.052541643,2789635,NC
0.042033315,2789636,NC
0.047287483,2789637,NC
0.03677915,2789638,NC
0.052541643,2789639,NC
0.06304997,2789640,NC
0.06830414,2789641,NC
0.06830414,2789642,NC
0.057795808,2789643,NC
0.06830414,2789644,NC
0.08406663,2789645,NC
0.08406663,2789646,NC
0.094574966,2789647,NC
0.094574966,2789648,NC
0.08406663,2789649,NC
0.08406663,2789650,NC
0.08406663,2789651,NC
0.10508329,2789652,NC
0.115591615,2789653,NC
0.115591615,2789654,NC
0.11033745,2789655,NC
0.10508329,2789656,NC
0.12084578,2789657,NC
0.13660827,2789658,NC
0.13660827,2789659,NC
0.14186244,2789660,NC
0.1471166,2789661,NC
0.1471166,2789662,NC
0.1628791,2789663,NC
0.1628791,2789664,NC
0.18389575,2789665,NC
0.17338742,2789666,NC
0.15762493,2789667,NC
0.16813326,2789668,NC
0.17864159,2789669,NC
0.18914993,2789670,NC
0.18914993,2789671,NC
0.18389575,2789672,NC
0.18914993,2789673,NC
0.19440408,2789674,NC
0.2049124,2789675,NC
0.21542074,2789676,NC
0.21542074,2789677,NC
0.21542074,2789678,NC
0.21542074,2789679,NC
0.2206749,2789680,NC
0.23118323,2789681,NC
0.24169156,2789682,NC
0.25745407,2789683,NC
0.25745407,2789684,NC
0.2521999,2789685,NC
0.2364374,2789686,NC
0.27321655,2789687,NC
0.28897905,2789688,NC
0.2784707,2789689,NC
0.2784707,2789690,NC
0.26796237,2789691,NC
0.26796237,2789692,NC
0.26796237,2789693,NC
0.27321655,2789694,NC
0.28372487,2789695,NC
0.26796237,2789696,NC
0.25745407,2789697,NC
0.26270822,2789698,NC
0.2521999,2789699,NC
0.2521999,2789700,NC
0.23118323,2789701,NC
0.19965824,2789702,NC
0.16813326,2789703,NC
0.15237077,2789704,NC
0.15237077,2789705,NC
0.1471166,2789706,NC
0.13135411,2789707,NC
0.11033745,2789708,NC
0.08406663,2789709,NC
0.06830414,2789710,NC
