channel_0,sample #,type
0.56818223,3202503,B
0.2280516,3202504,NC
0.072920874,3202505,NC
0.08279009,3202506,NC
0.107659236,3202507,NC
0.08752831,3202508,NC
0.06739732,3202509,NC
0.052266274,3202510,NC
0.027135158,3202511,NC
0.012003983,3202512,NC
0.0018727491,3202513,NC
-0.033258542,3202514,NC
-0.033389896,3202515,NC
-0.043521304,3202516,NC
-0.06865277,3202517,NC
-0.088784285,3202518,NC
-0.10891586,3202519,NC
-0.12904748,3202520,NC
-0.14417917,3202521,NC
-0.15431087,3202522,NC
-0.16944265,3202523,NC
-0.19457448,3202524,NC
-0.23470633,3202525,NC
-0.25483823,3202526,NC
-0.2749702,3202527,NC
-0.2851022,3202528,NC
-0.33523425,3202529,NC
-0.41036633,3202530,NC
-0.47049844,3202531,NC
-0.53563064,3202532,NC
-0.5657628,3202533,NC
-0.585895,3202534,NC
-0.61102736,3202535,NC
-0.6461596,3202536,NC
-0.67629194,3202537,NC
-0.7014243,3202538,NC
-0.69655675,3202539,NC
-0.69168913,3202540,NC
-0.69682163,3202541,NC
-0.70195407,3202542,NC
-0.7020866,3202543,NC
-0.69721913,3202544,NC
-0.6823517,3202545,NC
-0.6724843,3202546,NC
-0.6676169,3202547,NC
-0.6477495,3202548,NC
-0.6328822,3202549,NC
-0.6030148,3202550,NC
-0.5581475,3202551,NC
-0.4982802,3202552,NC
-0.45841292,3202553,NC
-0.40854564,3202554,NC
-0.35367838,3202555,NC
-0.32881114,3202556,NC
-0.28894386,3202557,NC
-0.24407665,3202558,NC
-0.21420942,3202559,NC
-0.1943422,3202560,NC
-0.164475,3202561,NC
-0.16460778,3202562,NC
-0.15474057,3202563,NC
-0.13487338,3202564,NC
-0.12000617,3202565,NC
-0.11013897,3202566,NC
-0.10027176,3202567,NC
-0.09540456,3202568,NC
-0.08553735,3202569,NC
-0.035670135,3202570,NC
-0.020802915,3202571,NC
-0.0059356885,3202572,NC
-0.021068454,3202573,NC
-0.02620121,3202574,NC
-0.041333955,3202575,NC
-0.016466692,3202576,NC
-0.011599414,3202577,NC
-0.016732123,3202578,NC
-0.021864815,3202579,NC
-0.016997494,3202580,NC
-0.002130154,3202581,NC
0.012737203,3202582,NC
0.01260458,3202583,NC
0.012471979,3202584,NC
0.017339397,3202585,NC
0.00720684,3202586,NC
0.032074306,3202587,NC
0.051941797,3202588,NC
0.056809314,3202589,NC
0.056676857,3202590,NC
0.046544433,3202591,NC
0.041412037,3202592,NC
0.05627967,3202593,NC
0.061147332,3202594,NC
0.07101504,3202595,NC
0.065882765,3202596,NC
0.07575054,3202597,NC
0.07061835,3202598,NC
0.080486186,3202599,NC
0.09035406,3202600,NC
0.090221986,3202601,NC
0.09508995,3202602,NC
0.074957944,3202603,NC
0.064826,3202604,NC
0.08969409,3202605,NC
0.09956222,3202606,NC
0.09443041,3202607,NC
0.09429864,3202608,NC
0.08916692,3202609,NC
0.09403525,3202610,NC
0.09390363,3202611,NC
0.098772064,3202612,NC
0.10364056,3202613,NC
0.09850909,3202614,NC
0.09837769,3202615,NC
0.09324635,3202616,NC
0.09811506,3202617,NC
0.11298383,3202618,NC
0.112852655,3202619,NC
0.122721545,3202620,NC
0.11759051,3202621,NC
0.11745953,3202622,NC
0.12732862,3202623,NC
0.14219776,3202624,NC
0.15206698,3202625,NC
0.15193626,3202626,NC
0.14180562,3202627,NC
0.13167503,3202628,NC
0.13654453,3202629,NC
0.1464141,3202630,NC
0.15128374,3202631,NC
0.15615346,3202632,NC
0.15102324,3202633,NC
0.15589312,3202634,NC
0.15576307,3202635,NC
0.16063309,3202636,NC
0.16550319,3202637,NC
0.16537338,3202638,NC
0.16524366,3202639,NC
0.160114,3202640,NC
0.15998444,3202641,NC
0.16485496,3202642,NC
0.17472558,3202643,NC
0.16459627,3202644,NC
0.15446708,3202645,NC
