channel_0,sample #,type
1.090126,2884556,f
1.1582487,2884557,NC
1.1944846,2884558,NC
1.1396183,2884559,NC
1.0118698,2884560,NC
0.8476797,2884561,NC
0.6516033,2884562,NC
0.49652183,2884563,NC
0.3505498,2884564,NC
0.22279727,2884565,NC
0.10870924,2884566,NC
-0.028154975,2884567,NC
-0.1240242,2884568,NC
-0.19711873,2884569,NC
-0.22466321,2884570,NC
-0.22943299,2884571,NC
-0.2478687,2884572,NC
-0.25263995,2884573,NC
-0.26196697,2884574,NC
-0.26218453,2884575,NC
-0.26695785,2884576,NC
-0.24440138,2884577,NC
-0.23551081,2884578,NC
-0.24028619,2884579,NC
-0.24050717,2884580,NC
-0.2589491,2884581,NC
-0.2500612,2884582,NC
-0.2502841,2884583,NC
-0.24139751,2884584,NC
-0.25528693,2884585,NC
-0.27373207,2884586,NC
-0.27851254,2884587,NC
-0.27418348,2884588,NC
-0.27441007,2884589,NC
-0.27919236,2884590,NC
-0.27486506,2884591,NC
-0.27964848,2884592,NC
-0.2889876,2884593,NC
-0.28921708,2884594,NC
-0.2894471,2884595,NC
-0.2987878,2884596,NC
-0.29901892,2884597,NC
-0.29925054,2884598,NC
-0.2994827,2884599,NC
-0.30427042,2884600,NC
-0.29083833,2884601,NC
-0.29562706,2884602,NC
-0.31408155,2884603,NC
-0.3234263,2884604,NC
-0.3282165,2884605,NC
-0.32845202,2884606,NC
-0.31046766,2884607,NC
-0.31981432,2884608,NC
-0.3200512,2884609,NC
-0.33850884,2884610,NC
-0.34785676,2884611,NC
-0.34353977,2884612,NC
-0.34833342,2884613,NC
-0.3349071,2884614,NC
-0.34881172,2884615,NC
-0.34905142,2884616,NC
-0.35840166,2884617,NC
-0.3586421,2884618,NC
-0.35432783,2884619,NC
-0.3454588,2884620,NC
-0.35936555,2884621,NC
-0.36416247,2884622,NC
-0.37806988,2884623,NC
-0.36920214,2884624,NC
-0.3694449,2884625,NC
-0.36968797,2884626,NC
-0.3699313,2884627,NC
-0.37473002,2884628,NC
-0.39319426,2884629,NC
-0.38432825,2884630,NC
-0.37090743,2884631,NC
-0.37570715,2884632,NC
-0.38050714,2884633,NC
-0.3807523,2884634,NC
-0.3855527,2884635,NC
-0.39035335,2884636,NC
-0.37693387,2884637,NC
-0.38173494,2884638,NC
-0.39109126,2884639,NC
-0.3867825,2884640,NC
-0.40524933,2884641,NC
-0.38727567,2884642,NC
-0.3784123,2884643,NC
-0.37865928,2884644,NC
-0.39257163,2884645,NC
-0.3882638,2884646,NC
-0.3930662,2884647,NC
-0.3842035,2884648,NC
-0.3844511,2884649,NC
-0.3801436,2884650,NC
-0.37583628,2884651,NC
-0.38974935,2884652,NC
-0.39455232,2884653,NC
-0.37657994,2884654,NC
-0.37227285,2884655,NC
-0.35885566,2884656,NC
