channel_0,sample #,type
-0.34275004,2607556,~
-0.34636435,2607557,NC
-0.34644207,2607558,NC
-0.3376137,2607559,NC
-0.32166064,2607560,NC
-0.30749023,2607561,NC
-0.3022282,2607562,NC
-0.30943757,2607563,NC
-0.32733682,2607564,NC
-0.34880012,2607565,NC
-0.37382752,2607566,NC
-0.38816732,2607567,NC
-0.39360103,2607568,NC
-0.38656574,2607569,NC
-0.3777501,2607570,NC
-0.36893567,2607571,NC
-0.3512151,2607572,NC
-0.3334957,2607573,NC
-0.3175589,2607574,NC
-0.3194378,2607575,NC
-0.33200657,2607576,NC
-0.35348374,2607577,NC
-0.3660548,2607578,NC
-0.36259395,2607579,NC
-0.33597532,2607580,NC
-0.3147022,2607581,NC
-0.3112448,2607582,NC
-0.32738447,2607583,NC
-0.3453068,2607584,NC
-0.34719715,2607585,NC
-0.33661848,2607586,NC
-0.32247806,2607587,NC
-0.3243718,2607588,NC
-0.34586272,2607589,NC
-0.3691362,2607590,NC
-0.37637776,2607591,NC
-0.3675874,2607592,NC
-0.3552352,2607593,NC
-0.35357288,2607594,NC
-0.36794478,2607595,NC
-0.38409925,2607596,NC
-0.38778466,2607597,NC
-0.37009376,2607598,NC
-0.34527814,2607599,NC
-0.32758954,2607600,NC
-0.3188093,2607601,NC
-0.31893745,2607602,NC
-0.32262957,2607603,NC
-0.31385267,2607604,NC
-0.2747922,2607605,NC
-0.21257395,2607606,NC
-0.14323097,2607607,NC
-0.07567058,2607608,NC
-0.0009854697,2607609,NC
0.084387235,2607610,NC
0.18401048,2607611,NC
0.30144715,2607612,NC
0.4384787,2607613,NC
0.56838334,2607614,NC
0.67156506,2607615,NC
0.8246263,2607616,NC
1.1380174,2607617,NC
1.536917,2607618,NC
1.7790477,2607619,f
1.7129859,2607620,NC
1.4474001,2607621,NC
1.1639988,2607622,NC
0.9251328,2607623,NC
0.7129874,2607624,NC
0.5026224,2607625,NC
0.29581925,2607626,NC
0.09079644,2607627,NC
-0.091068566,2607628,NC
-0.24264994,2607629,NC
-0.3479146,2607630,NC
-0.41576982,2607631,NC
-0.45512286,2607632,NC
-0.474881,2607633,NC
-0.46969983,2607634,NC
-0.45917538,2607635,NC
-0.46112218,2607636,NC
-0.49335474,2607637,NC
-0.5238069,2607638,NC
-0.5293198,2607639,NC
-0.51345634,2607640,NC
-0.49937534,2607641,NC
-0.50310993,2607642,NC
-0.5157529,2607643,NC
-0.5212711,2607644,NC
-0.51788306,2607645,NC
-0.50737023,2607646,NC
-0.50398433,2607647,NC
-0.51306957,2607648,NC
-0.5257188,2607649,NC
-0.52946186,2607650,NC
-0.5118285,2607651,NC
-0.49241465,2607652,NC
-0.48903498,2607653,NC
-0.50703377,2607654,NC
-0.5303779,2607655,NC
-0.5465973,2607656,NC
-0.55212903,2607657,NC
-0.5505359,2607658,NC
-0.5489439,2607659,NC
-0.55447865,2607660,NC
-0.5724846,2607661,NC
-0.5958359,2607662,NC
-0.6227512,2607663,NC
-0.63541585,2607664,NC
-0.6409557,2607665,NC
-0.63224494,2607666,NC
-0.63778675,2607667,NC
-0.64689255,2607668,NC
-0.65778077,2607669,NC
-0.65263695,2607670,NC
-0.64393127,2607671,NC
-0.64413375,2607672,NC
-0.65502596,2607673,NC
-0.6659192,2607674,NC
-0.6661247,2607675,NC
-0.65564245,2607676,NC
-0.6487241,2607677,NC
-0.6489326,2607678,NC
-0.6651751,2607679,NC
-0.68498147,2607680,NC
-0.70300746,2607681,NC
-0.7121271,2607682,NC
-0.71768475,2607683,NC
-0.721462,2607684,NC
-0.7288031,2607685,NC
-0.7379266,2607686,NC
-0.7470511,2607687,NC
-0.754395,2607688,NC
-0.7510513,2607689,NC
-0.75127137,2607690,NC
-0.7550553,2607691,NC
-0.76774746,2607692,NC
-0.7697519,2607693,NC
-0.7628499,2607694,NC
-0.74347883,2607695,NC
-0.7312344,2607696,NC
-0.7207724,2607697,NC
-0.72456294,2607698,NC
-0.7336988,2607699,NC
-0.7410541,2607700,NC
-0.74128455,2607701,NC
-0.7432974,2607702,NC
-0.75065553,2607703,NC
-0.7526702,2607704,NC
-0.73508984,2607705,NC
-0.712166,2607706,NC
-0.692806,2607707,NC
-0.68948,2607708,NC
-0.6968436,2607709,NC
-0.7095525,2607710,NC
-0.7062292,2607711,NC
-0.6744036,2607712,NC
-0.62832725,2607713,NC
-0.58403325,2607714,NC
-0.5664619,2607715,NC
-0.5684874,2607716,NC
-0.5847655,2607717,NC
-0.5921372,2607718,NC
-0.5852582,2607719,NC
-0.57125425,2607720,NC
-0.55903256,2607721,NC
-0.559282,2607722,NC
-0.5648766,2607723,NC
-0.5669092,2607724,NC
-0.5600354,2607725,NC
-0.54425526,2607726,NC
-0.52313155,2607727,NC
-0.49310148,2607728,NC
-0.4755424,2607729,NC
-0.4704543,2607730,NC
-0.48140022,2607731,NC
-0.48522118,2607732,NC
-0.48191714,2607733,NC
-0.4732696,2607734,NC
-0.4681858,2607735,NC
-0.46488428,2607736,NC
-0.45445782,2607737,NC
-0.44225067,2607738,NC
-0.4371702,2607739,NC
-0.43387207,2607740,NC
-0.42879325,2607741,NC
-0.41658947,2607742,NC
-0.41151232,2607743,NC
-0.41534323,2607744,NC
-0.42808217,2607745,NC
-0.43904054,2607746,NC
-0.4464368,2607747,NC
-0.44314516,2607748,NC
-0.44163573,2607749,NC
-0.43834567,2607750,NC
-0.43149352,2607751,NC
-0.42107922,2607752,NC
-0.4088843,2607753,NC
-0.4055974,2607754,NC
-0.41478142,2607755,NC
-0.43109208,2607756,NC
-0.45274788,2607757,NC
-0.46193433,2607758,NC
-0.4586513,2607759,NC
-0.4428989,2607760,NC
-0.43427306,2607761,NC
-0.44346255,2607762,NC
-0.46690434,2607763,NC
-0.48856553,2607764,NC
-0.49597582,2607765,NC
-0.48913524,2607766,NC
-0.48585826,2607767,NC
-0.4950523,2607768,NC
-0.50602853,2607769,NC
