channel_0,sample #,type
0.031433865,2615525,B
-0.203328,2615526,NC
-0.23116034,2615527,NC
-0.1899544,2615528,NC
-0.20067208,2615529,NC
-0.21798559,2615530,NC
-0.24263255,2615531,NC
-0.27358195,2615532,NC
-0.26528046,2615533,NC
-0.25760892,2615534,NC
-0.2588029,2615535,NC
-0.277539,2615536,NC
-0.30459788,2615537,NC
-0.33474246,2615538,NC
-0.33584976,2615539,NC
-0.33304688,2615540,NC
-0.34065095,2615541,NC
-0.35954165,2615542,NC
-0.40084562,2615543,NC
-0.43484142,2615544,NC
-0.46469003,2615545,NC
-0.49378365,2615546,NC
-0.53057855,2615547,NC
-0.59048057,2615548,NC
-0.6718468,2615549,NC
-0.7599394,2615550,NC
-0.84195685,2615551,NC
-0.9015013,2615552,NC
-0.9634137,2615553,NC
-1.0340549,2615554,NC
-1.097901,2615555,NC
-1.1474938,2615556,NC
-1.1574382,2615557,NC
-1.1443403,2615558,NC
-1.1421896,2615559,NC
-1.1542681,2615560,NC
-1.1641201,2615561,NC
-1.1735,2615562,NC
-1.1775708,2615563,NC
-1.172083,2615564,NC
-1.1448158,2615565,NC
-1.136023,2615566,NC
-1.1466336,2615567,NC
-1.1420144,2615568,NC
-1.0933472,2615569,NC
-1.0239013,2615570,NC
-0.96232945,2615571,NC
-0.9123562,2615572,NC
-0.85945237,2615573,NC
-0.8193029,2615574,NC
-0.76798123,2615575,NC
-0.7158702,2615576,NC
-0.65111387,2615577,NC
-0.6163158,2615578,NC
-0.58663136,2615579,NC
-0.5786918,2615580,NC
-0.556072,2615581,NC
-0.5503711,2615582,NC
-0.535861,2615583,NC
-0.5480541,2615584,NC
-0.5352304,2615585,NC
-0.5458126,2615586,NC
-0.5220338,2615587,NC
-0.5079207,2615588,NC
-0.5030593,2615589,NC
-0.5029065,2615590,NC
-0.51178145,2615591,NC
-0.51601285,2615592,NC
-0.53290665,2615593,NC
-0.51553315,2615594,NC
-0.487267,2615595,NC
-0.49044997,2615596,NC
-0.47163787,2615597,NC
-0.46260205,2615598,NC
-0.43507645,2615599,NC
-0.42379838,2615600,NC
-0.41861257,2615601,NC
-0.43635392,2615602,NC
-0.43395802,2615603,NC
-0.42557332,2615604,NC
-0.3951997,2615605,NC
-0.36974895,2615606,NC
-0.37406513,2615607,NC
-0.36359763,2615608,NC
-0.37165406,2615609,NC
-0.36468264,2615610,NC
-0.3670739,2615611,NC
-0.33417037,2615612,NC
-0.31801632,2615613,NC
-0.3063857,2615614,NC
-0.3145947,2615615,NC
-0.32168895,2615616,NC
-0.3245092,2615617,NC
-0.3034317,2615618,NC
-0.3166735,2615619,NC
-0.3144403,2615620,NC
-0.32414714,2615621,NC
-0.33081967,2615622,NC
-0.3200663,2615623,NC
-0.32562628,2615624,NC
-0.31629318,2615625,NC
-0.30133322,2615626,NC
-0.3069068,2615627,NC
-0.321771,2615628,NC
-0.3185899,2615629,NC
-0.29674557,2615630,NC
-0.29602093,2615631,NC
-0.28794348,2615632,NC
-0.31104174,2615633,NC
-0.32088095,2615634,NC
-0.32206923,2615635,NC
-0.31986162,2615636,NC
-0.3015459,2615637,NC
-0.27373382,2615638,NC
-0.27219373,2615639,NC
-0.26797736,2615640,NC
-0.24477628,2615641,NC
-0.22897184,2615642,NC
-0.22673468,2615643,NC
-0.21237923,2615644,NC
-0.22657962,2615645,NC
-0.24902788,2615646,NC
-0.23681673,2615647,NC
-0.2300827,2615648,NC
-0.21402954,2615649,NC
-0.22528072,2615650,NC
-0.23213789,2615651,NC
-0.2392435,2615652,NC
-0.23119807,2615653,NC
-0.20855191,2615654,NC
-0.19171336,2615655,NC
-0.21255757,2615656,NC
-0.20717041,2615657,NC
-0.2114082,2615658,NC
-0.19609818,2615659,NC
-0.1900767,2615660,NC
-0.18568863,2615661,NC
-0.18317355,2615662,NC
-0.18730612,2615663,NC
-0.20318396,2615664,NC
-0.19325957,2615665,NC
-0.18705252,2615666,NC
-0.19913207,2615667,NC
-0.19000344,2615668,NC
-0.19353645,2615669,NC
-0.19498171,2615670,NC
-0.17770284,2615671,NC
-0.156313,2615672,NC
-0.13103873,2615673,NC
-0.13252887,2615674,NC
-0.1361655,2615675,NC
-0.17481303,2615676,NC
-0.17533407,2615677,NC
-0.2080493,2615678,NC
-0.19184493,2615679,NC
-0.19710162,2615680,NC
-0.20455588,2615681,NC
-0.21730058,2615682,NC
-0.2277195,2615683,NC
-0.23093142,2615684,NC
-0.23102066,2615685,NC
-0.25900024,2615686,NC
