channel_0,sample #,type
0.9162455,2780522,f
0.7111262,2780523,NC
0.46469712,2780524,NC
0.22320838,2780525,NC
0.08671949,2780526,NC
0.05398053,2780527,NC
0.05124148,2780528,NC
0.034752354,2780529,NC
0.010763155,2780530,NC
-0.010726111,2780531,NC
-0.018465443,2780532,NC
-0.016204834,2780533,NC
-0.017694276,2780534,NC
-0.024183767,2780535,NC
-0.034423303,2780536,NC
-0.047162876,2780537,NC
-0.05490248,2780538,NC
-0.06389212,2780539,NC
-0.077881776,2780540,NC
-0.09937145,2780541,NC
-0.12711114,2780542,NC
-0.15360084,2780543,NC
-0.17009054,2780544,NC
-0.17783025,2780545,NC
-0.17431992,2780546,NC
-0.16580962,2780547,NC
-0.15979928,2780548,NC
-0.16378891,2780549,NC
-0.18402854,2780550,NC
-0.21301812,2780551,NC
-0.24825765,2780552,NC
-0.27099717,2780553,NC
-0.27748662,2780554,NC
-0.261476,2780555,NC
-0.22671537,2780556,NC
-0.18070465,2780557,NC
-0.13094386,2780558,NC
-0.093683004,2780559,NC
-0.07017208,2780560,NC
-0.06791106,2780561,NC
-0.081899956,2780562,NC
-0.11213876,2780563,NC
-0.15612747,2780564,NC
-0.21011607,2780565,NC
-0.26410457,2780566,NC
-0.31059295,2780567,NC
-0.34208125,2780568,NC
-0.3535694,2780569,NC
-0.3538074,2780570,NC
-0.34529528,2780571,NC
-0.33178303,2780572,NC
-0.31702062,2780573,NC
-0.29975808,2780574,NC
-0.28499538,2780575,NC
-0.27398252,2780576,NC
-0.26796952,2780577,NC
-0.26695633,2780578,NC
-0.259693,2780579,NC
-0.25367945,2780580,NC
-0.24516574,2780581,NC
-0.23790184,2780582,NC
-0.24063773,2780583,NC
-0.24337345,2780584,NC
-0.24485895,2780585,NC
-0.24134426,2780586,NC
-0.23282933,2780587,NC
-0.22681421,2780588,NC
-0.22704886,2780589,NC
-0.23103328,2780590,NC
-0.23126748,2780591,NC
-0.22900143,2780592,NC
-0.22548515,2780593,NC
-0.22321862,2780594,NC
-0.22720182,2780595,NC
-0.23118478,2780596,NC
-0.22891748,2780597,NC
-0.2241499,2780598,NC
-0.22063208,2780599,NC
-0.21961395,2780600,NC
-0.22359556,2780601,NC
-0.22757687,2780602,NC
-0.22655791,2780603,NC
-0.22428863,2780604,NC
-0.21951906,2780605,NC
-0.21849918,2780606,NC
-0.22247899,2780607,NC
-0.2239585,2780608,NC
-0.22293769,2780609,NC
-0.21941654,2780610,NC
-0.20964509,2780611,NC
-0.20237327,2780612,NC
-0.20260113,2780613,NC
-0.20157866,2780614,NC
-0.20305581,2780615,NC
-0.20078263,2780616,NC
-0.19475907,2780617,NC
-0.19123518,2780618,NC
-0.1877109,2780619,NC
-0.18918625,2780620,NC
-0.18941122,2780621,NC
-0.18588582,2780622,NC
-0.18361004,2780623,NC
-0.18133384,2780624,NC
-0.18155728,2780625,NC
-0.1855303,2780626,NC
-0.18325292,2780627,NC
-0.18097511,2780628,NC
-0.17619692,2780629,NC
-0.17016828,2780630,NC
-0.17163923,2780631,NC
-0.17310977,2780632,NC
-0.17207983,2780633,NC
-0.16979949,2780634,NC
-0.1675187,2780635,NC
-0.16523746,2780636,NC
-0.16545577,2780637,NC
-0.16817364,2780638,NC
-0.16714102,2780639,NC
-0.16485795,2780640,NC
-0.16257443,2780641,NC
-0.1615404,2780642,NC
-0.16300592,2780643,NC
-0.16322094,2780644,NC
-0.16468547,2780645,NC
-0.16114952,2780646,NC
-0.15761307,2780647,NC
-0.15782611,2780648,NC
-0.16428865,2780649,NC
-0.1695007,2780650,NC
-0.1722122,2780651,NC
-0.1699232,2780652,NC
-0.16138367,2780653,NC
-0.15784362,2780654,NC
-0.15555301,2780655,NC
-0.1595119,2780656,NC
-0.16347024,2780657,NC
-0.16742802,2780658,NC
-0.17263526,2780659,NC
-0.17409195,2780660,NC
-0.18054807,2780661,NC
-0.18700364,2780662,NC
-0.18970865,2780663,NC
-0.19241306,2780664,NC
-0.19386692,2780665,NC
-0.19657019,2780666,NC
-0.20552288,2780667,NC
-0.21447496,2780668,NC
-0.21842647,2780669,NC
-0.22362736,2780670,NC
-0.22632769,2780671,NC
-0.23152739,2780672,NC
-0.24297647,2780673,NC
-0.24942495,2780674,NC
-0.2533728,2780675,NC
-0.25482005,2780676,NC
-0.25001666,2780677,NC
-0.25021264,2780678,NC
-0.252908,2780679,NC
-0.2581027,2780680,NC
-0.26204675,2780681,NC
-0.26224017,2780682,NC
-0.26118293,2780683,NC
-0.26262504,2780684,NC
-0.2665665,2780685,NC
-0.27050728,2780686,NC
-0.27694738,2780687,NC
-0.27213687,2780688,NC
-0.2685756,2780689,NC
-0.27126372,2780690,NC
-0.27270114,2780691,NC
-0.27913785,2780692,NC
-0.2805739,2780693,NC
-0.27700925,2780694,NC
-0.27219388,2780695,NC
-0.27112782,2780696,NC
-0.27381107,2780697,NC
-0.27399358,2780698,NC
-0.2754254,2780699,NC
-0.2706065,2780700,NC
-0.26578686,2780701,NC
-0.2647165,2780702,NC
-0.26739544,2780703,NC
-0.2700736,2780704,NC
-0.27150103,2780705,NC
-0.26917773,2780706,NC
-0.26435372,2780707,NC
-0.26702893,2780708,NC
-0.2697034,2780709,NC
-0.2748771,2780710,NC
-0.27505004,2780711,NC
-0.27022225,2780712,NC
-0.26789367,2780713,NC
-0.2668143,2780714,NC
-0.27323416,2780715,NC
-0.27715328,2780716,NC
-0.2810716,2780717,NC
-0.27998912,2780718,NC
-0.27390587,2780719,NC
-0.2728218,2780720,NC
-0.27548698,2780721,NC
-0.28065133,2780722,NC
-0.2845649,2780723,NC
-0.28472766,2780724,NC
-0.2811396,2780725,NC
-0.28130078,2780726,NC
-0.2852111,2780727,NC
-0.2878706,2780728,NC
-0.28927928,2780729,NC
-0.28568715,2780730,NC
-0.27959415,2780731,NC
