channel_0,sample #,type
1.1591065,3234362,N
1.1244632,3234363,NC
0.9748213,3234364,NC
0.7601808,3234365,NC
0.5255414,3234366,NC
0.29590335,3234367,NC
0.08126655,3234368,NC
-0.108368985,3234369,NC
-0.16800329,3234370,NC
-0.26763636,3234371,NC
-0.40226823,3234372,NC
-0.5068989,3234373,NC
-0.5465283,3234374,NC
-0.5611566,3234375,NC
-0.57578367,3234376,NC
-0.56540954,3234377,NC
-0.5500343,3234378,NC
-0.5446579,3234379,NC
-0.5292804,3234380,NC
-0.53890175,3234381,NC
-0.543522,3234382,NC
-0.53814113,3234383,NC
-0.5427591,3234384,NC
-0.5273761,3234385,NC
-0.546992,3234386,NC
-0.53660685,3234387,NC
-0.5362206,3234388,NC
-0.52583337,3234389,NC
-0.5204451,3234390,NC
-0.5300558,3234391,NC
-0.5246655,3234392,NC
-0.52427423,3234393,NC
-0.53888196,3234394,NC
-0.5284887,3234395,NC
-0.52309453,3234396,NC
-0.51769936,3234397,NC
-0.5173033,3234398,NC
-0.52690625,3234399,NC
-0.5415083,3234400,NC
-0.5461095,3234401,NC
-0.5307098,3234402,NC
-0.5303092,3234403,NC
-0.53990775,3234404,NC
-0.5345054,3234405,NC
-0.5441023,3234406,NC
-0.5286983,3234407,NC
-0.5082935,3234408,NC
-0.5128879,3234409,NC
-0.52248144,3234410,NC
-0.5320742,3234411,NC
-0.54166627,3234412,NC
-0.5412575,3234413,NC
-0.550848,3234414,NC
-0.55543774,3234415,NC
-0.5600268,3234416,NC
-0.55461514,3234417,NC
-0.55420274,3234418,NC
-0.5537897,3234419,NC
-0.5483759,3234420,NC
-0.55296147,3234421,NC
-0.5675464,3234422,NC
-0.5821307,3234423,NC
-0.57671434,3234424,NC
-0.55629736,3234425,NC
-0.5458797,3234426,NC
-0.5554616,3234427,NC
-0.5650428,3234428,NC
-0.5696234,3234429,NC
-0.5842035,3234430,NC
-0.58378303,3234431,NC
-0.55836207,3234432,NC
-0.56294054,3234433,NC
-0.5675185,3234434,NC
-0.5770959,3234435,NC
-0.5916729,3234436,NC
-0.60124934,3234437,NC
-0.5758254,3234438,NC
-0.570401,3234439,NC
-0.55997616,3234440,NC
-0.5645508,3234441,NC
-0.5891251,3234442,NC
-0.573699,3234443,NC
-0.57327247,3234444,NC
-0.5728456,3234445,NC
-0.57241833,3234446,NC
-0.5719907,3234447,NC
-0.54156274,3234448,NC
-0.5211345,3234449,NC
-0.5257059,3234450,NC
-0.510277,3234451,NC
-0.52984774,3234452,NC
-0.5344183,3234453,NC
-0.5289885,3234454,NC
-0.5035585,3234455,NC
-0.47812825,3234456,NC
-0.44769776,3234457,NC
-0.46726707,3234458,NC
-0.47683612,3234459,NC
-0.46140504,3234460,NC
-0.4559737,3234461,NC
-0.42054224,3234462,NC
-0.40011063,3234463,NC
-0.37967885,3234464,NC
-0.37424693,3234465,NC
-0.3788149,3234466,NC
-0.36838278,3234467,NC
-0.36295053,3234468,NC
-0.3275182,3234469,NC
-0.3270858,3234470,NC
-0.30665338,3234471,NC
-0.30622086,3234472,NC
-0.29578832,3234473,NC
-0.29035577,3234474,NC
-0.2749232,3234475,NC
-0.26949066,3234476,NC
-0.26405808,3234477,NC
-0.2686256,3234478,NC
-0.25319308,3234479,NC
-0.24776065,3234480,NC
-0.24232829,3234481,NC
-0.241896,3234482,NC
-0.24646379,3234483,NC
-0.2610317,3234484,NC
-0.26059967,3234485,NC
-0.25016785,3234486,NC
-0.24473612,3234487,NC
-0.24430454,3234488,NC
-0.23887314,3234489,NC
-0.2434419,3234490,NC
-0.22801085,3234491,NC
-0.22258,3234492,NC
-0.21214937,3234493,NC
-0.22171897,3234494,NC
-0.23628879,3234495,NC
-0.24085885,3234496,NC
