channel_0,sample #,type
1.4741353,2940378,f
1.5296031,2940379,NC
1.2272849,2940380,NC
0.8701612,2940381,NC
0.6150784,2940382,NC
0.44507426,2940383,NC
0.28421777,2940384,NC
0.13463578,2940385,NC
-0.028805882,2940386,NC
-0.1494614,2940387,NC
-0.25403112,2940388,NC
-0.31537032,2940389,NC
-0.33470362,2940390,NC
-0.35667977,2940391,NC
-0.359122,2940392,NC
-0.35082972,2940393,NC
-0.34866115,2940394,NC
-0.36208692,2940395,NC
-0.37953445,2940396,NC
-0.38889468,2940397,NC
-0.39301676,2940398,NC
-0.36041024,2940399,NC
-0.3668169,2940400,NC
-0.3751189,2940401,NC
-0.37131318,2940402,NC
-0.40430436,2940403,NC
-0.38440576,2940404,NC
-0.39467868,2940405,NC
-0.39357194,2940406,NC
-0.41433313,2940407,NC
-0.4164505,2940408,NC
-0.42210525,2940409,NC
-0.4181542,2940410,NC
-0.4153855,2940411,NC
-0.41430682,2940412,NC
-0.4256461,2940413,NC
-0.4297308,2940414,NC
-0.42868397,2940415,NC
-0.4350484,2940416,NC
-0.43119565,2940417,NC
-0.43328428,2940418,NC
-0.45012724,2940419,NC
-0.44340518,2940420,NC
-0.45911455,2940421,NC
-0.45045367,2940422,NC
-0.4509007,2940423,NC
-0.45604882,2940424,NC
-0.45275775,2940425,NC
-0.47511008,2940426,NC
-0.4890002,2940427,NC
-0.4802891,2940428,NC
-0.4950335,2940429,NC
-0.46460652,2940430,NC
-0.48097253,2940431,NC
-0.48197934,2940432,NC
-0.50283766,2940433,NC
-0.49244198,2940434,NC
-0.493189,2940435,NC
-0.49923748,2940436,NC
-0.5200812,2940437,NC
-0.5303315,2940438,NC
-0.5334924,2940439,NC
-0.5209325,2940440,NC
-0.5195016,2940441,NC
-0.5194702,2940442,NC
-0.53516465,2940443,NC
-0.54098123,2940444,NC
-0.5605949,2940445,NC
-0.5403111,2940446,NC
-0.5415602,2940447,NC
-0.53121847,2940448,NC
-0.54143775,2940449,NC
-0.56552005,2940450,NC
-0.5582624,2940451,NC
-0.5515495,2940452,NC
-0.55296594,2940453,NC
-0.544841,2940454,NC
-0.55871075,2940455,NC
-0.56878877,2940456,NC
-0.57558346,2940457,NC
-0.5733525,2940458,NC
-0.55837256,2940459,NC
-0.5634852,2940460,NC
-0.56443673,2940461,NC
-0.5715497,2940462,NC
-0.57380515,2940463,NC
-0.5636534,2940464,NC
-0.56430674,2940465,NC
-0.5483297,2940466,NC
-0.55919755,2940467,NC
-0.55360806,2940468,NC
-0.55958974,2940469,NC
-0.55012566,2940470,NC
-0.5346962,2940471,NC
-0.520901,2940472,NC
-0.52608377,2940473,NC
-0.544285,2940474,NC
-0.5278455,2940475,NC
-0.51978457,2940476,NC
-0.49343774,2940477,NC
-0.48644343,2940478,NC
-0.47678143,2940479,NC
-0.48440793,2940480,NC
-0.4799397,2940481,NC
-0.4623948,2940482,NC
-0.45352504,2940483,NC
-0.44254526,2940484,NC
-0.4379801,2940485,NC
-0.43132615,2940486,NC
-0.42766154,2940487,NC
-0.40865955,2940488,NC
-0.38682052,2940489,NC
-0.38329506,2940490,NC
-0.38444623,2940491,NC
-0.38660094,2940492,NC
-0.38387617,2940493,NC
-0.36904687,2940494,NC
-0.35033607,2940495,NC
-0.34496242,2940496,NC
-0.3393583,2940497,NC
-0.34579366,2940498,NC
-0.33817923,2940499,NC
-0.33941293,2940500,NC
-0.33462274,2940501,NC
-0.31633714,2940502,NC
-0.34607992,2940503,NC
-0.33931264,2940504,NC
-0.35563534,2940505,NC
-0.3342503,2940506,NC
-0.33371574,2940507,NC
-0.3319644,2940508,NC
