channel_0,sample #,type
1.6179748,23758395,N
1.6001388,23758396,NC
1.4935364,23758397,NC
1.3488601,23758398,NC
1.1487122,23758399,NC
0.8659393,23758400,NC
0.49030474,23758401,NC
0.06652816,23758402,NC
-0.25268564,23758403,NC
-0.39134976,23758404,NC
-0.38118795,23758405,NC
-0.29078546,23758406,NC
-0.2057928,23758407,NC
-0.1777788,23758408,NC
-0.15569893,23758409,NC
-0.13533024,23758410,NC
-0.103257366,23758411,NC
-0.10051891,23758412,NC
-0.10347448,23758413,NC
-0.13108723,23758414,NC
-0.12684618,23758415,NC
-0.1378617,23758416,NC
-0.1259611,23758417,NC
-0.11503012,23758418,NC
-0.110964805,23758419,NC
-0.11994767,23758420,NC
-0.1415374,23758421,NC
-0.14594299,23758422,NC
-0.14195873,23758423,NC
-0.14021333,23758424,NC
-0.15937534,23758425,NC
-0.16924527,23758426,NC
-0.17679027,23758427,NC
-0.1813987,23758428,NC
-0.17166838,23758429,NC
-0.17547527,23758430,NC
-0.18096584,23758431,NC
-0.197123,23758432,NC
-0.19303791,23758433,NC
-0.19685476,23758434,NC
-0.17344278,23758435,NC
-0.16390789,23758436,NC
-0.16939797,23758437,NC
-0.17236856,23758438,NC
-0.19293568,23758439,NC
-0.19670698,23758440,NC
-0.17609584,23758441,NC
-0.16418147,23758442,NC
-0.17598692,23758443,NC
-0.19534454,23758444,NC
-0.21612681,23758445,NC
-0.23992182,23758446,NC
-0.24068095,23758447,NC
-0.22715892,23758448,NC
-0.24852787,23758449,NC
-0.25617296,23758450,NC
-0.26363522,23758451,NC
-0.24480052,23758452,NC
-0.23566191,23758453,NC
-0.22850049,23758454,NC
-0.2414975,23758455,NC
-0.26098117,23758456,NC
-0.27736413,23758457,NC
-0.28889206,23758458,NC
-0.27862775,23758459,NC
-0.2759577,23758460,NC
-0.28449482,23758461,NC
-0.32262546,23758462,NC
-0.33843806,23758463,NC
-0.34959283,23758464,NC
-0.3536908,23758465,NC
-0.34609497,23758466,NC
