channel_0,sample #,type
1.239511,3117796,f
1.21955,3117797,NC
1.0873367,3117798,NC
0.86574113,3117799,NC
0.6025442,3117800,NC
0.3901213,3117801,NC
0.2128352,3117802,NC
0.0571933,3117803,NC
-0.10895148,3117804,NC
-0.26997328,3117805,NC
-0.40164614,3117806,NC
-0.44325045,3117807,NC
-0.44192538,3117808,NC
-0.45438442,3117809,NC
-0.45031732,3117810,NC
-0.45428234,3117811,NC
-0.45863414,3117812,NC
-0.4392796,3117813,NC
-0.4328139,3117814,NC
-0.427158,3117815,NC
-0.42800602,3117816,NC
-0.43893734,3117817,NC
-0.4386427,3117818,NC
-0.4382912,3117819,NC
-0.42855275,3117820,NC
-0.43155202,3117821,NC
-0.44437605,3117822,NC
-0.4550161,3117823,NC
-0.4634202,3117824,NC
-0.45952266,3117825,NC
-0.43686166,3117826,NC
-0.4371922,3117827,NC
-0.44465733,3117828,NC
-0.46235088,3117829,NC
-0.46400803,3117830,NC
-0.463849,3117831,NC
-0.4674778,3117832,NC
-0.4622132,3117833,NC
-0.46411195,3117834,NC
-0.47807017,3117835,NC
-0.49706593,3117836,NC
-0.49067408,3117837,NC
-0.48609355,3117838,NC
-0.49295652,3117839,NC
-0.51314044,3117840,NC
-0.5156276,3117841,NC
-0.5015771,3117842,NC
-0.5131231,3117843,NC
-0.5011658,3117844,NC
-0.4968837,3117845,NC
-0.5114217,3117846,NC
-0.51316303,3117847,NC
-0.52327454,3117848,NC
-0.51904154,3117849,NC
-0.50708604,3117850,NC
-0.5069436,3117851,NC
-0.5147827,3117852,NC
-0.52864593,3117853,NC
-0.53841615,3117854,NC
-0.5342039,3117855,NC
-0.52603054,3117856,NC
-0.52286667,3117857,NC
-0.53222775,3117858,NC
-0.5395264,3117859,NC
-0.55105263,3117860,NC
-0.5516109,3117861,NC
-0.5502831,3117862,NC
-0.54690796,3117863,NC
-0.55964303,3117864,NC
-0.5650219,3117865,NC
-0.565448,3117866,NC
-0.5697917,3117867,NC
-0.55306745,3117868,NC
-0.5487771,3117869,NC
-0.5485202,3117870,NC
-0.5540124,3117871,NC
-0.55914026,3117872,NC
-0.5550802,3117873,NC
-0.5569111,3117874,NC
-0.54922,3117875,NC
-0.5448935,3117876,NC
-0.5639403,3117877,NC
-0.54783946,3117878,NC
-0.5497144,3117879,NC
-0.53207606,3117880,NC
-0.5160721,3117881,NC
-0.5375278,3117882,NC
-0.5210881,3117883,NC
-0.53515184,3117884,NC
-0.5108187,3117885,NC
-0.5115964,3117886,NC
-0.5061812,3117887,NC
-0.5134582,3117888,NC
-0.51494515,3117889,NC
-0.5071097,3117890,NC
-0.48563614,3117891,NC
-0.48082104,3117892,NC
-0.47608402,3117893,NC
-0.45684758,3117894,NC
-0.46466312,3117895,NC
-0.4526982,3117896,NC
-0.4300082,3117897,NC
-0.4165045,3117898,NC
-0.41094488,3117899,NC
-0.4128218,3117900,NC
-0.40572244,3117901,NC
-0.40136766,3117902,NC
-0.38941082,3117903,NC
-0.3737759,3117904,NC
-0.3631438,3117905,NC
-0.36501905,3117906,NC
-0.3642927,3117907,NC
-0.35649908,3117908,NC
-0.34839338,3117909,NC
-0.325506,3117910,NC
-0.3323804,3117911,NC
-0.32574278,3117912,NC
-0.3277081,3117913,NC
-0.32766646,3117914,NC
-0.32240295,3117915,NC
-0.31449595,3117916,NC
-0.30616724,3117917,NC
-0.30510867,3117918,NC
-0.30577376,3117919,NC
-0.3273207,3117920,NC
-0.31783244,3117921,NC
-0.3098116,3117922,NC
-0.2996172,3117923,NC
-0.31224996,3117924,NC
-0.32118478,3117925,NC
-0.33284476,3117926,NC
-0.33699203,3117927,NC
-0.32991365,3117928,NC
-0.3274787,3117929,NC
-0.324286,3117930,NC
-0.33843267,3117931,NC
-0.34253627,3117932,NC
-0.33079007,3117933,NC
-0.33191484,3117934,NC
-0.33144704,3117935,NC
-0.33090472,3117936,NC
-0.34891507,3117937,NC
-0.34223434,3117938,NC
-0.34739354,3117939,NC
-0.33418545,3117940,NC
-0.33712807,3117941,NC
-0.33126011,3117942,NC
-0.3470239,3117943,NC
-0.3475878,3117944,NC
-0.34288222,3117945,NC
-0.34826648,3117946,NC
-0.3262053,3117947,NC
-0.3436197,3117948,NC
-0.34764186,3117949,NC
-0.3541215,3117950,NC
-0.34959406,3117951,NC
-0.3436827,3117952,NC
-0.33818105,3117953,NC
-0.3478384,3117954,NC
-0.34404898,3117955,NC
-0.35366413,3117956,NC
-0.34610406,3117957,NC
-0.34226102,3117958,NC
-0.34197655,3117959,NC
-0.35347447,3117960,NC
-0.3636071,3117961,NC
-0.35409927,3117962,NC
-0.34358475,3117963,NC
-0.34974697,3117964,NC
-0.34618276,3117965,NC
-0.34440348,3117966,NC
-0.352926,3117967,NC
-0.36880827,3117968,NC
-0.3580434,3117969,NC
-0.34384117,3117970,NC
-0.33751842,3117971,NC
-0.35853052,3117972,NC
-0.35589585,3117973,NC
-0.3592812,3117974,NC
-0.35303602,3117975,NC
-0.34405628,3117976,NC
-0.3397945,3117977,NC
-0.3370829,3117978,NC
-0.34284958,3117979,NC
-0.34627318,3117980,NC
-0.3439315,3117981,NC
-0.3267275,3117982,NC
-0.31636542,3117983,NC
-0.31602883,3117984,NC
-0.32779384,3117985,NC
-0.33571735,3117986,NC
-0.33680102,3117987,NC
-0.33563006,3117988,NC
-0.3164721,3117989,NC
-0.30529454,3117990,NC
-0.31175512,3117991,NC
-0.3242334,3117992,NC
-0.31085515,3117993,NC
-0.31699884,3117994,NC
-0.31269816,3117995,NC
-0.32776475,3117996,NC
-0.31089061,3117997,NC
-0.31775898,3117998,NC
-0.30916575,3117999,NC
-0.31356165,3118000,NC
-0.29585275,3118001,NC
-0.31191474,3118002,NC
-0.32764202,3118003,NC
-0.3206899,3118004,NC
-0.32010356,3118005,NC
-0.31687933,3118006,NC
-0.31007746,3118007,NC
-0.32777947,3118008,NC
-0.3332208,3118009,NC
-0.32985142,3118010,NC
-0.3429134,3118011,NC
-0.32111388,3118012,NC
-0.32261166,3118013,NC
-0.31584182,3118014,NC
-0.326985,3118015,NC
-0.34828743,3118016,NC
-0.34310147,3118017,NC
-0.3113535,3118018,NC
-0.3268984,3118019,NC
-0.32697406,3118020,NC
-0.32668862,3118021,NC
-0.32838613,3118022,NC
-0.32325184,3118023,NC
-0.29725355,3118024,NC
-0.299983,3118025,NC
-0.29872108,3118026,NC
-0.3003833,3118027,NC
-0.30545065,3118028,NC
-0.29641283,3118029,NC
-0.2842323,3118030,NC
-0.28489694,3118031,NC
-0.26301017,3118032,NC
-0.2702917,3118033,NC
-0.27405447,3118034,NC
-0.2450372,3118035,NC
-0.21580482,3118036,NC
-0.22162914,3118037,NC
-0.23339686,3118038,NC
-0.2385216,3118039,NC
-0.23539321,3118040,NC
-0.23720525,3118041,NC
-0.23743096,3118042,NC
-0.24076901,3118043,NC
-0.25262132,3118044,NC
-0.28129664,3118045,NC
-0.2847822,3118046,NC
-0.27328146,3118047,NC
-0.26339206,3118048,NC
-0.26490527,3118049,NC
-0.28051528,3118050,NC
-0.28492126,3118051,NC
-0.28956765,3118052,NC
-0.28987488,3118053,NC
-0.2685865,3118054,NC
-0.25849712,3118055,NC
-0.25838384,3118056,NC
-0.26004383,3118057,NC
-0.26793465,3118058,NC
-0.24278517,3118059,NC
-0.23081651,3118060,NC
-0.18956189,3118061,NC
-0.13592985,3118062,NC
-0.0014681842,3118063,NC
0.35871497,3118064,NC
0.86906046,3118065,NC
1.0267086,3118066,f
0.62767714,3118067,NC
0.17352143,3118068,NC
-0.028313423,3118069,NC
-0.032010972,3118070,NC
0.015814757,3118071,NC
0.026044052,3118072,NC
-0.01313273,3118073,NC
-0.046890706,3118074,NC
-0.06514054,3118075,NC
-0.05953197,3118076,NC
-0.062601455,3118077,NC
-0.06397584,3118078,NC
-0.0543555,3118079,NC
-0.06980743,3118080,NC
-0.07323865,3118081,NC
-0.07276516,3118082,NC
-0.07568818,3118083,NC
-0.07255755,3118084,NC
-0.09181942,3118085,NC
-0.10409299,3118086,NC
-0.13177775,3118087,NC
-0.16226971,3118088,NC
-0.18333948,3118089,NC
-0.20901233,3118090,NC
-0.2322494,3118091,NC
-0.25335276,3118092,NC
-0.28567755,3118093,NC
-0.33211133,3118094,NC
-0.37875634,3118095,NC
-0.4178063,3118096,NC
-0.42093003,3118097,NC
-0.40464613,3118098,NC
-0.40520695,3118099,NC
-0.42975894,3118100,NC
-0.43459243,3118101,NC
-0.44132638,3118102,NC
