channel_0,sample #,type
2.3101547,23717249,f
2.381194,23717250,NC
2.4284565,23717251,NC
2.405445,23717252,NC
2.3106363,23717253,NC
2.138511,23717254,NC
1.9135338,23717255,NC
1.6529291,23717256,NC
1.2969084,23717257,NC
0.9593349,23717258,NC
0.6876276,23717259,NC
0.5565063,23717260,NC
0.542317,23717261,NC
0.5987206,23717262,NC
0.68367517,23717263,NC
0.7359998,23717264,NC
0.7453142,23717265,NC
0.71644795,23717266,NC
0.69699776,23717267,NC
0.68934655,23717268,NC
0.65619034,23717269,NC
0.6440076,23717270,NC
0.64880234,23717271,NC
0.6251886,23717272,NC
0.60669833,23717273,NC
0.579805,23717274,NC
0.5792344,23717275,NC
0.58185935,23717276,NC
0.56927216,23717277,NC
0.54613775,23717278,NC
0.5238397,23717279,NC
0.49526238,23717280,NC
0.48767886,23717281,NC
0.4964208,23717282,NC
0.4874873,23717283,NC
0.48306432,23717284,NC
0.4561471,23717285,NC
0.43707895,23717286,NC
0.4294059,23717287,NC
0.4338287,23717288,NC
0.43187928,23717289,NC
0.42737123,23717290,NC
0.42736468,23717291,NC
0.40213567,23717292,NC
0.38655803,23717293,NC
0.40541023,23717294,NC
0.39991987,23717295,NC
0.39700294,23717296,NC
0.3686392,23717297,NC
0.33028954,23717298,NC
0.31587988,23717299,NC
0.30629984,23717300,NC
0.3035636,23717301,NC
0.2909817,23717302,NC
0.28805736,23717303,NC
0.27443784,23717304,NC
0.27979353,23717305,NC
0.27979136,23717306,NC
0.29374436,23717307,NC
0.2788563,23717308,NC
0.2515874,23717309,NC
0.24769296,23717310,NC
0.25184277,23717311,NC
0.2449797,23717312,NC
0.26719356,23717313,NC
0.2524338,23717314,NC
0.24322957,23717315,NC
0.21782005,23717316,NC
0.2019554,23717317,NC
0.20094702,23717318,NC
0.20267123,23717319,NC
0.19495122,23717320,NC
0.17212765,23717321,NC
0.13946629,23717322,NC
0.13240111,23717323,NC
0.11978784,23717324,NC
0.10988799,23717325,NC
0.09579179,23717326,NC
0.06438534,23717327,NC
0.024967054,23717328,NC
-0.00518174,23717329,NC
-0.009991483,23717330,NC
-0.018052898,23717331,NC
-0.07755371,23717332,NC
-0.120632626,23717333,NC
-0.14409402,23717334,NC
-0.16057307,23717335,NC
-0.16982447,23717336,NC
-0.18721868,23717337,NC
-0.20602751,23717338,NC
-0.24187419,23717339,NC
-0.2979375,23717340,NC
-0.32251,23717341,NC
-0.3434238,23717342,NC
-0.3541108,23717343,NC
-0.39497,23717344,NC
-0.4130609,23717345,NC
-0.42769986,23717346,NC
-0.45401135,23717347,NC
