channel_0,sample #,type
1.5770631,23725858,N
1.5323701,23725859,NC
1.4326171,23725860,NC
1.2937515,23725861,NC
1.1382496,23725862,NC
0.92155874,23725863,NC
0.6079984,23725864,NC
0.22218437,23725865,NC
-0.111625396,23725866,NC
-0.26281515,23725867,NC
-0.23774327,23725868,NC
-0.15758544,23725869,NC
-0.09337614,23725870,NC
-0.04302972,23725871,NC
-0.03278985,23725872,NC
-0.038463987,23725873,NC
-0.048133,23725874,NC
-0.042455874,23725875,NC
-0.04261591,23725876,NC
-0.04209232,23725877,NC
-0.056589272,23725878,NC
-0.06830914,23725879,NC
-0.06306475,23725880,NC
-0.03288021,23725881,NC
-0.0093710385,23725882,NC
-0.007073397,23725883,NC
-0.0074938554,23725884,NC
-0.027398335,23725885,NC
-0.029000886,23725886,NC
-0.022626925,23725887,NC
-0.011976611,23725888,NC
-0.006859606,23725889,NC
-0.012164086,23725890,NC
-0.019126795,23725891,NC
-0.0344859,23725892,NC
-0.023654772,23725893,NC
-0.016981699,23725894,NC
-0.032695465,23725895,NC
-0.052703477,23725896,NC
-0.07109762,23725897,NC
-0.057313904,23725898,NC
-0.05309999,23725899,NC
-0.046436206,23725900,NC
-0.057313588,23725901,NC
-0.066868015,23725902,NC
-0.08733489,23725903,NC
-0.10219592,23725904,NC
-0.09469303,23725905,NC
-0.10070256,23725906,NC
-0.09260795,23725907,NC
-0.091143906,23725908,NC
-0.107310906,23725909,NC
-0.11702917,23725910,NC
-0.11073108,23725911,NC
-0.11190473,23725912,NC
-0.111875735,23725913,NC
-0.14166133,23725914,NC
-0.17050116,23725915,NC
-0.17272575,23725916,NC
-0.16169712,23725917,NC
-0.14699915,23725918,NC
-0.15582564,23725919,NC
-0.16575319,23725920,NC
-0.18060413,23725921,NC
-0.20557733,23725922,NC
-0.2086777,23725923,NC
-0.21155958,23725924,NC
-0.23618297,23725925,NC
-0.23441026,23725926,NC
-0.26175582,23725927,NC
-0.26177692,23725928,NC
-0.25620225,23725929,NC
-0.2513752,23725930,NC
-0.27189702,23725931,NC
-0.2856375,23725932,NC
-0.3274074,23725933,NC
-0.33601075,23725934,NC
-0.34642273,23725935,NC
-0.32826144,23725936,NC
-0.35093498,23725937,NC
-0.37027106,23725938,NC
-0.40941998,23725939,NC
-0.4339129,23725940,NC
-0.4602739,23725941,NC
-0.47488806,23725942,NC
-0.52075946,23725943,NC
-0.5300308,23725944,NC
-0.56453556,23725945,NC
-0.5946141,23725946,NC
-0.61975634,23725947,NC
-0.62286377,23725948,NC
-0.6503224,23725949,NC
-0.67777705,23725950,NC
-0.7024903,23725951,NC
-0.71413004,23725952,NC
-0.7286151,23725953,NC
-0.75028384,23725954,NC
-0.7551945,23725955,NC
-0.7802165,23725956,NC
-0.8095908,23725957,NC
-0.80963963,23725958,NC
-0.808598,23725959,NC
-0.7741808,23725960,NC
-0.77922237,23725961,NC
-0.77832085,23725962,NC
-0.78374684,23725963,NC
-0.7731984,23725964,NC
-0.7336087,23725965,NC
-0.69684845,23725966,NC
-0.6836792,23725967,NC
-0.6634559,23725968,NC
-0.65273464,23725969,NC
-0.6384914,23725970,NC
-0.6093114,23725971,NC
-0.5613737,23725972,NC
-0.53646296,23725973,NC
-0.51303345,23725974,NC
-0.49718723,23725975,NC
-0.47245765,23725976,NC
-0.41162843,23725977,NC
-0.35580343,23725978,NC
-0.32273456,23725979,NC
-0.2870899,23725980,NC
-0.27564445,23725981,NC
-0.2515219,23725982,NC
-0.2119838,23725983,NC
-0.17710938,23725984,NC
-0.1571497,23725985,NC
-0.15103042,23725986,NC
-0.14058298,23725987,NC
-0.13158384,23725988,NC
-0.09102806,23725989,NC
-0.05029981,23725990,NC
-0.055020146,23725991,NC
-0.035358995,23725992,NC
-0.029964909,23725993,NC
-0.010030095,23725994,NC
0.02386572,23725995,NC
0.06408063,23725996,NC
0.09021067,23725997,NC
0.09028958,23725998,NC
0.10067615,23725999,NC
0.11405915,23726000,NC
0.12642148,23726001,NC
0.13481034,23726002,NC
0.1475958,23726003,NC
0.12707672,23726004,NC
0.11673366,23726005,NC
0.12128856,23726006,NC
0.13663411,23726007,NC
0.14015302,23726008,NC
0.14125016,23726009,NC
0.1320223,23726010,NC
0.13223013,23726011,NC
0.15113863,23726012,NC
0.19239518,23726013,NC
0.19738914,23726014,NC
0.1964037,23726015,NC
0.18423839,23726016,NC
0.15792105,23726017,NC
0.16338305,23726018,NC
0.19792257,23726019,NC
0.21420076,23726020,NC
0.20850146,23726021,NC
0.19801547,23726022,NC
0.18799403,23726023,NC
0.19401392,23726024,NC
0.1988417,23726025,NC
0.21379557,23726026,NC
0.21925838,23726027,NC
0.20442821,23726028,NC
0.19936536,23726029,NC
0.22037531,23726030,NC
0.23021671,23726031,NC
0.23994759,23726032,NC
0.2303845,23726033,NC
0.2202926,23726034,NC
0.21460316,23726035,NC
0.20948924,23726036,NC
0.23580319,23726037,NC
0.24063279,23726038,NC
0.21191548,23726039,NC
0.1958784,23726040,NC
0.18581536,23726041,NC
0.18172574,23726042,NC
0.19619909,23726043,NC
0.20542996,23726044,NC
0.19968915,23726045,NC
0.18699363,23726046,NC
0.17369089,23726047,NC
0.15741725,23726048,NC
0.16294976,23726049,NC
0.17775364,23726050,NC
0.17644805,23726051,NC
0.17322712,23726052,NC
0.17287026,23726053,NC
0.1737942,23726054,NC
0.1784789,23726055,NC
0.18402097,23726056,NC
0.17340146,23726057,NC
0.16439942,23726058,NC
0.15566228,23726059,NC
0.15417063,23726060,NC
0.15502022,23726061,NC
0.16988201,23726062,NC
0.14473815,23726063,NC
0.14048408,23726064,NC
0.12938091,23726065,NC
0.13303217,23726066,NC
0.13992544,23726067,NC
0.15041609,23726068,NC
0.14066896,23726069,NC
0.14560995,23726070,NC
0.13515487,23726071,NC
0.14683975,23726072,NC
0.1520499,23726073,NC
0.1818349,23726074,NC
0.19140829,23726075,NC
0.19623858,23726076,NC
0.15598136,23726077,NC
0.17214261,23726078,NC
0.16694891,23726079,NC
0.1819407,23726080,NC
