channel_0,sample #,type
0.7625851,2739477,f
0.61158293,2739478,NC
0.4428178,2739479,NC
0.28525746,2739480,NC
0.21004629,2739481,NC
0.19980401,2739482,NC
0.19826694,2739483,NC
0.18359053,2739484,NC
0.17378066,2739485,NC
0.16496745,2739486,NC
0.16400811,2739487,NC
0.16754828,2739488,NC
0.16698068,2739489,NC
0.16977333,2739490,NC
0.17607716,2739491,NC
0.17584614,2739492,NC
0.1725025,2739493,NC
0.16463354,2739494,NC
0.15711826,2739495,NC
0.15222931,2739496,NC
0.14439122,2739497,NC
0.13188677,2739498,NC
0.10828845,2739499,NC
0.079795815,2739500,NC
0.051275697,2739501,NC
0.031496063,2739502,NC
0.008538248,2739503,NC
-0.02809,2739504,NC
-0.07791949,2739505,NC
-0.14284274,2739506,NC
-0.20644358,2739507,NC
-0.25608656,2739508,NC
-0.29361847,2739509,NC
-0.3226721,2739510,NC
-0.3435634,2739511,NC
-0.36094528,2739512,NC
-0.36964953,2739513,NC
-0.36677587,2739514,NC
-0.36313158,2739515,NC
-0.3582184,2739516,NC
-0.35596055,2739517,NC
-0.35577622,2739518,NC
-0.34468174,2739519,NC
-0.3210591,2739520,NC
-0.28751504,2739521,NC
-0.24675389,2739522,NC
-0.20409061,2739523,NC
-0.16659899,2739524,NC
-0.12742046,2739525,NC
-0.08974101,2739526,NC
-0.063741654,2739527,NC
-0.048717257,2739528,NC
-0.056258917,2739529,NC
-0.08372197,2739530,NC
-0.11472751,2739531,NC
-0.14101847,2739532,NC
-0.15622011,2739533,NC
-0.16761404,2739534,NC
-0.17874807,2739535,NC
-0.1923042,2739536,NC
-0.19941296,2739537,NC
-0.18921527,2739538,NC
-0.17459798,2739539,NC
-0.15369534,2739540,NC
-0.14410868,2739541,NC
-0.14422,2739542,NC
-0.14009157,2739543,NC
-0.13601959,2739544,NC
-0.12108065,2739545,NC
-0.10823034,2739546,NC
-0.099627264,2739547,NC
-0.094545156,2739548,NC
-0.089269325,2739549,NC
-0.07838936,2739550,NC
-0.06723282,2739551,NC
-0.058946867,2739552,NC
-0.05382609,2739553,NC
-0.053647455,2739554,NC
-0.050078325,2739555,NC
-0.04262154,2739556,NC
-0.0401712,2739557,NC
-0.036704242,2739558,NC
-0.04016019,2739559,NC
-0.044917263,2739560,NC
-0.041299246,2739561,NC
-0.03613562,2739562,NC
-0.031034138,2739563,NC
-0.027382143,2739564,NC
-0.028679358,2739565,NC
-0.033481024,2739566,NC
-0.032294612,2739567,NC
-0.023515362,2739568,NC
-0.017120544,2739569,NC
-0.009770129,2739570,NC
-0.008521209,2739571,NC
-0.012423547,2739572,NC
-0.012652023,2739573,NC
-0.009212546,2739574,NC
-0.0030533425,2739575,NC
0.0008554171,2739576,NC
0.0021725264,2739577,NC
0.002164795,2739578,NC
0.0031200722,2739579,NC
0.010946256,2739580,NC
0.017063895,2739581,NC
0.019702375,2739582,NC
0.022685815,2739583,NC
0.018590279,2739584,NC
0.020018555,2739585,NC
0.026765995,2739586,NC
0.03188104,2739587,NC
0.036969632,2739588,NC
0.035858158,2739589,NC
0.033226393,2739590,NC
0.033716246,2739591,NC
0.036121644,2739592,NC
0.042199213,2739593,NC
