channel_0,sample #,type
0.32,23681251,B
0.27,23681252,NC
0.18333334,23681253,NC
0.093333334,23681254,NC
-0.005000001,23681255,NC
-0.093333334,23681256,NC
-0.17833334,23681257,NC
-0.26833335,23681258,NC
-0.36833334,23681259,NC
-0.48666668,23681260,NC
-0.60833335,23681261,NC
-0.7216667,23681262,NC
-0.82,23681263,NC
-0.9050001,23681264,NC
-0.99666667,23681265,NC
-1.085,23681266,NC
-1.1600001,23681267,NC
-1.2166667,23681268,NC
-1.2616668,23681269,NC
-1.3133334,23681270,NC
-1.355,23681271,NC
-1.3933333,23681272,NC
-1.415,23681273,NC
-1.4233333,23681274,NC
-1.4116666,23681275,NC
-1.395,23681276,NC
-1.3833333,23681277,NC
-1.3866667,23681278,NC
-1.3833333,23681279,NC
-1.36,23681280,NC
-1.3050001,23681281,NC
-1.2233334,23681282,NC
-1.13,23681283,NC
-1.0333333,23681284,NC
-0.94166666,23681285,NC
-0.85833335,23681286,NC
-0.7966667,23681287,NC
-0.75666666,23681288,NC
-0.7366667,23681289,NC
-0.7216667,23681290,NC
-0.70000005,23681291,NC
-0.6616667,23681292,NC
-0.6116667,23681293,NC
-0.555,23681294,NC
-0.50166667,23681295,NC
-0.44166666,23681296,NC
-0.38333333,23681297,NC
-0.32,23681298,NC
-0.25666666,23681299,NC
-0.20333335,23681300,NC
-0.16166668,23681301,NC
-0.13333334,23681302,NC
-0.10166667,23681303,NC
-0.07333334,23681304,NC
-0.04,23681305,NC
-0.020000001,23681306,NC
-0.011666667,23681307,NC
-0.016666666,23681308,NC
-0.02,23681309,NC
-0.015000001,23681310,NC
-0.006666667,23681311,NC
0.0016666667,23681312,NC
-0.0016666665,23681313,NC
-0.013333333,23681314,NC
-0.021666666,23681315,NC
-0.016666666,23681316,NC
-0.0016666669,23681317,NC
0.008333333,23681318,NC
0.015,23681319,NC
0.018333334,23681320,NC
0.028333334,23681321,NC
0.048333336,23681322,NC
0.071666665,23681323,NC
0.08833334,23681324,NC
0.09166667,23681325,NC
0.09,23681326,NC
0.09166667,23681327,NC
0.09833334,23681328,NC
0.115,23681329,NC
0.135,23681330,NC
0.14666668,23681331,NC
0.14333333,23681332,NC
0.14,23681333,NC
0.14833334,23681334,NC
0.16666667,23681335,NC
0.18666667,23681336,NC
0.195,23681337,NC
0.20166665,23681338,NC
0.205,23681339,NC
0.21666668,23681340,NC
0.23333335,23681341,NC
0.25166667,23681342,NC
0.26666668,23681343,NC
0.27666667,23681344,NC
0.2866667,23681345,NC
0.30333334,23681346,NC
0.33166668,23681347,NC
0.35666668,23681348,NC
0.38,23681349,NC
0.38833332,23681350,NC
0.4066667,23681351,NC
0.42833337,23681352,NC
0.46000004,23681353,NC
0.48000002,23681354,NC
0.495,23681355,NC
0.50333333,23681356,NC
0.51666665,23681357,NC
0.5333333,23681358,NC
0.555,23681359,NC
0.58000004,23681360,NC
0.605,23681361,NC
0.625,23681362,NC
0.64500004,23681363,NC
0.665,23681364,NC
0.68666667,23681365,NC
0.6983333,23681366,NC
0.70166665,23681367,NC
0.695,23681368,NC
0.695,23681369,NC
0.7033334,23681370,NC
0.7216667,23681371,NC
0.73833334,23681372,NC
0.74,23681373,NC
0.73,23681374,NC
0.7166667,23681375,NC
0.7083333,23681376,NC
0.71,23681377,NC
0.705,23681378,NC
0.69,23681379,NC
0.65833336,23681380,NC
0.62166667,23681381,NC
0.5916667,23681382,NC
0.565,23681383,NC
0.53833336,23681384,NC
0.505,23681385,NC
0.46666667,23681386,NC
0.42666668,23681387,NC
0.39166668,23681388,NC
0.36666667,23681389,NC
0.34333336,23681390,NC
0.30833334,23681391,NC
0.265,23681392,NC
0.22166666,23681393,NC
0.19500001,23681394,NC
0.18,23681395,NC
0.16666667,23681396,NC
0.14166667,23681397,NC
0.103333324,23681398,NC
0.06666666,23681399,NC
0.036666665,23681400,NC
0.018333333,23681401,NC
0.0016666669,23681402,NC
-0.020000001,23681403,NC
-0.048333336,23681404,NC
-0.07833333,23681405,NC
-0.10166667,23681406,NC
-0.115,23681407,NC
-0.12,23681408,NC
-0.123333335,23681409,NC
-0.125,23681410,NC
-0.13,23681411,NC
-0.13333334,23681412,NC
-0.135,23681413,NC
-0.14500001,23681414,NC
-0.16166666,23681415,NC
-0.19000001,23681416,NC
-0.20666668,23681417,NC
-0.20666668,23681418,NC
-0.19333334,23681419,NC
-0.18166667,23681420,NC
-0.17666668,23681421,NC
-0.18166667,23681422,NC
-0.18333334,23681423,NC
-0.18666667,23681424,NC
-0.18166667,23681425,NC
-0.17333335,23681426,NC
-0.17166667,23681427,NC
-0.17500001,23681428,NC
-0.18166667,23681429,NC
-0.18666667,23681430,NC
-0.18166667,23681431,NC
-0.185,23681432,NC
-0.18,23681433,NC
-0.18666667,23681434,NC
-0.18833333,23681435,NC
-0.19166666,23681436,NC
-0.185,23681437,NC
-0.18166667,23681438,NC
-0.185,23681439,NC
-0.19666666,23681440,NC
-0.20166668,23681441,NC
-0.19833334,23681442,NC
-0.18333334,23681443,NC
-0.17333333,23681444,NC
-0.17166667,23681445,NC
-0.18666667,23681446,NC
-0.205,23681447,NC
-0.21666668,23681448,NC
-0.21833333,23681449,NC
-0.21833335,23681450,NC
-0.21833335,23681451,NC
-0.22000001,23681452,NC
-0.21333334,23681453,NC
-0.20666668,23681454,NC
-0.20333335,23681455,NC
-0.215,23681456,NC
-0.23333335,23681457,NC
-0.255,23681458,NC
-0.26500002,23681459,NC
-0.26666668,23681460,NC
-0.26333335,23681461,NC
-0.25166667,23681462,NC
-0.24833333,23681463,NC
-0.245,23681464,NC
-0.24333334,23681465,NC
-0.23666666,23681466,NC
-0.22500001,23681467,NC
-0.21666667,23681468,NC
-0.21666668,23681469,NC
-0.22333334,23681470,NC
-0.23166667,23681471,NC
-0.22666667,23681472,NC
-0.21666667,23681473,NC
-0.21166669,23681474,NC
-0.21000001,23681475,NC
-0.22000001,23681476,NC
-0.22666667,23681477,NC
-0.23166667,23681478,NC
-0.22500001,23681479,NC
-0.21833335,23681480,NC
-0.21333334,23681481,NC
-0.22333336,23681482,NC
-0.23,23681483,NC
-0.23333333,23681484,NC
-0.22,23681485,NC
-0.21333335,23681486,NC
-0.21833335,23681487,NC
-0.23500001,23681488,NC
-0.24333332,23681489,NC
-0.24166666,23681490,NC
-0.23,23681491,NC
-0.22,23681492,NC
-0.21666668,23681493,NC
-0.22500002,23681494,NC
-0.23333333,23681495,NC
-0.23333333,23681496,NC
-0.22,23681497,NC
-0.21166667,23681498,NC
-0.215,23681499,NC
-0.22833335,23681500,NC
-0.23833333,23681501,NC
-0.23833333,23681502,NC
-0.22833334,23681503,NC
-0.22333334,23681504,NC
-0.22000001,23681505,NC
-0.22500001,23681506,NC
-0.22333334,23681507,NC
-0.22333334,23681508,NC
-0.22166668,23681509,NC
-0.22333334,23681510,NC
-0.22500001,23681511,NC
-0.22833334,23681512,NC
-0.22833334,23681513,NC
-0.22166666,23681514,NC
-0.20666668,23681515,NC
-0.19166666,23681516,NC
-0.18833333,23681517,NC
-0.19166666,23681518,NC
-0.19166666,23681519,NC
-0.18833333,23681520,NC
-0.17666668,23681521,NC
-0.17333335,23681522,NC
-0.16833334,23681523,NC
-0.16833334,23681524,NC
-0.17,23681525,NC
-0.16833334,23681526,NC
-0.16166666,23681527,NC
-0.15,23681528,NC
-0.14333333,23681529,NC
-0.15,23681530,NC
-0.15833335,23681531,NC
-0.16166668,23681532,NC
-0.15333334,23681533,NC
-0.14333335,23681534,NC
-0.13333334,23681535,NC
-0.13000001,23681536,NC
-0.12666667,23681537,NC
-0.120000005,23681538,NC
-0.101666674,23681539,NC
-0.07333334,23681540,NC
-0.043333333,23681541,NC
-0.010000001,23681542,NC
0.065,23681543,NC
0.23500001,23681544,NC
0.54833335,23681545,NC
0.98,23681546,NC
1.4216666,23681547,NC
1.7466667,23681548,NC
1.8816667,23681549,NC
1.8966668,23681550,NC
1.8933333,23681551,NC
1.9416666,23681552,NC
2.0233333,23681553,NC
2.0900002,23681554,f
2.1133335,23681555,NC
2.0883336,23681556,NC
2.0166667,23681557,NC
1.9016668,23681558,NC
1.75,23681559,NC
1.5583334,23681560,NC
1.3266667,23681561,NC
1.0433333,23681562,NC
0.74333334,23681563,NC
0.4616667,23681564,NC
0.24833335,23681565,NC
0.120000005,23681566,NC
0.07666667,23681567,NC
0.085,23681568,NC
0.11333334,23681569,NC
0.12833333,23681570,NC
0.12666667,23681571,NC
0.108333334,23681572,NC
0.08333334,23681573,NC
0.068333335,23681574,NC
0.056666665,23681575,NC
0.05166667,23681576,NC
0.033333335,23681577,NC
0.011666668,23681578,NC
-0.015000001,23681579,NC
-0.031666666,23681580,NC
-0.041666668,23681581,NC
-0.046666667,23681582,NC
-0.061666667,23681583,NC
-0.08,23681584,NC
-0.1,23681585,NC
-0.113333344,23681586,NC
-0.123333335,23681587,NC
-0.13333333,23681588,NC
-0.14833334,23681589,NC
-0.17500001,23681590,NC
-0.19666666,23681591,NC
-0.20833334,23681592,NC
-0.20166667,23681593,NC
-0.19833332,23681594,NC
-0.19666666,23681595,NC
-0.20833334,23681596,NC
-0.21833335,23681597,NC
-0.22833334,23681598,NC
-0.22333333,23681599,NC
-0.22500001,23681600,NC
-0.23666668,23681601,NC
-0.25833333,23681602,NC
-0.275,23681603,NC
-0.285,23681604,NC
-0.285,23681605,NC
-0.29000002,23681606,NC
-0.29500002,23681607,NC
-0.31500003,23681608,NC
-0.33333334,23681609,NC
-0.34333333,23681610,NC
-0.345,23681611,NC
-0.34,23681612,NC
-0.3466667,23681613,NC
-0.365,23681614,NC
-0.38,23681615,NC
-0.39,23681616,NC
-0.39166665,23681617,NC
-0.39666665,23681618,NC
-0.4066667,23681619,NC
-0.42000002,23681620,NC
-0.43333337,23681621,NC
-0.43833336,23681622,NC
-0.43500003,23681623,NC
-0.43000004,23681624,NC
-0.4316667,23681625,NC
-0.4416667,23681626,NC
-0.46,23681627,NC
-0.47333333,23681628,NC
-0.485,23681629,NC
-0.49666667,23681630,NC
-0.51,23681631,NC
-0.53,23681632,NC
-0.54333335,23681633,NC
-0.56166667,23681634,NC
-0.57,23681635,NC
-0.5866667,23681636,NC
-0.605,23681637,NC
-0.6316667,23681638,NC
-0.6516667,23681639,NC
-0.665,23681640,NC
-0.67,23681641,NC
-0.68,23681642,NC
-0.6966667,23681643,NC
-0.7266667,23681644,NC
-0.75666666,23681645,NC
-0.7833333,23681646,NC
-0.7950001,23681647,NC
-0.8116667,23681648,NC
-0.83500004,23681649,NC
-0.8683334,23681650,NC
-0.89500004,23681651,NC
-0.9116667,23681652,NC
-0.92,23681653,NC
-0.925,23681654,NC
-0.93,23681655,NC
-0.94,23681656,NC
-0.95166665,23681657,NC
-0.9583333,23681658,NC
-0.955,23681659,NC
-0.945,23681660,NC
-0.945,23681661,NC
-0.94666666,23681662,NC
-0.94666666,23681663,NC
-0.92833334,23681664,NC
-0.89500004,23681665,NC
-0.86333334,23681666,NC
-0.8316667,23681667,NC
-0.8133334,23681668,NC
-0.7916667,23681669,NC
-0.76666665,23681670,NC
-0.73333335,23681671,NC
-0.69500005,23681672,NC
-0.67,23681673,NC
-0.65166664,23681674,NC
-0.6333333,23681675,NC
-0.60833335,23681676,NC
-0.57500005,23681677,NC
-0.545,23681678,NC
-0.52000004,23681679,NC
-0.50333333,23681680,NC
-0.49,23681681,NC
-0.47,23681682,NC
-0.44666666,23681683,NC
-0.42333335,23681684,NC
-0.405,23681685,NC
-0.39333332,23681686,NC
-0.38,23681687,NC
-0.36666667,23681688,NC
-0.34500003,23681689,NC
-0.32999998,23681690,NC
-0.31666666,23681691,NC
-0.31666666,23681692,NC
-0.315,23681693,NC
-0.31,23681694,NC
-0.29666668,23681695,NC
