channel_0,sample #,type
0.84238654,2773561,f
0.8191101,2773562,NC
0.76479834,2773563,NC
0.67280084,2773564,NC
0.5475512,2773565,NC
0.40456724,2773566,NC
0.25714958,2773567,NC
0.115273945,2773568,NC
-0.022168066,2773569,NC
-0.15295966,2773570,NC
-0.2660168,2773571,NC
-0.35136387,2773572,NC
-0.40567565,2773573,NC
-0.4267353,2773574,NC
-0.43227732,2773575,NC
-0.4311689,2773576,NC
-0.4267353,2773577,NC
-0.4256269,2773578,NC
-0.42008486,2773579,NC
-0.41565126,2773580,NC
-0.41454285,2773581,NC
-0.41675967,2773582,NC
-0.42008486,2773583,NC
-0.4234101,2773584,NC
-0.4234101,2773585,NC
-0.41786805,2773586,NC
-0.41454285,2773587,NC
-0.41565126,2773588,NC
-0.41675967,2773589,NC
-0.41897646,2773590,NC
-0.41897646,2773591,NC
-0.41786805,2773592,NC
-0.42008486,2773593,NC
-0.42230168,2773594,NC
-0.42784372,2773595,NC
-0.4311689,2773596,NC
-0.4311689,2773597,NC
-0.4300605,2773598,NC
-0.4311689,2773599,NC
-0.43338573,2773600,NC
-0.43671092,2773601,NC
-0.44003615,2773602,NC
-0.44003615,2773603,NC
-0.44114453,2773604,NC
-0.44446978,2773605,NC
-0.45001176,2773606,NC
-0.45333698,2773607,NC
-0.45222855,2773608,NC
-0.45112014,2773609,NC
-0.45001176,2773610,NC
-0.45222855,2773611,NC
-0.45666218,2773612,NC
-0.45998734,2773613,NC
-0.4633126,2773614,NC
-0.46220422,2773615,NC
-0.46220422,2773616,NC
-0.46663782,2773617,NC
-0.46996298,2773618,NC
-0.47439665,2773619,NC
-0.47661346,2773620,NC
-0.47217986,2773621,NC
-0.46996298,2773622,NC
-0.4721798,2773623,NC
-0.47328824,2773624,NC
-0.47439665,2773625,NC
-0.47328824,2773626,NC
-0.46885464,2773627,NC
-0.46552938,2773628,NC
-0.46663782,2773629,NC
-0.47107142,2773630,NC
-0.47439665,2773631,NC
-0.47550502,2773632,NC
-0.47328824,2773633,NC
-0.47107142,2773634,NC
-0.46996304,2773635,NC
-0.47328824,2773636,NC
-0.47661346,2773637,NC
-0.47550502,2773638,NC
-0.47439662,2773639,NC
-0.4721798,2773640,NC
-0.4721798,2773641,NC
-0.47772184,2773642,NC
-0.47993866,2773643,NC
-0.48104706,2773644,NC
-0.4777219,2773645,NC
-0.47217986,2773646,NC
-0.4721798,2773647,NC
-0.47661346,2773648,NC
-0.47772184,2773649,NC
-0.47439662,2773650,NC
-0.46885464,2773651,NC
-0.45998734,2773652,NC
-0.45555374,2773653,NC
-0.45555374,2773654,NC
-0.45333698,2773655,NC
-0.45112014,2773656,NC
-0.44446972,2773657,NC
-0.43671092,2773658,NC
-0.4311689,2773659,NC
-0.42451847,2773660,NC
-0.42230168,2773661,NC
-0.41786805,2773662,NC
-0.40900084,2773663,NC
-0.40013364,2773664,NC
-0.39348322,2773665,NC
-0.38572437,2773666,NC
-0.37907392,2773667,NC
-0.37131512,2773668,NC
-0.36133948,2773669,NC
-0.35358068,2773670,NC
-0.34803864,2773671,NC
-0.34693024,2773672,NC
-0.34471342,2773673,NC
-0.34138823,2773674,NC
-0.33584622,2773675,NC
-0.3280874,2773676,NC
-0.32254538,2773677,NC
-0.3192202,2773678,NC
-0.31700337,2773679,NC
-0.31256977,2773680,NC
-0.30924454,2773681,NC
-0.30702773,2773682,NC
-0.3048109,2773683,NC
-0.30813614,2773684,NC
-0.30813614,2773685,NC
-0.3048109,2773686,NC
-0.3003773,2773687,NC
-0.2959437,2773688,NC
-0.29261848,2773689,NC
-0.2948353,2773690,NC
-0.3003773,2773691,NC
-0.30259413,2773692,NC
-0.30370253,2773693,NC
-0.30370253,2773694,NC
-0.30259413,2773695,NC
-0.30370253,2773696,NC
-0.30591932,2773697,NC
-0.30259413,2773698,NC
-0.30148572,2773699,NC
-0.2992689,2773700,NC
-0.2992689,2773701,NC
-0.3048109,2773702,NC
-0.30591932,2773703,NC
-0.30591932,2773704,NC
-0.3048109,2773705,NC
-0.30370253,2773706,NC
-0.30813614,2773707,NC
-0.31478655,2773708,NC
-0.3203286,2773709,NC
-0.32254538,2773710,NC
-0.32143697,2773711,NC
-0.3192202,2773712,NC
-0.32143697,2773713,NC
-0.3247622,2773714,NC
-0.3280874,2773715,NC
-0.3291958,2773716,NC
-0.3247622,2773717,NC
-0.3236538,2773718,NC
-0.3236538,2773719,NC
-0.32697898,2773720,NC
-0.3303042,2773721,NC
-0.3291958,2773722,NC
-0.3280874,2773723,NC
-0.3247622,2773724,NC
-0.3258706,2773725,NC
-0.3303042,2773726,NC
-0.33252102,2773727,NC
-0.33252102,2773728,NC
-0.3303042,2773729,NC
-0.32697898,2773730,NC
-0.32697898,2773731,NC
-0.33252102,2773732,NC
-0.33584622,2773733,NC
-0.33584622,2773734,NC
-0.3336294,2773735,NC
-0.3258706,2773736,NC
-0.32254538,2773737,NC
-0.3236538,2773738,NC
-0.3247622,2773739,NC
-0.3258706,2773740,NC
-0.3280874,2773741,NC
-0.3258706,2773742,NC
-0.3258706,2773743,NC
-0.3280874,2773744,NC
-0.3258706,2773745,NC
-0.3247622,2773746,NC
-0.32143697,2773747,NC
-0.31700337,2773748,NC
-0.3203286,2773749,NC
-0.3258706,2773750,NC
-0.3314126,2773751,NC
-0.3347378,2773752,NC
-0.33252102,2773753,NC
-0.3280874,2773754,NC
-0.3247622,2773755,NC
-0.3280874,2773756,NC
-0.3291958,2773757,NC
-0.32697898,2773758,NC
-0.3247622,2773759,NC
-0.3203286,2773760,NC
-0.31922016,2773761,NC
-0.3236538,2773762,NC
-0.3247622,2773763,NC
-0.32143697,2773764,NC
-0.31256977,2773765,NC
-0.30481094,2773766,NC
-0.2992689,2773767,NC
-0.29816052,2773768,NC
-0.29816052,2773769,NC
-0.2937269,2773770,NC
-0.28818485,2773771,NC
-0.28153443,2773772,NC
-0.28042606,2773773,NC
-0.28153443,2773774,NC
-0.28153443,2773775,NC
-0.27931765,2773776,NC
-0.26934204,2773777,NC
-0.26047477,2773778,NC
-0.25271598,2773779,NC
-0.24939075,2773780,NC
-0.24717395,2773781,NC
-0.23941514,2773782,NC
-0.23719831,2773783,NC
-0.23498149,2773784,NC
-0.23941511,2773785,NC
-0.25271595,2773786,NC
-0.2626916,2773787,NC
-0.2704504,2773788,NC
-0.27377564,2773789,NC
-0.27155882,2773790,NC
-0.27377564,2773791,NC
-0.27931765,2773792,NC
-0.2859681,2773793,NC
-0.29040167,2773794,NC
-0.2915101,2773795,NC
-0.29040167,2773796,NC
-0.29261848,2773797,NC
-0.2992689,2773798,NC
-0.30259413,2773799,NC
-0.3014857,2773800,NC
-0.29816052,2773801,NC
-0.2937269,2773802,NC
-0.2948353,2773803,NC
-0.3003773,2773804,NC
-0.3048109,2773805,NC
-0.3048109,2773806,NC
-0.30148572,2773807,NC
-0.2959437,2773808,NC
-0.2959437,2773809,NC
-0.3003773,2773810,NC
-0.30148572,2773811,NC
-0.3014857,2773812,NC
-0.2959437,2773813,NC
-0.29261848,2773814,NC
-0.29261848,2773815,NC
-0.29816052,2773816,NC
-0.3003773,2773817,NC
-0.2970521,2773818,NC
-0.2915101,2773819,NC
-0.28153443,2773820,NC
-0.28042606,2773821,NC
-0.28042608,2773822,NC
-0.28042606,2773823,NC
-0.27710083,2773824,NC
-0.269342,2773825,NC
