channel_0,sample #,type
1.7096322,2963752,f
1.5497129,2963753,NC
1.3197931,2963754,NC
1.0865389,2963755,NC
0.8916176,2963756,NC
0.69669545,2963757,NC
0.49677235,2963758,NC
0.30684856,2963759,NC
0.13859066,2963760,NC
-0.0030013528,2963761,NC
-0.11792749,2963762,NC
-0.19118777,2963763,NC
-0.23611549,2963764,NC
-0.25604403,2963765,NC
-0.2643067,2963766,NC
-0.2592368,2963767,NC
-0.25416777,2963768,NC
-0.25576615,2963769,NC
-0.2606987,2963770,NC
-0.2589654,2963771,NC
-0.25056624,2963772,NC
-0.24550124,2963773,NC
-0.24543704,2963774,NC
-0.25204033,2963775,NC
-0.2553111,2963776,NC
-0.26024935,2963777,NC
-0.26185513,2963778,NC
-0.26179504,2963779,NC
-0.26340246,2963780,NC
-0.26834407,2963781,NC
-0.2782865,2963782,NC
-0.2798964,2963783,NC
-0.28317383,2963784,NC
-0.2814521,2963785,NC
-0.28473118,2963786,NC
-0.2913445,2963787,NC
-0.2979586,2963788,NC
-0.30290693,2963789,NC
-0.29618937,2963790,NC
-0.29280606,2963791,NC
-0.29609028,2963792,NC
-0.30937532,2963793,NC
-0.3243279,2963794,NC
-0.33094797,2963795,NC
-0.33090225,2963796,NC
-0.32752404,2963797,NC
-0.33081338,2963798,NC
-0.33910358,2963799,NC
-0.34739465,2963800,NC
-0.35068655,2963801,NC
-0.34564602,2963802,NC
-0.34560636,2963803,NC
-0.34890088,2963804,NC
-0.3555296,2963805,NC
-0.35882586,2963806,NC
-0.35545635,2963807,NC
-0.35542104,2963808,NC
-0.35371995,2963809,NC
-0.36201972,2963810,NC
-0.37198702,2963811,NC
-0.3802886,2963812,NC
-0.378591,2963813,NC
-0.37522763,2963814,NC
-0.37519848,2963815,NC
-0.38350353,2963816,NC
-0.39347613,2963817,NC
-0.40011632,2963818,NC
-0.40175736,2963819,NC
-0.39506593,2963820,NC
-0.3900421,2963821,NC
-0.38835248,2963822,NC
-0.39666373,2963823,NC
-0.4049759,2963824,NC
-0.4066223,2963825,NC
-0.3999362,2963826,NC
-0.39325103,2963827,NC
-0.3982334,2963828,NC
-0.40488338,2963829,NC
-0.4082009,2963830,NC
-0.40151927,2963831,NC
-0.38983858,2963832,NC
-0.38482544,2963833,NC
-0.38314652,2963834,NC
-0.3914685,2963835,NC
-0.3947914,2963836,NC
-0.39311513,2963837,NC
-0.3831065,2963838,NC
-0.37143204,2963839,NC
-0.36809182,2963840,NC
-0.3697525,2963841,NC
-0.36974746,2963842,NC
-0.36640993,2963843,NC
-0.35807332,2963844,NC
-0.35307097,2963845,NC
-0.3480695,2963846,NC
-0.3497356,2963847,NC
-0.34640256,2963848,NC
-0.33807045,2963849,NC
-0.32140592,2963850,NC
-0.31140894,2963851,NC
-0.30307952,2963852,NC
-0.29975095,2963853,NC
-0.29642335,2963854,NC
-0.2897633,2963855,NC
-0.2747708,2963856,NC
-0.2597792,2963857,NC
-0.25145516,2963858,NC
-0.25146538,2963859,NC
-0.2498098,2963860,NC
-0.24148846,2963861,NC
-0.228168,2963862,NC
-0.21484844,2963863,NC
-0.20819646,2963864,NC
-0.21154536,2963865,NC
-0.21322848,2963866,NC
-0.20991251,2963867,NC
-0.20159744,2963868,NC
-0.19161656,2963869,NC
-0.1866366,2963870,NC
-0.18499087,2963871,NC
-0.1900127,2963872,NC
-0.18670204,2963873,NC
-0.18172564,2963874,NC
-0.17508346,2963875,NC
-0.17844215,2963876,NC
-0.18513507,2963877,NC
-0.19182888,2963878,NC
-0.19519022,2963879,NC
-0.19021912,2963880,NC
-0.18691559,2963881,NC
-0.18861292,2963882,NC
-0.19197781,2963883,NC
-0.1986769,2963884,NC
-0.1987102,2963885,NC
-0.20374438,2963886,NC
-0.20211278,2963887,NC
-0.2021487,2963888,NC
-0.20385219,2963889,NC
-0.21055654,2963890,NC
-0.21226174,2963891,NC
-0.20896783,2963892,NC
-0.20234147,2963893,NC
-0.20238262,2963894,NC
-0.21242465,2963895,NC
-0.22246753,2963896,NC
-0.22917794,2963897,NC
-0.22422256,2963898,NC
-0.21926804,2963899,NC
-0.2226477,2963900,NC
-0.23269488,2963901,NC
-0.23940961,2963902,NC
-0.2394585,2963903,NC
-0.2311749,2963904,NC
-0.2312255,2963905,NC
-0.23461027,2963906,NC
