channel_0,sample #,type
1.0258454,3225600,f
0.94288045,3225601,NC
0.7640179,3225602,NC
0.5851564,3225603,NC
0.43739823,3225604,NC
0.32333532,3225605,NC
0.27666172,3225606,NC
0.4062355,3225607,NC
0.64207643,3225608,NC
0.63687587,3225609,NC
0.27659208,3225610,NC
-0.11220104,3225611,NC
-0.285869,3225612,NC
-0.3092082,3225613,NC
-0.30921963,3225614,NC
-0.32478103,3225615,NC
-0.3377495,3225616,NC
-0.34294134,3225617,NC
-0.33776462,3225618,NC
-0.33258682,3225619,NC
-0.3403672,3225620,NC
-0.35073838,3225621,NC
-0.350741,3225622,NC
-0.34296697,3225623,NC
-0.34296742,3225624,NC
-0.34296674,3225625,NC
-0.34296498,3225626,NC
-0.345554,3225627,NC
-0.34555003,3225628,NC
-0.35332057,3225629,NC
-0.36368185,3225630,NC
-0.3714502,3225631,NC
-0.37921742,3225632,NC
-0.38179985,3225633,NC
-0.37401378,3225634,NC
-0.36363474,3225635,NC
-0.36621386,3225636,NC
-0.37915933,3225637,NC
-0.39987925,3225638,NC
-0.41282254,3225639,NC
-0.402438,3225640,NC
-0.39205244,3225641,NC
-0.39721686,3225642,NC
-0.40756395,3225643,NC
-0.42050177,3225644,NC
-0.43084663,3225645,NC
-0.43341485,3225646,NC
-0.43598196,3225647,NC
-0.43336427,3225648,NC
-0.4359292,3225649,NC
-0.4436768,3225650,NC
-0.44105583,3225651,NC
-0.43584195,3225652,NC
-0.4332188,3225653,NC
-0.43837017,3225654,NC
-0.44870412,3225655,NC
-0.45903704,3225656,NC
-0.47455257,3225657,NC
-0.47451586,3225658,NC
-0.4667025,3225659,NC
-0.47184736,3225660,NC
-0.47958297,3225661,NC
-0.48990938,3225662,NC
-0.50023466,3225663,NC
-0.50278336,3225664,NC
-0.5027391,3225665,NC
-0.49751,3225666,NC
-0.50005543,3225667,NC
-0.51815087,3225668,NC
-0.52587783,3225669,NC
-0.5232364,3225670,NC
-0.5180019,3225671,NC
-0.51276636,3225672,NC
-0.5153054,3225673,NC
-0.5282107,3225674,NC
-0.5359313,3225675,NC
-0.53328335,3225676,NC
-0.5254506,3225677,NC
-0.5228005,3225678,NC
-0.53310865,3225679,NC
-0.5434157,3225680,NC
-0.54335433,3225681,NC
-0.5303325,3225682,NC
-0.5173097,3225683,NC
-0.5120614,3225684,NC
-0.5171794,3225685,NC
-0.5274801,3225686,NC
-0.53518796,3225687,NC
-0.5299354,3225688,NC
-0.51431435,3225689,NC
-0.5012842,3225690,NC
-0.503804,3225691,NC
-0.51928216,3225692,NC
-0.5321673,3225693,NC
-0.52690846,3225694,NC
-0.50868934,3225695,NC
-0.49306098,3225696,NC
-0.4929827,3225697,NC
-0.5032708,3225698,NC
-0.4980068,3225699,NC
-0.48496607,3225700,NC
-0.47451624,3225701,NC
-0.46665725,3225702,NC
-0.46657276,3225703,NC
-0.4690791,3225704,NC
-0.45344135,3225705,NC
-0.43521082,3225706,NC
-0.4247548,3225707,NC
-0.41948143,3225708,NC
-0.42198262,3225709,NC
-0.42448285,3225710,NC
-0.4166146,3225711,NC
-0.39319414,3225712,NC
-0.37495643,3225713,NC
-0.36449325,3225714,NC
-0.36180466,3225715,NC
-0.36429873,3225716,NC
-0.3616081,3225717,NC
-0.35373273,3225718,NC
-0.3354889,3225719,NC
-0.32242787,3225720,NC
-0.3145495,3225721,NC
-0.31703755,3225722,NC
-0.32211646,3225723,NC
-0.31164327,3225724,NC
-0.29857722,3225725,NC
-0.29587755,3225726,NC
-0.30613625,3225727,NC
-0.31639388,3225728,NC
-0.32146686,3225729,NC
-0.31357956,3225730,NC
-0.30309948,3225731,NC
-0.3003939,3225732,NC
-0.3028711,3225733,NC
-0.3079392,3225734,NC
-0.3130063,3225735,NC
-0.3154806,3225736,NC
-0.31017834,3225737,NC
-0.3048751,3225738,NC
-0.3125302,3225739,NC
-0.32795987,3225740,NC
-0.33302122,3225741,NC
-0.3251223,3225742,NC
-0.3224061,3225743,NC
-0.32746455,3225744,NC
-0.32993025,3225745,NC
-0.33239493,3225746,NC
-0.33745053,3225747,NC
-0.33472967,3225748,NC
-0.32423222,3225749,NC
-0.32410133,3225750,NC
-0.33174503,3225751,NC
-0.34197965,3225752,NC
-0.34702966,3225753,NC
-0.34430316,3225754,NC
-0.33639202,3225755,NC
-0.33625552,3225756,NC
-0.33870998,3225757,NC
-0.33857164,3225758,NC
-0.3513917,3225759,NC
-0.35125154,3225760,NC
-0.33815116,3225761,NC
-0.33541733,3225762,NC
-0.34045818,3225763,NC
-0.35068184,3225764,NC
-0.35572088,3225765,NC
-0.3555753,3225766,NC
-0.352837,3225767,NC
-0.34491402,3225768,NC
-0.3525414,3225769,NC
-0.36535153,3225770,NC
-0.36260965,3225771,NC
-0.3494995,3225772,NC
-0.34416398,3225773,NC
-0.34401134,3225774,NC
-0.34385785,3225775,NC
-0.34888715,3225776,NC
