channel_0,sample #,type
2.2651086,23986978,f
2.1742747,23986979,NC
2.056325,23986980,NC
1.8720303,23986981,NC
1.6505167,23986982,NC
1.3764281,23986983,NC
1.0672821,23986984,NC
0.77859783,23986985,NC
0.57490075,23986986,NC
0.47011346,23986987,NC
0.4536134,23986988,NC
0.4654,23986989,NC
0.4718728,23986990,NC
0.47593266,23986991,NC
0.4663777,23986992,NC
0.45640773,23986993,NC
0.43960294,23986994,NC
0.42126465,23986995,NC
0.3828963,23986996,NC
0.35591364,23986997,NC
0.32213455,23986998,NC
0.30059296,23986999,NC
0.28507057,23987000,NC
0.26440087,23987001,NC
0.2408783,23987002,NC
0.22647977,23987003,NC
0.20732936,23987004,NC
0.18670364,23987005,NC
0.16295959,23987006,NC
0.1513628,23987007,NC
0.12348696,23987008,NC
0.096581355,23987009,NC
0.094472274,23987010,NC
0.08735143,23987011,NC
0.07617116,23987012,NC
0.060767815,23987013,NC
0.03182273,23987014,NC
0.011087176,23987015,NC
-0.0043023685,23987016,NC
-0.015159192,23987017,NC
-0.02968611,23987018,NC
-0.048312988,23987019,NC
-0.072188795,23987020,NC
-0.092721485,23987021,NC
-0.107218675,23987022,NC
-0.11277158,23987023,NC
-0.115129285,23987024,NC
-0.11346456,23987025,NC
-0.13091123,23987026,NC
-0.13456777,23987027,NC
-0.13885185,23987028,NC
-0.14202698,23987029,NC
-0.13694607,23987030,NC
-0.15583722,23987031,NC
-0.16940096,23987032,NC
-0.18739761,23987033,NC
-0.199833,23987034,NC
-0.2063159,23987035,NC
-0.20721248,23987036,NC
-0.22492754,23987037,NC
-0.23133875,23987038,NC
-0.24671268,23987039,NC
-0.2526092,23987040,NC
-0.25012478,23987041,NC
-0.24051067,23987042,NC
-0.24532992,23987043,NC
-0.25980774,23987044,NC
-0.2701969,23987045,NC
-0.28649676,23987046,NC
-0.2949549,23987047,NC
-0.29991227,23987048,NC
-0.3079508,23987049,NC
-0.3283369,23987050,NC
-0.3435763,23987051,NC
-0.35794362,23987052,NC
-0.36386496,23987053,NC
-0.3793759,23987054,NC
-0.38864732,23987055,NC
-0.41037813,23987056,NC
-0.42330799,23987057,NC
-0.44087896,23987058,NC
-0.45192656,23987059,NC
-0.46420774,23987060,NC
-0.48691428,23987061,NC
-0.5142148,23987062,NC
-0.5422814,23987063,NC
-0.5745325,23987064,NC
-0.58953214,23987065,NC
-0.62408346,23987066,NC
-0.6539676,23987067,NC
-0.69127935,23987068,NC
-0.71563774,23987069,NC
-0.7384063,23987070,NC
-0.75246996,23987071,NC
-0.7695687,23987072,NC
-0.79677457,23987073,NC
-0.8215299,23987074,NC
-0.8412194,23987075,NC
-0.86316067,23987076,NC
-0.8728826,23987077,NC
-0.8866749,23987078,NC
-0.90804464,23987079,NC
-0.9206075,23987080,NC
-0.94075686,23987081,NC
-0.93647975,23987082,NC
-0.9382013,23987083,NC
-0.9329532,23987084,NC
-0.93526995,23987085,NC
-0.9337883,23987086,NC
-0.928435,23987087,NC
-0.9061034,23987088,NC
-0.8899515,23987089,NC
-0.86970526,23987090,NC
-0.85509473,23987091,NC
-0.8250804,23987092,NC
-0.80218714,23987093,NC
-0.7679801,23987094,NC
-0.72762626,23987095,NC
-0.69867235,23987096,NC
-0.6623115,23987097,NC
-0.64219743,23987098,NC
-0.6202891,23987099,NC
-0.5837596,23987100,NC
-0.5579687,23987101,NC
-0.5205109,23987102,NC
-0.49503353,23987103,NC
-0.4608946,23987104,NC
-0.4396666,23987105,NC
-0.41594115,23987106,NC
-0.37860978,23987107,NC
-0.35613462,23987108,NC
-0.33199322,23987109,NC
-0.32232004,23987110,NC
-0.30463767,23987111,NC
-0.29565915,23987112,NC
-0.2679797,23987113,NC
-0.24254802,23987114,NC
-0.22187634,23987115,NC
-0.2077483,23987116,NC
-0.19832744,23987117,NC
-0.1801205,23987118,NC
-0.15964666,23987119,NC
-0.14479402,23987120,NC
-0.13391767,23987121,NC
-0.12268424,23987122,NC
-0.11142197,23987123,NC
-0.09872987,23987124,NC
-0.091583595,23987125,NC
-0.07487182,23987126,NC
-0.0754896,23987127,NC
-0.08356702,23987128,NC
-0.086538225,23987129,NC
-0.08362076,23987130,NC
-0.08142313,23987131,NC
-0.06409712,23987132,NC
-0.061798956,23987133,NC
-0.062968194,23987134,NC
-0.057439446,23987135,NC
-0.044947725,23987136,NC
-0.041801114,23987137,NC
-0.029188987,23987138,NC
-0.024352103,23987139,NC
-0.027567986,23987140,NC
-0.032587126,23987141,NC
-0.0278949,23987142,NC
-0.024276141,23987143,NC
-0.010934799,23987144,NC
-0.013102211,23987145,NC
-0.019009423,23987146,NC
-0.01913767,23987147,NC
-0.022061901,23987148,NC
-0.019326111,23987149,NC
-0.0176685,23987150,NC
-0.017138608,23987151,NC
-0.0268988,23987152,NC
-0.04391835,23987153,NC
-0.043514747,23987154,NC
-0.03541259,23987155,NC
-0.029426033,23987156,NC
-0.021343919,23987157,NC
-0.024245039,23987158,NC
-0.022361707,23987159,NC
-0.012112169,23987160,NC
-0.00035257862,23987161,NC
0.012988832,23987162,NC
0.009932126,23987163,NC
0.0064513106,23987164,NC
-3.406289e-05,23987165,NC
-0.004751535,23987166,NC
0.008133259,23987167,NC
0.009571826,23987168,NC
0.009073356,23987169,NC
0.0003418217,23987170,NC
0.001485093,23987171,NC
-0.005345245,23987172,NC
-0.0026444774,23987173,NC
0.007345695,23987174,NC
0.009168136,23987175,NC
0.009404756,23987176,NC
0.0062504658,23987177,NC
0.0098492615,23987178,NC
0.008514306,23987179,NC
0.016792215,23987180,NC
0.019141864,23987181,NC
0.014331406,23987182,NC
0.007209371,23987183,NC
0.0038478444,23987184,NC
0.0032894227,23987185,NC
0.0005536673,23987186,NC
-0.0070824316,23987187,NC
-0.011449594,23987188,NC
-0.01607269,23987189,NC
-0.009015804,23987190,NC
0.003963761,23987191,NC
0.012035708,23987192,NC
0.0039403657,23987193,NC
-0.006300814,23987194,NC
-0.014908484,23987195,NC
-0.011118518,23987196,NC
-0.012655051,23987197,NC
-0.009332118,23987198,NC
-0.009313645,23987199,NC
-0.018502701,23987200,NC
-0.017849019,23987201,NC
-0.01816192,23987202,NC
-0.020095745,23987203,NC
-0.014639437,23987204,NC
-0.013549761,23987205,NC
-0.019638142,23987206,NC
-0.017454656,23987207,NC
-0.0123345535,23987208,NC
-0.0065701692,23987209,NC
0.00015561038,23987210,NC
0.0027503264,23987211,NC
-0.0060876813,23987212,NC
-0.004834336,23987213,NC
0.0014336195,23987214,NC
0.0045193126,23987215,NC
0.011113031,23987216,NC
0.008900654,23987217,NC
0.0049919793,23987218,NC
0.0050145574,23987219,NC
0.0017705337,23987220,NC
0.00015192595,23987221,NC
0.0065483702,23987222,NC
0.015781792,23987223,NC
0.013156958,23987224,NC
0.017000165,23987225,NC
0.019215215,23987226,NC
0.015910905,23987227,NC
0.022871507,23987228,NC
0.023768634,23987229,NC
0.02198978,23987230,NC
0.022217734,23987231,NC
0.023557723,23987232,NC
0.029620625,23987233,NC
0.03243689,23987234,NC
0.017970644,23987235,NC
0.011318544,23987236,NC
0.0054746065,23987237,NC
0.008435087,23987238,NC
0.014973152,23987239,NC
0.021349462,23987240,NC
0.018869607,23987241,NC
0.007167727,23987242,NC
0.0062575154,23987243,NC
-0.0011897334,23987244,NC
6.509945e-05,23987245,NC
0.005553378,23987246,NC
0.00504762,23987247,NC
-0.0016234448,23987248,NC
-0.0041214786,23987249,NC
-0.0059028966,23987250,NC
0.0035415099,23987251,NC
0.0013424022,23987252,NC
-0.0028571975,23987253,NC
-0.008652174,23987254,NC
-0.0109864315,23987255,NC
-0.014039358,23987256,NC
-0.00029167335,23987257,NC
