channel_0,sample #,type
0.96534705,2629528,f
0.86914605,2629529,NC
0.72794527,2629530,NC
0.5642445,2629531,NC
0.47929382,2629532,NC
0.52434325,2629533,NC
0.5931428,2629534,NC
0.5406923,2629535,NC
0.33324203,2629536,NC
0.010791779,2629537,NC
-0.2804084,2629538,NC
-0.42160848,2629539,NC
-0.4490585,2629540,NC
-0.44900844,2629541,NC
-0.45520827,2629542,NC
-0.46390802,2629543,NC
-0.46260774,2629544,NC
-0.44880736,2629545,NC
-0.43875688,2629546,NC
-0.43120635,2629547,NC
-0.42740571,2629548,NC
-0.427355,2629549,NC
-0.4298042,2629550,NC
-0.43100333,2629551,NC
-0.43470237,2629552,NC
-0.44340134,2629553,NC
-0.44960022,2629554,NC
-0.458299,2629555,NC
-0.46074778,2629556,NC
-0.46319637,2629557,NC
-0.46689492,2629558,NC
-0.47184342,2629559,NC
-0.48304188,2629560,NC
-0.48924017,2629561,NC
-0.49293846,2629562,NC
-0.49663666,2629563,NC
-0.49908474,2629564,NC
-0.50528276,2629565,NC
-0.5114807,2629566,NC
-0.5151785,2629567,NC
-0.51637626,2629568,NC
-0.51257396,2629569,NC
-0.5137716,2629570,NC
-0.52121913,2629571,NC
-0.5274166,2629572,NC
-0.536114,2629573,NC
-0.53981125,2629574,NC
-0.5397585,2629575,NC
-0.5459556,2629576,NC
-0.5509027,2629577,NC
-0.5558497,2629578,NC
-0.5557966,2629579,NC
-0.55324346,2629580,NC
-0.55569017,2629581,NC
-0.56188685,2629582,NC
-0.5755834,2629583,NC
-0.5855299,2629584,NC
-0.59172636,2629585,NC
-0.59792274,2629586,NC
-0.60411906,2629587,NC
-0.61281526,2629588,NC
-0.6215114,2629589,NC
-0.6252075,2629590,NC
-0.6251534,2629591,NC
-0.62634933,2629592,NC
-0.6275451,2629593,NC
-0.63374084,2629594,NC
-0.64368653,2629595,NC
-0.6486321,2629596,NC
-0.6498276,2629597,NC
-0.6485231,2629598,NC
-0.6484684,2629599,NC
-0.6521637,2629600,NC
-0.6658589,2629601,NC
-0.679554,2629602,NC
-0.684499,2629603,NC
-0.68819404,2629604,NC
-0.6831389,2629605,NC
-0.6805837,2629606,NC
-0.68302846,2629607,NC
-0.68547314,2629608,NC
-0.6854177,2629609,NC
-0.68161225,2629610,NC
-0.6765567,2629611,NC
-0.674001,2629612,NC
-0.67519534,2629613,NC
-0.6763895,2629614,NC
-0.67508364,2629615,NC
-0.6675277,2629616,NC
-0.6587216,2629617,NC
-0.6549155,2629618,NC
-0.6536094,2629619,NC
-0.65105313,2629620,NC
-0.64724684,2629621,NC
-0.63594043,2629622,NC
-0.62088394,2629623,NC
-0.6083274,2629624,NC
-0.5982707,2629625,NC
-0.588214,2629626,NC
-0.58065724,2629627,NC
-0.5718504,2629628,NC
-0.5630435,2629629,NC
-0.5542365,2629630,NC
-0.5441794,2629631,NC
-0.53537226,2629632,NC
-0.525315,2629633,NC
-0.5115077,2629634,NC
-0.5014503,2629635,NC
-0.49139285,2629636,NC
-0.4813353,2629637,NC
-0.4750277,2629638,NC
-0.46122006,2629639,NC
-0.44616228,2629640,NC
-0.43110448,2629641,NC
-0.4185466,2629642,NC
-0.41473857,2629643,NC
-0.41468054,2629644,NC
-0.4121224,2629645,NC
-0.4070642,2629646,NC
-0.39950594,2629647,NC
-0.39319757,2629648,NC
-0.3906392,2629649,NC
-0.3893307,2629650,NC
-0.38427213,2629651,NC
-0.37671345,2629652,NC
-0.37415475,2629653,NC
-0.37534598,2629654,NC
-0.3815371,2629655,NC
-0.3864782,2629656,NC
-0.38141915,2629657,NC
-0.3726101,2629658,NC
-0.3638009,2629659,NC
-0.3587417,2629660,NC
-0.3611824,2629661,NC
-0.36362302,2629662,NC
-0.3660636,2629663,NC
-0.37225407,2629664,NC
-0.37094447,2629665,NC
-0.3746348,2629666,NC
-0.37957507,2629667,NC
-0.37951526,2629668,NC
-0.38320535,2629669,NC
-0.38189542,2629670,NC
-0.37683538,2629671,NC
-0.3755253,2629672,NC
-0.38046512,2629673,NC
-0.38540488,2629674,NC
-0.38909453,2629675,NC
-0.38903415,2629676,NC
-0.3852237,2629677,NC
-0.38391316,2629678,NC
-0.39135256,2629679,NC
-0.3962919,2629680,NC
-0.39748117,2629681,NC
-0.39992034,2629682,NC
-0.39860946,2629683,NC
-0.39979848,2629684,NC
-0.40848744,2629685,NC
-0.41342637,2629686,NC
-0.4171152,2629687,NC
-0.41830397,2629688,NC
-0.41324264,2629689,NC
-0.40693125,2629690,NC
-0.40061978,2629691,NC
-0.39680824,2629692,NC
-0.39424664,2629693,NC
-0.39918497,2629694,NC
-0.3953732,2629695,NC
-0.39406142,2629696,NC
-0.39899954,2629697,NC
-0.40018758,2629698,NC
-0.40762556,2629699,NC
-0.40881348,2629700,NC
-0.4075013,2629701,NC
-0.40993905,2629702,NC
-0.40987676,2629703,NC
-0.4135644,2629704,NC
-0.41350198,2629705,NC
-0.40968943,2629706,NC
-0.40712684,2629707,NC
-0.4070642,2629708,NC
-0.41200146,2629709,NC
-0.41443866,2629710,NC
-0.41687584,2629711,NC
-0.4155629,2629712,NC
-0.4092499,2629713,NC
-0.4116868,2629714,NC
-0.41787368,2629715,NC
-0.4228105,2629716,NC
-0.42649722,2629717,NC
-0.42393386,2629718,NC
-0.42262045,2629719,NC
-0.42630696,2629720,NC
-0.4324934,2629721,NC
-0.4361798,2629722,NC
-0.4323661,2629723,NC
-0.42480233,2629724,NC
-0.41723853,2629725,NC
-0.4134246,2629726,NC
-0.41836068,2629727,NC
-0.42079663,2629728,NC
-0.41948253,2629729,NC
-0.41566837,2629730,NC
-0.40935415,2629731,NC
-0.4042898,2629732,NC
-0.39922544,2629733,NC
-0.396661,2629734,NC
-0.3903465,2629735,NC
-0.38528192,2629736,NC
-0.38396728,2629737,NC
-0.38140258,2629738,NC
-0.3863378,2629739,NC
-0.38502294,2629740,NC
-0.38245803,2629741,NC
-0.38114306,2629742,NC
-0.371078,2629743,NC
-0.36726293,2629744,NC
-0.36719775,2629745,NC
-0.3583825,2629746,NC
-0.35331717,2629747,NC
-0.3482518,2629748,NC
-0.33818635,2629749,NC
-0.33687085,2629750,NC
-0.33805525,2629751,NC
-0.34048963,2629752,NC
-0.3429239,2629753,NC
-0.34785813,2629754,NC
-0.3515423,2629755,NC
-0.3614764,2629756,NC
-0.37516043,2629757,NC
-0.38509437,2629758,NC
-0.39252827,2629759,NC
-0.3924621,2629760,NC
-0.38739586,2629761,NC
-0.38357952,2629762,NC
-0.38351315,2629763,NC
-0.38594675,2629764,NC
-0.38588023,2629765,NC
-0.38831368,2629766,NC
-0.39199704,2629767,NC
-0.39318034,2629768,NC
-0.40061358,2629769,NC
-0.40179676,2629770,NC
-0.39922985,2629771,NC
-0.39416292,2629772,NC
-0.3903459,2629773,NC
-0.38902882,2629774,NC
-0.38896167,2629775,NC
-0.39389443,2629776,NC
-0.39507717,2629777,NC
-0.3962598,2629778,NC
-0.3936924,2629779,NC
-0.39487493,2629780,NC
-0.3985574,2629781,NC
-0.3984898,2629782,NC
-0.39842215,2629783,NC
-0.39335442,2629784,NC
-0.38578662,2629785,NC
-0.3869688,2629786,NC
-0.38940084,2629787,NC
-0.38933286,2629788,NC
-0.38551483,2629789,NC
-0.3766967,2629790,NC
-0.37037852,2629791,NC
-0.3690603,2629792,NC
-0.375242,2629793,NC
-0.37767366,2629794,NC
-0.3788552,2629795,NC
-0.37503672,2629796,NC
-0.36621818,2629797,NC
-0.35989958,2629798,NC
-0.35733086,2629799,NC
-0.35851216,2629800,NC
-0.36094335,2629801,NC
-0.3646245,2629802,NC
-0.35705557,2629803,NC
-0.33948657,2629804,NC
-0.31191754,2629805,NC
-0.26934838,2629806,NC
-0.21677922,2629807,NC
-0.15796,2629808,NC
-0.091640696,2629809,NC
-0.025321335,2629810,NC
0.038498092,2629811,NC
0.10731757,2629812,NC
0.18863711,2629813,NC
0.29245672,2629814,NC
0.41502637,2629815,NC
0.55259615,2629816,NC
0.69016594,2629817,NC
0.8214858,2629818,NC
0.93655574,2629819,NC
1.0128757,2629820,NC
1.0254458,2629821,f
0.9642658,2629822,NC
0.873086,2629823,NC
0.85065615,2629824,NC
0.89572644,2629825,NC
0.89454675,2629826,NC
0.77086717,2629827,NC
0.49218762,2629828,NC
0.14100814,2629829,NC
-0.13392127,2629830,NC
-0.28385064,2629831,NC
-0.34752992,2629832,NC
-0.3774592,2629833,NC
-0.39738834,2629834,NC
-0.40856746,2629835,NC
-0.40974656,2629836,NC
-0.41092557,2629837,NC
-0.4096045,2629838,NC
-0.40703338,2629839,NC
-0.4119622,2629840,NC
-0.41314095,2629841,NC
-0.41306967,2629842,NC
-0.40924832,2629843,NC
-0.40917692,2629844,NC
-0.41160542,2629845,NC
-0.4177839,2629846,NC
-0.4289623,2629847,NC
-0.43264064,2629848,NC
-0.43381894,2629849,NC
-0.43124717,2629850,NC
-0.43117535,2629851,NC
-0.43610346,2629852,NC
-0.4435315,2629853,NC
-0.4522095,2629854,NC
-0.45713747,2629855,NC
-0.45706534,2629856,NC
-0.4582432,2629857,NC
-0.46192098,2629858,NC
-0.46809867,2629859,NC
-0.47552636,2629860,NC
-0.48170394,2629861,NC
-0.48413146,2629862,NC
-0.48905897,2629863,NC
-0.4964864,2629864,NC
-0.50266373,2629865,NC
-0.50759107,2629866,NC
-0.5075183,2629867,NC
-0.5074455,2629868,NC
-0.5073726,2629869,NC
-0.51354975,2629870,NC
-0.5184767,2629871,NC
-0.52215374,2629872,NC
-0.5320806,2629873,NC
-0.5382575,2629874,NC
-0.5444343,2629875,NC
-0.553111,2629876,NC
-0.5555377,2629877,NC
-0.5517143,2629878,NC
-0.54914093,2629879,NC
-0.54406744,2629880,NC
-0.5402439,2629881,NC
-0.54642034,2629882,NC
-0.55384666,2629883,NC
-0.5612729,2629884,NC
-0.56494915,2629885,NC
-0.56237537,2629886,NC
-0.56355155,2629887,NC
-0.56722754,2629888,NC
-0.5746536,2629889,NC
-0.58082956,2629890,NC
-0.58325547,2629891,NC
-0.58193135,2629892,NC
-0.5781071,2629893,NC
-0.58303285,2629894,NC
-0.5904586,2629895,NC
-0.5991342,2629896,NC
-0.6090598,2629897,NC
-0.61023533,2629898,NC
-0.60766083,2629899,NC
-0.6050862,2629900,NC
-0.60126156,2629901,NC
-0.59993684,2629902,NC
-0.59736216,2629903,NC
-0.59478736,2629904,NC
-0.59346247,2629905,NC
-0.59463763,2629906,NC
-0.5983126,2629907,NC
-0.6019876,2629908,NC
-0.6019125,2629909,NC
-0.59933746,2629910,NC
-0.5955123,2629911,NC
-0.59293705,2629912,NC
-0.5928618,2629913,NC
-0.59028643,2629914,NC
-0.586461,2629915,NC
-0.5801355,2629916,NC
-0.5775601,2629917,NC
-0.57998455,2629918,NC
-0.58240896,2629919,NC
-0.5823333,2629920,NC
-0.5760076,2629921,NC
-0.5671819,2629922,NC
-0.56085604,2629923,NC
-0.5570302,2629924,NC
-0.55445427,2629925,NC
-0.54937834,2629926,NC
-0.5405523,2629927,NC
-0.53172624,2629928,NC
-0.52665013,2629929,NC
-0.52157396,2629930,NC
