channel_0,sample #,type
1.72,2607627,f
1.56,2607628,NC
1.24,2607629,NC
0.975,2607630,NC
0.765,2607631,NC
0.57,2607632,NC
0.38,2607633,NC
0.175,2607634,NC
-0.01,2607635,NC
-0.195,2607636,NC
-0.335,2607637,NC
-0.435,2607638,NC
-0.49,2607639,NC
-0.525,2607640,NC
-0.545,2607641,NC
-0.545,2607642,NC
-0.51,2607643,NC
-0.515,2607644,NC
-0.55,2607645,NC
-0.6,2607646,NC
-0.6,2607647,NC
-0.565,2607648,NC
-0.555,2607649,NC
-0.56,2607650,NC
-0.575,2607651,NC
-0.59,2607652,NC
-0.575,2607653,NC
-0.565,2607654,NC
-0.56,2607655,NC
-0.565,2607656,NC
-0.59,2607657,NC
-0.595,2607658,NC
-0.575,2607659,NC
-0.54,2607660,NC
-0.54,2607661,NC
-0.565,2607662,NC
-0.59,2607663,NC
-0.605,2607664,NC
-0.61,2607665,NC
-0.605,2607666,NC
-0.6,2607667,NC
-0.605,2607668,NC
-0.62,2607669,NC
-0.65,2607670,NC
-0.67,2607671,NC
-0.695,2607672,NC
-0.685,2607673,NC
-0.685,2607674,NC
-0.67,2607675,NC
-0.7,2607676,NC
-0.71,2607677,NC
-0.7,2607678,NC
-0.685,2607679,NC
-0.685,2607680,NC
-0.7,2607681,NC
-0.715,2607682,NC
-0.715,2607683,NC
-0.7,2607684,NC
-0.685,2607685,NC
-0.695,2607686,NC
-0.7,2607687,NC
-0.73,2607688,NC
-0.75,2607689,NC
-0.75,2607690,NC
-0.755,2607691,NC
-0.765,2607692,NC
-0.76,2607693,NC
-0.775,2607694,NC
-0.79,2607695,NC
-0.785,2607696,NC
-0.795,2607697,NC
-0.78,2607698,NC
-0.785,2607699,NC
-0.805,2607700,NC
-0.815,2607701,NC
-0.79,2607702,NC
-0.785,2607703,NC
-0.76,2607704,NC
-0.755,2607705,NC
-0.755,2607706,NC
-0.77,2607707,NC
-0.78,2607708,NC
-0.775,2607709,NC
-0.77,2607710,NC
-0.785,2607711,NC
-0.795,2607712,NC
-0.775,2607713,NC
-0.735,2607714,NC
-0.73,2607715,NC
-0.72,2607716,NC
-0.725,2607717,NC
-0.75,2607718,NC
-0.755,2607719,NC
-0.715,2607720,NC
-0.66,2607721,NC
-0.625,2607722,NC
-0.59,2607723,NC
-0.61,2607724,NC
-0.63,2607725,NC
-0.635,2607726,NC
-0.63,2607727,NC
-0.61,2607728,NC
-0.595,2607729,NC
-0.595,2607730,NC
-0.61,2607731,NC
-0.61,2607732,NC
-0.6,2607733,NC
-0.59,2607734,NC
-0.565,2607735,NC
-0.54,2607736,NC
-0.505,2607737,NC
-0.515,2607738,NC
-0.525,2607739,NC
-0.535,2607740,NC
-0.525,2607741,NC
-0.515,2607742,NC
-0.51,2607743,NC
-0.51,2607744,NC
-0.505,2607745,NC
-0.48,2607746,NC
-0.475,2607747,NC
-0.49,2607748,NC
-0.47,2607749,NC
-0.46,2607750,NC
-0.455,2607751,NC
-0.455,2607752,NC
-0.47,2607753,NC
-0.49,2607754,NC
-0.485,2607755,NC
-0.49,2607756,NC
-0.48,2607757,NC
-0.48,2607758,NC
-0.48,2607759,NC
-0.46,2607760,NC
-0.45,2607761,NC
-0.445,2607762,NC
-0.45,2607763,NC
-0.475,2607764,NC
-0.49,2607765,NC
-0.51,2607766,NC
-0.5,2607767,NC
-0.48,2607768,NC
-0.465,2607769,NC
-0.475,2607770,NC
-0.505,2607771,NC
-0.53,2607772,NC
-0.535,2607773,NC
-0.525,2607774,NC
-0.51,2607775,NC
-0.525,2607776,NC
-0.55,2607777,NC
-0.54,2607778,NC
-0.535,2607779,NC
-0.515,2607780,NC
-0.525,2607781,NC
-0.51,2607782,NC
-0.515,2607783,NC
-0.515,2607784,NC
-0.515,2607785,NC
-0.52,2607786,NC
-0.52,2607787,NC
-0.525,2607788,NC
-0.525,2607789,NC
-0.51,2607790,NC
-0.47,2607791,NC
-0.455,2607792,NC
-0.485,2607793,NC
-0.52,2607794,NC
-0.575,2607795,NC
-0.6,2607796,NC
-0.6,2607797,NC
-0.57,2607798,NC
-0.545,2607799,NC
-0.535,2607800,NC
-0.52,2607801,NC
-0.52,2607802,NC
-0.505,2607803,NC
-0.495,2607804,NC
-0.505,2607805,NC
-0.505,2607806,NC
-0.505,2607807,NC
-0.515,2607808,NC
-0.52,2607809,NC
-0.505,2607810,NC
-0.47,2607811,NC
-0.485,2607812,NC
-0.515,2607813,NC
-0.545,2607814,NC
-0.56,2607815,NC
-0.55,2607816,NC
-0.54,2607817,NC
-0.52,2607818,NC
-0.5,2607819,NC
-0.5,2607820,NC
-0.515,2607821,NC
-0.51,2607822,NC
-0.5,2607823,NC
-0.485,2607824,NC
-0.48,2607825,NC
-0.515,2607826,NC
-0.535,2607827,NC
-0.515,2607828,NC
-0.505,2607829,NC
-0.495,2607830,NC
-0.485,2607831,NC
-0.49,2607832,NC
-0.49,2607833,NC
-0.5,2607834,NC
-0.485,2607835,NC
-0.475,2607836,NC
-0.47,2607837,NC
-0.495,2607838,NC
-0.495,2607839,NC
-0.49,2607840,NC
-0.495,2607841,NC
-0.5,2607842,NC
-0.5,2607843,NC
-0.5,2607844,NC
-0.5,2607845,NC
-0.455,2607846,NC
-0.43,2607847,NC
-0.42,2607848,NC
-0.405,2607849,NC
-0.425,2607850,NC
-0.41,2607851,NC
-0.41,2607852,NC
-0.41,2607853,NC
-0.405,2607854,NC
-0.41,2607855,NC
-0.405,2607856,NC
-0.385,2607857,NC
-0.36,2607858,NC
-0.375,2607859,NC
-0.42,2607860,NC
-0.465,2607861,NC
-0.475,2607862,NC
-0.445,2607863,NC
-0.435,2607864,NC
-0.445,2607865,NC
-0.46,2607866,NC
-0.455,2607867,NC
-0.44,2607868,NC
-0.42,2607869,NC
-0.43,2607870,NC
-0.46,2607871,NC
-0.475,2607872,NC
-0.47,2607873,NC
-0.47,2607874,NC
-0.465,2607875,NC
-0.47,2607876,NC
-0.48,2607877,NC
-0.475,2607878,NC
-0.47,2607879,NC
-0.45,2607880,NC
-0.43,2607881,NC
-0.42,2607882,NC
-0.415,2607883,NC
-0.415,2607884,NC
-0.43,2607885,NC
-0.435,2607886,NC
-0.46,2607887,NC
-0.46,2607888,NC
-0.445,2607889,NC
-0.43,2607890,NC
-0.435,2607891,NC
-0.445,2607892,NC
-0.445,2607893,NC
-0.43,2607894,NC
-0.42,2607895,NC
-0.44,2607896,NC
-0.455,2607897,NC
-0.47,2607898,NC
-0.465,2607899,NC
-0.425,2607900,NC
-0.375,2607901,NC
-0.365,2607902,NC
-0.39,2607903,NC
-0.375,2607904,NC
-0.29,2607905,NC
-0.075,2607906,NC
0.37,2607907,NC
0.81,2607908,NC
0.745,2607909,NC
0.305,2607910,NC
-0.065,2607911,NC
-0.2,2607912,NC
-0.235,2607913,NC
-0.24,2607914,NC
-0.235,2607915,NC
-0.205,2607916,NC
-0.135,2607917,NC
-0.05,2607918,NC
0.045,2607919,NC
0.14,2607920,NC
0.205,2607921,NC
0.25,2607922,NC
0.32,2607923,NC
0.43,2607924,NC
0.52,2607925,NC
0.625,2607926,NC
0.745,2607927,NC
0.855,2607928,NC
0.93,2607929,f
0.93,2607930,NC
0.845,2607931,NC
0.7,2607932,NC
0.485,2607933,NC
0.255,2607934,NC
0.03,2607935,NC
-0.15,2607936,NC
-0.33,2607937,NC
-0.47,2607938,NC
-0.585,2607939,NC
-0.655,2607940,NC
-0.66,2607941,NC
-0.61,2607942,NC
-0.58,2607943,NC
-0.565,2607944,NC
-0.565,2607945,NC
-0.57,2607946,NC
-0.575,2607947,NC
-0.565,2607948,NC
-0.57,2607949,NC
-0.585,2607950,NC
-0.585,2607951,NC
-0.58,2607952,NC
-0.545,2607953,NC
-0.52,2607954,NC
-0.52,2607955,NC
-0.55,2607956,NC
-0.605,2607957,NC
-0.625,2607958,NC
-0.605,2607959,NC
-0.565,2607960,NC
-0.55,2607961,NC
-0.555,2607962,NC
-0.55,2607963,NC
-0.555,2607964,NC
-0.565,2607965,NC
-0.595,2607966,NC
-0.62,2607967,NC
-0.655,2607968,NC
-0.65,2607969,NC
-0.62,2607970,NC
-0.59,2607971,NC
-0.585,2607972,NC
-0.595,2607973,NC
-0.62,2607974,NC
-0.65,2607975,NC
-0.68,2607976,NC
-0.655,2607977,NC
-0.635,2607978,NC
-0.605,2607979,NC
-0.575,2607980,NC
-0.575,2607981,NC
-0.595,2607982,NC
-0.6,2607983,NC
-0.63,2607984,NC
-0.63,2607985,NC
-0.64,2607986,NC
-0.665,2607987,NC
-0.64,2607988,NC
-0.585,2607989,NC
-0.535,2607990,NC
-0.57,2607991,NC
-0.625,2607992,NC
-0.67,2607993,NC
-0.675,2607994,NC
-0.665,2607995,NC
-0.665,2607996,NC
-0.675,2607997,NC
-0.67,2607998,NC
-0.64,2607999,NC
-0.62,2608000,NC
-0.62,2608001,NC
-0.61,2608002,NC
-0.635,2608003,NC
-0.645,2608004,NC
-0.635,2608005,NC
-0.625,2608006,NC
-0.62,2608007,NC
-0.595,2608008,NC
-0.595,2608009,NC
-0.605,2608010,NC
-0.575,2608011,NC
-0.575,2608012,NC
-0.61,2608013,NC
-0.645,2608014,NC
-0.625,2608015,NC
-0.605,2608016,NC
-0.595,2608017,NC
-0.58,2608018,NC
-0.565,2608019,NC
-0.57,2608020,NC
-0.55,2608021,NC
-0.575,2608022,NC
-0.56,2608023,NC
-0.565,2608024,NC
-0.55,2608025,NC
-0.525,2608026,NC
-0.5,2608027,NC
-0.485,2608028,NC
-0.475,2608029,NC
-0.47,2608030,NC
-0.46,2608031,NC
-0.455,2608032,NC
-0.45,2608033,NC
-0.455,2608034,NC
-0.455,2608035,NC
-0.44,2608036,NC
-0.415,2608037,NC
-0.4,2608038,NC
