channel_0,sample #,type
1.3398263,2937737,f
1.5843005,2937738,NC
1.3587755,2937739,NC
0.90325135,2937740,NC
0.5527281,2937741,NC
0.37220582,2937742,NC
0.25168443,2937743,NC
0.106163986,2937744,NC
-0.07935551,2937745,NC
-0.22987401,2937746,NC
-0.30039153,2937747,NC
-0.33090803,2937748,NC
-0.34142348,2937749,NC
-0.3419379,2937750,NC
-0.35245126,2937751,NC
-0.3579635,2937752,NC
-0.3684747,2937753,NC
-0.34898475,2937754,NC
-0.33949366,2937755,NC
-0.34500143,2937756,NC
-0.37050804,2937757,NC
-0.36101344,2937758,NC
-0.37151766,2937759,NC
-0.36702067,2937760,NC
-0.3575224,2937761,NC
-0.36302292,2937762,NC
-0.37852216,2937763,NC
-0.3940201,2937764,NC
-0.40951678,2937765,NC
-0.40001214,2937766,NC
-0.40550613,2937767,NC
-0.40099877,2937768,NC
-0.41149005,2937769,NC
-0.40697995,2937770,NC
-0.42246842,2937771,NC
-0.41295552,2937772,NC
-0.40844116,2937773,NC
-0.41892534,2937774,NC
-0.42940807,2937775,NC
-0.42988932,2937776,NC
-0.43536907,2937777,NC
-0.4358473,2937778,NC
-0.42632404,2937779,NC
-0.43679917,2937780,NC
-0.4472728,2937781,NC
-0.4577448,2937782,NC
-0.46821523,2937783,NC
-0.4536841,2937784,NC
-0.46915126,2937785,NC
-0.46461684,2937786,NC
-0.47008073,2937787,NC
-0.480543,2937788,NC
-0.4910035,2937789,NC
-0.47646236,2937790,NC
-0.4769195,2937791,NC
-0.4823749,2937792,NC
-0.49782854,2937793,NC
-0.50828046,2937794,NC
-0.5187305,2937795,NC
-0.5041788,2937796,NC
-0.52462536,2937797,NC
-0.5200701,2937798,NC
-0.5105129,2937799,NC
-0.5309539,2937800,NC
-0.53639305,2937801,NC
-0.53683025,2937802,NC
-0.5222656,2937803,NC
-0.52269906,2937804,NC
-0.5381306,2937805,NC
-0.53356016,2937806,NC
-0.5439878,2937807,NC
-0.53941345,2937808,NC
-0.52983713,2937809,NC
-0.54025877,2937810,NC
-0.54067844,2937811,NC
-0.5310961,2937812,NC
-0.5465117,2937813,NC
-0.5469253,2937814,NC
-0.5273368,2937815,NC
-0.50774616,2937816,NC
-0.5231535,2937817,NC
-0.53355867,2937818,NC
-0.5339618,2937819,NC
-0.52436274,2937820,NC
-0.5047615,2937821,NC
-0.5051582,2937822,NC
-0.50055265,2937823,NC
-0.5009449,2937824,NC
-0.511335,2937825,NC
-0.49172288,2937826,NC
-0.48210853,2937827,NC
-0.46749192,2937828,NC
-0.4728731,2937829,NC
-0.46325198,2937830,NC
-0.4686286,2937831,NC
-0.45400292,2937832,NC
-0.43937492,2937833,NC
-0.43474466,2937834,NC
-0.44011202,2937835,NC
-0.43047708,2937836,NC
-0.43083975,2937837,NC
-0.41120008,2937838,NC
-0.38655803,2937839,NC
-0.36691356,2937840,NC
-0.3672667,2937841,NC
-0.3776175,2937842,NC
-0.37796584,2937843,NC
-0.3683117,2937844,NC
-0.34865516,2937845,NC
-0.33899614,2937846,NC
-0.3493347,2937847,NC
-0.33967072,2937848,NC
-0.3450043,2937849,NC
-0.32033533,2937850,NC
-0.30566388,2937851,NC
-0.3209899,2937852,NC
-0.32631338,2937853,NC
-0.3216343,2937854,NC
-0.32695267,2937855,NC
-0.3222685,2937856,NC
-0.30758172,2937857,NC
-0.29789233,2937858,NC
-0.3282004,2937859,NC
-0.3335058,2937860,NC
-0.32380864,2937861,NC
-0.31410882,2937862,NC
-0.30940637,2937863,NC
-0.31470126,2937864,NC
-0.32499352,2937865,NC
-0.32028306,2937866,NC
-0.33056998,2937867,NC
-0.31585416,2937868,NC
-0.31613567,2937869,NC
-0.32641447,2937870,NC
-0.32669055,2937871,NC
-0.3319639,2937872,NC
-0.33223453,2937873,NC
-0.3225024,2937874,NC
-0.31776753,2937875,NC
-0.3080299,2937876,NC
-0.3082895,2937877,NC
-0.32854632,2937878,NC
-0.32880035,2937879,NC
-0.32405156,2937880,NC
-0.32930002,2937881,NC
-0.32954562,2937882,NC
-0.32978842,2937883,NC
-0.34002838,2937884,NC
-0.3402655,2937885,NC
-0.3354998,2937886,NC
-0.34573123,2937887,NC
-0.34595978,2937888,NC
-0.3411855,2937889,NC
-0.35140833,2937890,NC
-0.3616283,2937891,NC
-0.34184533,2937892,NC
-0.35205948,2937893,NC
-0.34727076,2937894,NC
-0.3574791,2937895,NC
-0.36768454,2937896,NC
-0.37288702,2937897,NC
-0.36808658,2937898,NC
-0.3732832,2937899,NC
-0.3634769,2937900,NC
-0.35866764,2937901,NC
-0.3538554,2937902,NC
-0.35904023,2937903,NC
-0.35422206,2937904,NC
-0.3494009,2937905,NC
-0.34957677,2937906,NC
-0.3597497,2937907,NC
-0.3699196,2937908,NC
-0.38508648,2937909,NC
-0.37025037,2937910,NC
-0.36041126,2937911,NC
-0.3505691,2937912,NC
-0.36072397,2937913,NC
-0.36587578,2937914,NC
-0.36602455,2937915,NC
-0.3461703,2937916,NC
-0.336313,2937917,NC
-0.34645265,2937918,NC
-0.35658926,2937919,NC
-0.36672282,2937920,NC
-0.37685332,2937921,NC
-0.35698074,2937922,NC
-0.3471051,2937923,NC
-0.3422264,2937924,NC
-0.35234457,2937925,NC
-0.35245973,2937926,NC
-0.36757177,2937927,NC
-0.3526807,2937928,NC
-0.34778658,2937929,NC
-0.34788936,2937930,NC
-0.357989,2937931,NC
-0.3730856,2937932,NC
-0.35817903,2937933,NC
-0.3532694,2937934,NC
-0.34335664,2937935,NC
-0.33844078,2937936,NC
-0.35352176,2937937,NC
-0.36859965,2937938,NC
-0.36367443,2937939,NC
-0.36874607,2937940,NC
-0.3638146,2937941,NC
-0.35887995,2937942,NC
-0.36894223,2937943,NC
-0.37400132,2937944,NC
-0.39405733,2937945,NC
-0.36911017,2937946,NC
-0.36915988,2937947,NC
-0.36920643,2937948,NC
-0.36424986,2937949,NC
-0.3742901,2937950,NC
-0.38432723,2937951,NC
-0.37436122,2937952,NC
-0.35939205,2937953,NC
-0.3594197,2937954,NC
-0.3644443,2937955,NC
-0.36446565,2937956,NC
-0.3694839,2937957,NC
-0.34949896,2937958,NC
-0.3295109,2937959,NC
-0.32451966,2937960,NC
-0.3295253,2937961,NC
-0.32952774,2937962,NC
-0.32952705,2937963,NC
-0.3245232,2937964,NC
-0.30451623,2937965,NC
-0.28950608,2937966,NC
-0.2794928,2937967,NC
-0.27947634,2937968,NC
-0.28945673,2937969,NC
-0.27443397,2937970,NC
-0.25440806,2937971,NC
-0.254379,2937972,NC
-0.2743468,2937973,NC
-0.28931144,2937974,NC
-0.30927294,2937975,NC
-0.3042313,2937976,NC
-0.3041865,2937977,NC
-0.3091386,2937978,NC
-0.3190875,2937979,NC
-0.3390333,2937980,NC
-0.34397596,2937981,NC
-0.33891547,2937982,NC
-0.34385186,2937983,NC
-0.3337851,2937984,NC
-0.33871523,2937985,NC
-0.33864224,2937986,NC
-0.3435661,2937987,NC
-0.32848686,2937988,NC
-0.33840448,2937989,NC
-0.348319,2937990,NC
-0.3532304,2937991,NC
-0.3531387,2937992,NC
-0.34804386,2937993,NC
-0.33294594,2937994,NC
-0.33284494,2937995,NC
-0.32274082,2937996,NC
-0.32763362,2937997,NC
-0.33252332,2937998,NC
-0.3474099,2937999,NC
-0.34229344,2938000,NC
-0.3221739,2938001,NC
-0.31705126,2938002,NC
-0.32192558,2938003,NC
-0.3167968,2938004,NC
-0.321665,2938005,NC
-0.3115301,2938006,NC
-0.29639217,2938007,NC
-0.29625118,2938008,NC
-0.28610715,2938009,NC
-0.29596007,2938010,NC
