channel_0,sample #,type
1.1121414,2753752,f
1.1587265,2753753,NC
1.2269375,2753754,NC
1.1901484,2753755,NC
0.93835926,2753756,NC
0.55323684,2753757,NC
0.22478105,2753758,NC
0.021325313,2753759,NC
-0.10046376,2753760,NC
-0.1889195,2753761,NC
-0.25737524,2753762,NC
-0.30416432,2753763,NC
-0.3309534,2753764,NC
-0.3444091,2753765,NC
-0.34286484,2753766,NC
-0.33132052,2753767,NC
-0.32477626,2753768,NC
-0.3265653,2753769,NC
-0.34335434,2753770,NC
-0.36014336,2753771,NC
-0.37526572,2753772,NC
-0.3770547,2753773,NC
-0.37051037,2753774,NC
-0.36396602,2753775,NC
-0.36242166,2753776,NC
-0.36754397,2753777,NC
-0.3743329,2753778,NC
-0.37945518,2753779,NC
-0.38457745,2753780,NC
-0.38803303,2753781,NC
-0.39482197,2753782,NC
-0.39827752,2753783,NC
-0.40339977,2753784,NC
-0.40352193,2753785,NC
-0.4053108,2753786,NC
-0.40543294,2753787,NC
-0.4155551,2753788,NC
-0.4223439,2753789,NC
-0.43079937,2753790,NC
-0.42925477,2753791,NC
-0.42771018,2753792,NC
-0.42616555,2753793,NC
-0.43295425,2753794,NC
-0.44807625,2753795,NC
-0.45319825,2753796,NC
-0.44832027,2753797,NC
-0.4384422,2753798,NC
-0.43689746,2753799,NC
-0.4453527,2753800,NC
-0.45880792,2753801,NC
-0.46892977,2753802,NC
-0.4740516,2753803,NC
-0.46917343,2753804,NC
-0.47096187,2753805,NC
-0.47441697,2753806,NC
-0.48453867,2753807,NC
-0.48966044,2753808,NC
-0.4897821,2753809,NC
-0.48157042,2753810,NC
-0.47669202,2753811,NC
-0.48348027,2753812,NC
-0.49860182,2753813,NC
-0.5120567,2753814,NC
-0.50884485,2753815,NC
-0.50229967,2753816,NC
-0.50242114,2753817,NC
-0.5158758,2753818,NC
-0.53099716,2753819,NC
-0.5311185,2753820,NC
-0.5212398,2753821,NC
-0.5046944,2753822,NC
-0.503149,2753823,NC
-0.5149368,2753824,NC
-0.5317247,2753825,NC
-0.54351246,2753826,NC
-0.5419669,2753827,NC
-0.54042125,2753828,NC
-0.5372089,2753829,NC
-0.5423299,2753830,NC
-0.5424508,2753831,NC
-0.53923833,2753832,NC
-0.5293592,2753833,NC
-0.5211467,2753834,NC
-0.51293415,2753835,NC
-0.5147215,2753836,NC
-0.5148422,2753837,NC
-0.5182962,2753838,NC
-0.5084168,2753839,NC
-0.50187063,2753840,NC
-0.49699116,2753841,NC
-0.49544495,2753842,NC
-0.49723202,2753843,NC
-0.49068573,2753844,NC
-0.4874727,2753845,NC
-0.47592634,2753846,NC
-0.46771318,2753847,NC
-0.4611667,2753848,NC
-0.45962015,2753849,NC
-0.4564069,2753850,NC
-0.44986024,2753851,NC
-0.43831354,2753852,NC
-0.43010014,2753853,NC
-0.42522,2753854,NC
-0.42367318,2753855,NC
-0.41879296,2753856,NC
-0.40724602,2753857,NC
-0.3923657,2753858,NC
-0.3824853,2753859,NC
-0.3776048,2753860,NC
-0.38105765,2753861,NC
-0.3795104,2753862,NC
-0.3712965,2753863,NC
-0.35974914,2753864,NC
-0.34820172,2753865,NC
-0.3399876,2753866,NC
-0.33344007,2753867,NC
-0.33022586,2753868,NC
-0.3236782,2753869,NC
-0.3171305,2753870,NC
