channel_0,sample #,type
1.144431,3026859,N
1.1085742,3026860,NC
0.95825964,3026861,NC
0.7454834,3026862,NC
0.5022733,3026863,NC
0.26271793,3026864,NC
0.06654218,3026865,NC
-0.05527111,3026866,NC
-0.14504574,3026867,NC
-0.26620778,3026868,NC
-0.3914765,3026869,NC
-0.48050922,3026870,NC
-0.50367135,3026871,NC
-0.5062778,3026872,NC
-0.51503724,3026873,NC
-0.52348226,3026874,NC
-0.5293468,3026875,NC
-0.5406187,3026876,NC
-0.5174188,3026877,NC
-0.50221574,3026878,NC
-0.525337,3026879,NC
-0.52882326,3026880,NC
-0.5310362,3026881,NC
-0.52542526,3026882,NC
-0.51391083,3026883,NC
-0.5096203,3026884,NC
-0.5161871,3026885,NC
-0.52648675,3026886,NC
-0.5473503,3026887,NC
-0.54191417,3026888,NC
-0.53298855,3026889,NC
-0.52164227,3026890,NC
-0.5179611,3026891,NC
-0.52014244,3026892,NC
-0.53028023,3026893,NC
-0.53289145,3026894,NC
-0.5273059,3026895,NC
-0.5177257,3026896,NC
-0.50629514,3026897,NC
-0.5310056,3026898,NC
-0.5496467,3026899,NC
-0.54531693,3026900,NC
-0.52826154,3026901,NC
-0.52395105,3026902,NC
-0.5192102,3026903,NC
-0.5406444,3026904,NC
-0.55007887,3026905,NC
-0.5569916,3026906,NC
-0.5453592,3026907,NC
-0.5356662,3026908,NC
-0.5311402,3026909,NC
-0.5299622,3026910,NC
-0.5432012,3026911,NC
-0.54864657,3026912,NC
-0.53038013,3026913,NC
-0.53464824,3026914,NC
-0.5265009,3026915,NC
-0.5501149,3026916,NC
-0.5465448,3026917,NC
-0.54868287,3026918,NC
-0.54707915,3026919,NC
-0.54288507,3026920,NC
-0.5443827,3026921,NC
-0.53995574,3026922,NC
-0.5326287,3026923,NC
-0.49907196,3026924,NC
-0.4321368,3026925,NC
-0.38857272,3026926,NC
-0.36954626,3026927,NC
-0.38201374,3026928,NC
-0.4161924,3026929,NC
-0.41670603,3026930,NC
