channel_0,sample #,type
1.1553886,3104628,f
1.2253081,3104629,NC
1.2111765,3104630,NC
1.1254737,3104631,NC
0.9706307,3104632,NC
0.7911484,3104633,NC
0.6013993,3104634,NC
0.42613965,3104635,NC
0.2908625,3104636,NC
0.16446549,3104637,NC
0.055789057,3104638,NC
-0.04414846,3104639,NC
-0.1532852,3104640,NC
-0.23054041,3104641,NC
-0.2636037,3104642,NC
-0.26909235,3104643,NC
-0.27500173,3104644,NC
-0.26837465,3104645,NC
-0.2733913,3104646,NC
-0.29311934,3104647,NC
-0.29350978,3104648,NC
-0.28879508,3104649,NC
-0.27317953,3104650,NC
-0.263704,3104651,NC
-0.27384052,3104652,NC
-0.2798666,3104653,NC
-0.29890206,3104654,NC
-0.2927785,3104655,NC
-0.2837282,3104656,NC
-0.27848342,3104657,NC
-0.27333826,3104658,NC
-0.29777378,3104659,NC
-0.31473824,3104660,NC
-0.3128214,3104661,NC
-0.3023433,3104662,NC
-0.29901958,3104663,NC
-0.30349225,3104664,NC
-0.30225506,3104665,NC
-0.31728777,3104666,NC
-0.32841277,3104667,NC
-0.32266045,3104668,NC
-0.3035419,3104669,NC
-0.3175598,3104670,NC
-0.3174335,3104671,NC
-0.34342554,3104672,NC
-0.3382256,3104673,NC
-0.33250597,3104674,NC
-0.3225452,3104675,NC
-0.33737692,3104676,NC
-0.3373473,3104677,NC
-0.3526596,3104678,NC
-0.3519138,3104679,NC
-0.35179657,3104680,NC
-0.35197788,3104681,NC
-0.35764134,3104682,NC
-0.35890487,3104683,NC
-0.38629654,3104684,NC
-0.3865632,3104685,NC
-0.37683973,3104686,NC
-0.36726433,3104687,NC
-0.37718758,3104688,NC
-0.38643274,3104689,NC
-0.38214785,3104690,NC
-0.40214747,3104691,NC
-0.39226878,3104692,NC
-0.39230287,3104693,NC
-0.3922808,3104694,NC
-0.40256774,3104695,NC
-0.411887,3104696,NC
-0.41179216,3104697,NC
-0.4075949,3104698,NC
-0.39720514,3104699,NC
-0.41079426,3104700,NC
-0.43189004,3104701,NC
-0.44156447,3104702,NC
-0.43700293,3104703,NC
-0.43747085,3104704,NC
-0.4372299,3104705,NC
-0.43675065,3104706,NC
-0.4458503,3104707,NC
-0.45697522,3104708,NC
