channel_0,sample #,type
2.445,23694795,V
2.445,23694796,NC
2.4425,23694797,NC
2.43,23694798,NC
2.38,23694799,NC
2.2675,23694800,NC
2.065,23694801,NC
1.7325,23694802,NC
1.29,23694803,NC
0.835,23694804,NC
0.485,23694805,NC
0.2825,23694806,NC
0.18,23694807,NC
0.1175,23694808,NC
0.055,23694809,NC
-0.0075000003,23694810,NC
-0.07,23694811,NC
-0.1375,23694812,NC
-0.1875,23694813,NC
-0.2225,23694814,NC
-0.2525,23694815,NC
-0.26999998,23694816,NC
-0.2775,23694817,NC
-0.29000002,23694818,NC
-0.3,23694819,NC
-0.29250002,23694820,NC
-0.29250002,23694821,NC
-0.305,23694822,NC
-0.335,23694823,NC
-0.3775,23694824,NC
-0.405,23694825,NC
-0.4225,23694826,NC
-0.43,23694827,NC
-0.435,23694828,NC
-0.4425,23694829,NC
-0.45749998,23694830,NC
-0.47750002,23694831,NC
-0.4875,23694832,NC
-0.5,23694833,NC
-0.52250004,23694834,NC
-0.545,23694835,NC
-0.5625,23694836,NC
-0.5725,23694837,NC
-0.575,23694838,NC
-0.5875,23694839,NC
-0.6125,23694840,NC
-0.64750004,23694841,NC
-0.6625,23694842,NC
-0.65,23694843,NC
-0.645,23694844,NC
-0.65250003,23694845,NC
-0.68,23694846,NC
-0.71500003,23694847,NC
-0.735,23694848,NC
-0.7475,23694849,NC
-0.745,23694850,NC
-0.755,23694851,NC
-0.78499997,23694852,NC
-0.81,23694853,NC
-0.825,23694854,NC
-0.8175,23694855,NC
-0.81,23694856,NC
-0.825,23694857,NC
-0.87,23694858,NC
-0.92499995,23694859,NC
-0.97749996,23694860,NC
-1.0174999,23694861,NC
-1.0475,23694862,NC
-1.09,23694863,NC
-1.13,23694864,NC
-1.1675,23694865,NC
-1.21,23694866,NC
-1.2375,23694867,NC
-1.255,23694868,NC
-1.275,23694869,NC
-1.3050001,23694870,NC
-1.34,23694871,NC
-1.3675001,23694872,NC
-1.39,23694873,NC
-1.415,23694874,NC
-1.4475,23694875,NC
-1.485,23694876,NC
-1.52,23694877,NC
-1.535,23694878,NC
-1.535,23694879,NC
-1.525,23694880,NC
-1.52,23694881,NC
-1.5450001,23694882,NC
-1.58,23694883,NC
-1.6125,23694884,NC
-1.6275,23694885,NC
-1.6125,23694886,NC
-1.5975001,23694887,NC
-1.5975001,23694888,NC
-1.5975001,23694889,NC
-1.595,23694890,NC
-1.5725,23694891,NC
-1.5225,23694892,NC
-1.4775,23694893,NC
-1.455,23694894,NC
-1.4300001,23694895,NC
-1.4024999,23694896,NC
-1.3675001,23694897,NC
-1.325,23694898,NC
-1.295,23694899,NC
-1.2674999,23694900,NC
-1.245,23694901,NC
-1.2125001,23694902,NC
-1.1725,23694903,NC
-1.1324999,23694904,NC
-1.0725,23694905,NC
-1.0125,23694906,NC
-0.975,23694907,NC
-0.9325,23694908,NC
-0.875,23694909,NC
-0.8175,23694910,NC
-0.76750004,23694911,NC
-0.72749996,23694912,NC
-0.6825,23694913,NC
-0.6275,23694914,NC
-0.57000005,23694915,NC
-0.52250004,23694916,NC
-0.48250002,23694917,NC
-0.4425,23694918,NC
-0.41750002,23694919,NC
-0.3875,23694920,NC
-0.34750003,23694921,NC
-0.3225,23694922,NC
-0.3075,23694923,NC
-0.2975,23694924,NC
-0.2875,23694925,NC
-0.275,23694926,NC
-0.245,23694927,NC
-0.205,23694928,NC
-0.1825,23694929,NC
-0.16749999,23694930,NC
-0.16,23694931,NC
-0.1575,23694932,NC
-0.14,23694933,NC
-0.105000004,23694934,NC
-0.07,23694935,NC
-0.045,23694936,NC
-0.015000001,23694937,NC
0.03,23694938,NC
0.075,23694939,NC
0.1075,23694940,NC
0.1125,23694941,NC
0.0975,23694942,NC
0.07,23694943,NC
0.05,23694944,NC
0.05,23694945,NC
0.057499997,23694946,NC
0.0625,23694947,NC
0.06,23694948,NC
0.06,23694949,NC
0.057499997,23694950,NC
0.067499995,23694951,NC
0.0975,23694952,NC
0.1175,23694953,NC
0.125,23694954,NC
0.125,23694955,NC
0.1175,23694956,NC
0.1075,23694957,NC
0.0975,23694958,NC
0.0975,23694959,NC
0.1025,23694960,NC
0.120000005,23694961,NC
0.14500001,23694962,NC
0.18,23694963,NC
0.2175,23694964,NC
0.235,23694965,NC
0.2225,23694966,NC
0.185,23694967,NC
0.16,23694968,NC
0.1575,23694969,NC
0.17,23694970,NC
0.17250001,23694971,NC
0.155,23694972,NC
0.13749999,23694973,NC
0.14,23694974,NC
0.1725,23694975,NC
0.215,23694976,NC
0.22749999,23694977,NC
0.2025,23694978,NC
0.155,23694979,NC
0.1175,23694980,NC
0.1175,23694981,NC
0.155,23694982,NC
0.205,23694983,NC
0.22749999,23694984,NC
0.2175,23694985,NC
0.1925,23694986,NC
0.185,23694987,NC
0.195,23694988,NC
0.2025,23694989,NC
0.1925,23694990,NC
0.155,23694991,NC
0.105,23694992,NC
0.08,23694993,NC
0.09,23694994,NC
0.11750001,23694995,NC
0.14500001,23694996,NC
0.15,23694997,NC
0.14750001,23694998,NC
0.1725,23694999,NC
0.2075,23695000,NC
0.22749999,23695001,NC
0.2325,23695002,NC
0.2175,23695003,NC
0.2025,23695004,NC
0.2125,23695005,NC
0.2375,23695006,NC
0.25,23695007,NC
0.2375,23695008,NC
0.19749999,23695009,NC
0.1525,23695010,NC
0.125,23695011,NC
0.115,23695012,NC
0.120000005,23695013,NC
0.1325,23695014,NC
0.15,23695015,NC
0.16499999,23695016,NC
0.17750001,23695017,NC
0.1875,23695018,NC
0.19749999,23695019,NC
0.19749999,23695020,NC
0.185,23695021,NC
0.17,23695022,NC
0.1625,23695023,NC
0.17750001,23695024,NC
0.215,23695025,NC
0.2525,23695026,NC
0.27499998,23695027,NC
0.285,23695028,NC
0.2875,23695029,NC
0.2925,23695030,NC
0.27999997,23695031,NC
0.24249999,23695032,NC
0.2,23695033,NC
0.17250001,23695034,NC
0.165,23695035,NC
0.1625,23695036,NC
0.1575,23695037,NC
0.1525,23695038,NC
0.14500001,23695039,NC
0.14,23695040,NC
0.1525,23695041,NC
0.19,23695042,NC
0.23,23695043,NC
0.25,23695044,NC
0.2625,23695045,NC
0.2775,23695046,NC
0.2875,23695047,NC
0.285,23695048,NC
0.2575,23695049,NC
0.22,23695050,NC
0.205,23695051,NC
0.22,23695052,NC
0.24000001,23695053,NC
0.25,23695054,NC
0.2375,23695055,NC
0.2025,23695056,NC
0.1725,23695057,NC
0.16,23695058,NC
0.185,23695059,NC
0.2475,23695060,NC
0.3025,23695061,NC
0.31,23695062,NC
0.275,23695063,NC
0.235,23695064,NC
0.21000001,23695065,NC
0.2025,23695066,NC
0.21000001,23695067,NC
0.21000001,23695068,NC
0.19749999,23695069,NC
0.1925,23695070,NC
0.195,23695071,NC
0.19999999,23695072,NC
0.19749999,23695073,NC
0.19,23695074,NC
0.19,23695075,NC
0.2125,23695076,NC
0.2525,23695077,NC
0.28500003,23695078,NC
0.305,23695079,NC
0.29000002,23695080,NC
0.26,23695081,NC
0.2425,23695082,NC
0.24000001,23695083,NC
0.2625,23695084,NC
0.29250002,23695085,NC
0.305,23695086,NC
0.29250002,23695087,NC
0.26749998,23695088,NC
0.2475,23695089,NC
0.23249999,23695090,NC
0.2125,23695091,NC
0.2,23695092,NC
0.19749999,23695093,NC
0.19749999,23695094,NC
0.215,23695095,NC
0.235,23695096,NC
0.2375,23695097,NC
0.2325,23695098,NC
0.23,23695099,NC
0.22749999,23695100,NC
0.22999999,23695101,NC
0.22999999,23695102,NC
0.225,23695103,NC
0.22,23695104,NC
0.21000001,23695105,NC
0.19999999,23695106,NC
0.19749999,23695107,NC
0.2,23695108,NC
0.19749999,23695109,NC
0.195,23695110,NC
0.19,23695111,NC
0.1925,23695112,NC
0.20750001,23695113,NC
0.23,23695114,NC
0.2625,23695115,NC
0.3,23695116,NC
0.32,23695117,NC
0.325,23695118,NC
0.34500003,23695119,NC
0.4,23695120,NC
0.4875,23695121,NC
0.5925,23695122,NC
0.77,23695123,NC
1.1025,23695124,NC
1.58,23695125,NC
2.0625,23695126,NC
2.3674998,23695127,NC
2.4575,23695128,NC
2.4524999,23695129,NC
2.4575,23695130,f
2.475,23695131,NC
2.4625,23695132,NC
2.4099998,23695133,NC
2.31,23695134,NC
2.1574998,23695135,NC
1.98,23695136,NC
1.7725,23695137,NC
1.515,23695138,NC
1.2075,23695139,NC
0.87249994,23695140,NC
0.59749997,23695141,NC
0.47500002,23695142,NC
0.4925,23695143,NC
0.57,23695144,NC
0.6575,23695145,NC
0.73,23695146,NC
0.78,23695147,NC
0.8075,23695148,NC
