channel_0,sample #,type
1.245,2706329,N
1.205,2706330,NC
1.07,2706331,NC
0.845,2706332,NC
0.605,2706333,NC
0.355,2706334,NC
0.16,2706335,NC
-0.015,2706336,NC
-0.12,2706337,NC
-0.215,2706338,NC
-0.305,2706339,NC
-0.385,2706340,NC
-0.43,2706341,NC
-0.445,2706342,NC
-0.45,2706343,NC
-0.45,2706344,NC
-0.46,2706345,NC
-0.445,2706346,NC
-0.425,2706347,NC
-0.41,2706348,NC
-0.425,2706349,NC
-0.46,2706350,NC
-0.495,2706351,NC
-0.515,2706352,NC
-0.525,2706353,NC
-0.495,2706354,NC
-0.42,2706355,NC
-0.35,2706356,NC
-0.3,2706357,NC
-0.285,2706358,NC
-0.31,2706359,NC
-0.355,2706360,NC
-0.4,2706361,NC
-0.42,2706362,NC
-0.41,2706363,NC
-0.415,2706364,NC
-0.45,2706365,NC
-0.475,2706366,NC
-0.46,2706367,NC
-0.42,2706368,NC
-0.395,2706369,NC
-0.375,2706370,NC
-0.37,2706371,NC
-0.375,2706372,NC
-0.4,2706373,NC
-0.43,2706374,NC
-0.445,2706375,NC
-0.445,2706376,NC
-0.445,2706377,NC
-0.445,2706378,NC
-0.475,2706379,NC
-0.49,2706380,NC
-0.495,2706381,NC
-0.485,2706382,NC
-0.47,2706383,NC
-0.465,2706384,NC
-0.485,2706385,NC
-0.535,2706386,NC
-0.57,2706387,NC
-0.575,2706388,NC
-0.555,2706389,NC
-0.55,2706390,NC
-0.565,2706391,NC
-0.555,2706392,NC
-0.505,2706393,NC
-0.465,2706394,NC
-0.435,2706395,NC
-0.43,2706396,NC
-0.44,2706397,NC
-0.44,2706398,NC
-0.455,2706399,NC
-0.46,2706400,NC
-0.48,2706401,NC
-0.485,2706402,NC
-0.495,2706403,NC
-0.505,2706404,NC
-0.485,2706405,NC
-0.48,2706406,NC
-0.47,2706407,NC
-0.47,2706408,NC
-0.49,2706409,NC
-0.535,2706410,NC
-0.54,2706411,NC
-0.525,2706412,NC
-0.54,2706413,NC
-0.555,2706414,NC
-0.56,2706415,NC
-0.54,2706416,NC
-0.53,2706417,NC
-0.51,2706418,NC
-0.485,2706419,NC
-0.505,2706420,NC
-0.545,2706421,NC
-0.585,2706422,NC
-0.6,2706423,NC
-0.585,2706424,NC
-0.525,2706425,NC
-0.46,2706426,NC
-0.425,2706427,NC
-0.445,2706428,NC
-0.44,2706429,NC
-0.445,2706430,NC
-0.44,2706431,NC
-0.435,2706432,NC
-0.41,2706433,NC
-0.415,2706434,NC
-0.415,2706435,NC
-0.405,2706436,NC
-0.42,2706437,NC
-0.435,2706438,NC
-0.455,2706439,NC
-0.42,2706440,NC
-0.345,2706441,NC
-0.28,2706442,NC
-0.26,2706443,NC
-0.28,2706444,NC
-0.305,2706445,NC
-0.3,2706446,NC
-0.275,2706447,NC
-0.275,2706448,NC
-0.285,2706449,NC
-0.285,2706450,NC
-0.305,2706451,NC
-0.275,2706452,NC
-0.24,2706453,NC
-0.23,2706454,NC
-0.23,2706455,NC
-0.245,2706456,NC
-0.25,2706457,NC
-0.255,2706458,NC
-0.245,2706459,NC
-0.25,2706460,NC
-0.24,2706461,NC
-0.235,2706462,NC
-0.23,2706463,NC
-0.235,2706464,NC
-0.24,2706465,NC
-0.275,2706466,NC
-0.275,2706467,NC
-0.27,2706468,NC
-0.3,2706469,NC
-0.3,2706470,NC
-0.285,2706471,NC
-0.235,2706472,NC
-0.18,2706473,NC
-0.16,2706474,NC
-0.16,2706475,NC
-0.185,2706476,NC
-0.21,2706477,NC
-0.215,2706478,NC
-0.235,2706479,NC
-0.265,2706480,NC
-0.27,2706481,NC
-0.255,2706482,NC
-0.235,2706483,NC
-0.21,2706484,NC
-0.22,2706485,NC
-0.24,2706486,NC
-0.255,2706487,NC
-0.27,2706488,NC
-0.28,2706489,NC
-0.29,2706490,NC
-0.285,2706491,NC
-0.305,2706492,NC
-0.3,2706493,NC
-0.295,2706494,NC
-0.265,2706495,NC
-0.25,2706496,NC
-0.255,2706497,NC
-0.255,2706498,NC
-0.27,2706499,NC
-0.255,2706500,NC
-0.23,2706501,NC
-0.21,2706502,NC
-0.2,2706503,NC
-0.21,2706504,NC
-0.215,2706505,NC
-0.225,2706506,NC
-0.245,2706507,NC
-0.26,2706508,NC
-0.25,2706509,NC
-0.245,2706510,NC
-0.25,2706511,NC
-0.275,2706512,NC
-0.295,2706513,NC
-0.285,2706514,NC
-0.27,2706515,NC
-0.285,2706516,NC
-0.27,2706517,NC
-0.28,2706518,NC
